기준연월,방문비율
20220811,328.0
20220812,314.9
20220813,478.9
20220814,351.1
20220815,340.0
20220816,231.4
20220817,294.8
20220818,252.5
20220819,273.6
20220820,452.7
20220821,423.5
20220822,219.3
20220823,283.7
20220824,297.8
20220825,231.4
20220826,247.5
20220827,439.6
20220828,419.5
20220829,210.3
20220830,267.6
20220831,298.8
20220901,209.3
20220902,242.5
20220903,412.5
20220904,398.4
20220905,195.2
20220906,206.2
20220907,235.4
20220908,206.2
20220909,431.6
20220910,487.9
20220911,448.7
20220912,387.3
20220913,201.2
20220914,232.4
20220915,200.2
20220916,225.4
20220917,431.6
20220918,408.5
20220919,171.0
20220920,202.2
20220921,231.4
20220922,202.2
20220923,221.3
20220924,427.6
20220925,409.5
20220926,169.0
20220927,194.2
20220928,222.3
20220929,193.2
20220930,213.3
20221001,453.7
20221002,440.6
20221003,396.4
20221004,222.3
20221005,246.5
20221006,217.3
20221007,243.5
20221008,459.8
20221009,450.7
20221010,371.2
20221011,216.3
20221012,242.5
20221013,214.3
20221014,239.4
20221015,462.8
20221016,436.6
20221017,182.1
20221018,211.3
20221019,240.4
20221020,212.3
20221021,232.4
20221022,457.7
20221023,436.6
20221024,180.1
20221025,204.2
20221026,232.4
20221027,203.2
20221028,223.3
20221029,457.7
20221030,439.6
20221031,185.1
20221101,224.3
20221102,242.5
20221103,215.3
20221104,237.4
20221105,446.7
20221106,434.6
20221107,191.1
20221108,213.3
