순위,관광지명,주소,분류,
1,정남진장흥토요시장,전남 장흥군 토요시장3길 15-0,쇼핑,전라남도 장흥군
2,정남진편백숲우드랜드,전남 장흥군 우드랜드길 180-0,자연관광지,전라남도 장흥군
3,정남진전망대,전남 장흥군 정남진해안로 242-58,기타관광지,전라남도 장흥군
4,정남진장흥토요시장,전남 장흥군 토요시장1길 53-0,쇼핑,전라남도 장흥군
5,수문해수욕장,전남 장흥군,자연관광지,전라남도 장흥군
6,하나로마트/정남진장흥농협,전남 장흥군 동교로 27-0,쇼핑,전라남도 장흥군
7,소등섬,전남 장흥군,자연관광지,전라남도 장흥군
8,정남진편백숲우드랜드,전남 장흥군 우드랜드길 180-0,문화관광,전라남도 장흥군
9,JNJ골프리조트,전남 장흥군 제산기동로 326-0,레포츠(육상/해상/항공),전라남도 장흥군
10,보림사,전남 장흥군 보림사로 224-0,역사관광지,전라남도 장흥군
11,정남진전망대,전남 장흥군 정남진해안로 242-58,문화관광,전라남도 장흥군
12,천관산자연휴양림,전남 장흥군 칠관로 842-1150,자연관광지,전라남도 장흥군
13,회진항,전남 장흥군 회진선창길 0-0,자연관광지,전라남도 장흥군
14,하늘빛수목원,전남 장흥군 장흥대로 2746-0,자연관광지,전라남도 장흥군
15,천관산도립공원,전남 장흥군,자연관광지,전라남도 장흥군
16,탑산사큰절,전남 장흥군 천관산문학길 301-0,역사관광지,전라남도 장흥군
17,수문해수욕장,전남 장흥군,자연관광,전라남도 장흥군
18,다이소/장흥점,전남 장흥군 동교2길 6-1,쇼핑,전라남도 장흥군
19,장흥하늘빛수목원튤립축제,전남 장흥군 장흥대로 2746-0,기타관광지,전라남도 장흥군
20,소등섬,전남 장흥군,자연관광,전라남도 장흥군
21,보림사,전남 장흥군 보림사로 224-0,역사관광,전라남도 장흥군
22,유치자연휴양림,전남 장흥군 휴양림길 154-0,자연관광지,전라남도 장흥군
23,JNJ골프리조트,전남 장흥군 제산기동로 326-0,레저스포츠,전라남도 장흥군
24,LD마트,전남 장흥군 동교2길 11-0,쇼핑,전라남도 장흥군
25,하나로마트/정남진장흥농협서부지점,전남 장흥군 칠거리예양로 79-1,쇼핑,전라남도 장흥군
26,스파리조트안단테,전남 장흥군 수문용곡로 270-0,휴양관광지,전라남도 장흥군
27,천관산,전남 장흥군 천관산길 147-0,자연관광지,전라남도 장흥군
28,천관산문학공원,전남 장흥군,자연관광지,전라남도 장흥군
29,어북제,전남 장흥군,자연관광지,전라남도 장흥군
30,정남진물과학관,전남 장흥군 행원강변길 20-0,문화시설,전라남도 장흥군
31,노력항다기능대합실,전남 장흥군 노력도1길 216-0,자연관광지,전라남도 장흥군
32,장흥읍오일장터,전남 장흥군 토요시장3길 16-0,쇼핑,전라남도 장흥군
33,회진항,전남 장흥군 회진선창길 0-0,자연관광,전라남도 장흥군
34,탑산사큰절,전남 장흥군 천관산문학길 301-0,역사관광,전라남도 장흥군
35,해동사,전남 장흥군 만수길 25-121,역사관광지,전라남도 장흥군
36,하늘빛수목원,전남 장흥군 장흥대로 2746-0,자연관광,전라남도 장흥군
37,하나로마트/관산농협,전남 장흥군 관산로 75-0,쇼핑,전라남도 장흥군
38,장흥노력항,전남 장흥군,자연관광지,전라남도 장흥군
