기준연월,방문비율
20220811,96.4
20220812,138.0
20220813,215.5
20220814,185.7
20220815,163.4
20220816,83.8
20220817,84.0
20220818,91.5
20220819,119.1
20220820,187.4
20220821,178.9
20220822,67.8
20220823,71.2
20220824,63.9
20220825,55.9
20220826,99.8
20220827,187.7
20220828,189.3
20220829,77.0
20220830,78.0
20220831,73.6
20220901,39.2
20220902,78.5
20220903,132.4
20220904,117.2
20220905,44.6
20220906,44.6
20220907,44.1
20220908,32.7
20220909,228.8
20220910,243.3
20220911,230.3
20220912,200.2
20220913,50.8
20220914,53.0
20220915,38.0
20220916,78.0
20220917,150.1
20220918,150.4
20220919,57.4
20220920,53.5
20220921,47.7
20220922,34.4
20220923,84.0
20220924,162.5
20220925,166.8
20220926,66.8
20220927,59.6
20220928,57.4
20220929,48.9
20220930,93.9
20221001,149.9
20221002,146.7
20221003,128.8
20221004,41.6
20221005,43.8
20221006,39.0
20221007,80.1
20221008,164.9
20221009,173.4
20221010,127.4
20221011,61.0
20221012,67.3
20221013,46.7
20221014,87.2
20221015,167.1
20221016,169.0
20221017,59.1
20221018,62.0
20221019,62.0
20221020,47.5
20221021,83.5
20221022,166.3
20221023,179.2
20221024,68.3
20221025,69.2
20221026,67.1
20221027,56.9
20221028,98.1
20221029,180.4
20221030,191.8
20221031,90.8
20221101,43.8
20221102,44.8
20221103,22.3
20221104,66.8
20221105,149.9
20221106,154.7
20221107,59.3
20221108,55.7
