기준연월,방문비율
20220811,87.5
20220812,108.5
20220813,203.2
20220814,200.3
20220815,182.0
20220816,104.8
20220817,104.8
20220818,107.0
20220819,126.3
20220820,198.6
20220821,183.7
20220822,116.6
20220823,84.6
20220824,83.4
20220825,106.0
20220826,120.4
20220827,208.2
20220828,206.9
20220829,112.6
20220830,92.6
20220831,86.7
20220901,80.3
20220902,92.1
20220903,126.4
20220904,104.5
20220905,81.4
20220906,64.7
20220907,49.2
20220908,71.9
20220909,208.2
20220910,207.8
20220911,197.8
20220912,172.1
20220913,75.1
20220914,63.6
20220915,77.5
20220916,99.0
20220917,168.6
20220918,147.3
20220919,116.0
20220920,104.5
20220921,85.7
20220922,89.8
20220923,93.2
20220924,148.5
20220925,135.9
20220926,103.9
20220927,89.8
20220928,69.9
20220929,82.7
20220930,113.2
20221001,163.5
20221002,157.7
20221003,132.9
20221004,68.8
20221005,64.4
20221006,86.0
20221007,107.0
20221008,201.0
20221009,184.6
20221010,115.1
20221011,76.6
20221012,60.7
20221013,76.0
20221014,105.7
20221015,203.2
20221016,185.3
20221017,101.0
20221018,92.6
20221019,88.0
20221020,97.9
20221021,112.9
20221022,177.3
20221023,163.3
20221024,98.7
20221025,99.4
20221026,74.9
20221027,103.7
20221028,128.6
20221029,208.6
20221030,218.2
20221031,140.2
20221101,91.5
20221102,80.8
20221103,95.2
20221104,133.6
20221105,208.4
20221106,211.8
20221107,102.4
20221108,80.4
