기준연월,방문비율
20220811,52.1
20220812,66.9
20220813,132.7
20220814,112.5
20220815,151.9
20220816,80.3
20220817,75.2
20220818,69.1
20220819,70.2
20220820,125.5
20220821,113.9
20220822,72.0
20220823,54.2
20220824,49.2
20220825,69.4
20220826,73.8
20220827,138.5
20220828,119.3
20220829,82.1
20220830,81.4
20220831,75.6
20220901,51.7
20220902,80.7
20220903,99.8
20220904,77.8
20220905,45.9
20220906,26.0
20220907,22.4
20220908,39.1
20220909,185.2
20220910,221.0
20220911,198.9
20220912,137.4
20220913,27.1
20220914,34.0
20220915,54.6
20220916,44.8
20220917,92.9
20220918,76.7
20220919,57.9
20220920,48.8
20220921,39.1
20220922,57.9
20220923,62.2
20220924,105.6
20220925,90.4
20220926,68.4
20220927,57.1
20220928,56.8
20220929,75.2
20220930,66.5
20221001,223.1
20221002,225.3
20221003,157.7
20221004,42.7
20221005,46.3
20221006,69.8
20221007,82.8
20221008,241.6
20221009,262.6
20221010,167.1
20221011,43.4
20221012,41.2
20221013,60.4
20221014,75.9
20221015,221.3
20221016,182.3
20221017,68.0
20221018,61.5
20221019,65.5
20221020,83.5
20221021,85.0
20221022,219.5
20221023,206.5
20221024,86.4
20221025,91.9
20221026,86.4
20221027,107.8
20221028,110.3
20221029,246.3
20221030,228.6
20221031,100.5
20221101,68.4
20221102,69.4
20221103,82.1
20221104,109.2
20221105,309.6
20221106,284.6
20221107,85.0
20221108,74.1
