기준연월,방문비율
20220811,99.5
20220812,115.5
20220813,166.3
20220814,154.4
20220815,131.8
20220816,108.1
20220817,107.4
20220818,112.2
20220819,143.7
20220820,157.9
20220821,146.3
20220822,118.3
20220823,97.9
20220824,137.6
20220825,131.8
20220826,142.5
20220827,175.8
20220828,159.5
20220829,129.5
20220830,133.6
20220831,132.3
20220901,96.9
20220902,106.4
20220903,122.4
20220904,102.7
20220905,86.1
20220906,80.8
20220907,76.3
20220908,110.0
20220909,302.4
20220910,287.3
20220911,285.0
20220912,235.9
20220913,99.2
20220914,95.5
20220915,102.4
20220916,121.3
20220917,202.8
20220918,198.6
20220919,138.5
20220920,124.9
20220921,113.1
20220922,105.2
20220923,143.8
20220924,199.3
20220925,190.7
20220926,137.4
20220927,125.1
20220928,121.5
20220929,127.8
20220930,132.6
20221001,163.7
20221002,167.9
20221003,179.9
20221004,72.4
20221005,80.3
20221006,114.1
20221007,122.0
20221008,202.8
20221009,177.0
20221010,128.5
20221011,75.2
20221012,88.6
20221013,94.9
20221014,116.4
20221015,185.0
20221016,155.3
20221017,105.8
20221018,119.3
20221019,120.9
20221020,127.2
20221021,129.2
20221022,221.6
20221023,186.7
20221024,111.1
20221025,145.2
20221026,101.3
20221027,114.2
20221028,138.6
20221029,190.5
20221030,187.3
20221031,144.7
20221101,90.3
20221102,86.3
20221103,93.4
20221104,115.0
20221105,215.3
20221106,182.8
20221107,89.9
20221108,85.4
