기준연월,방문비율
20220811,98.0
20220812,114.0
20220813,147.5
20220814,103.1
20220815,144.3
20220816,110.5
20220817,110.0
20220818,117.2
20220819,126.9
20220820,135.3
20220821,119.7
20220822,116.1
20220823,120.1
20220824,123.1
20220825,123.1
20220826,129.0
20220827,152.3
20220828,137.6
20220829,118.0
20220830,120.1
20220831,111.7
20220901,88.6
20220902,94.3
20220903,133.2
20220904,111.7
20220905,76.2
20220906,88.8
20220907,82.3
20220908,89.8
20220909,209.6
20220910,252.9
20220911,244.1
20220912,234.6
20220913,126.9
20220914,114.7
20220915,119.7
20220916,125.0
20220917,168.1
20220918,151.1
20220919,118.5
20220920,139.3
20220921,121.8
20220922,105.6
20220923,114.2
20220924,155.7
20220925,133.0
20220926,107.9
20220927,120.1
20220928,107.3
20220929,113.8
20220930,111.7
20221001,141.2
20221002,109.4
20221003,150.0
20221004,79.5
20221005,71.7
20221006,89.0
20221007,101.8
20221008,152.5
20221009,204.1
20221010,172.3
20221011,99.3
20221012,89.8
20221013,99.9
20221014,105.0
20221015,141.8
20221016,119.5
20221017,88.2
20221018,109.0
20221019,93.6
20221020,105.6
20221021,110.5
20221022,155.7
20221023,138.4
20221024,93.4
20221025,111.1
20221026,110.2
20221027,115.7
20221028,123.9
20221029,168.1
20221030,147.7
20221031,99.7
20221101,91.9
20221102,79.1
20221103,87.5
20221104,109.4
20221105,160.3
20221106,149.0
20221107,83.7
20221108,100.4
