광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,춘천시,0.6,6.5
강원도,원주시,0.6,22.3
강원도,강릉시,0.6,18.4
강원도,동해시,0.6,4.0
강원도,속초시,0.6,1.5
강원도,평창군,0.6,9.9
강원도,정선군,0.6,2.0
강원도,삼척시,0.6,1.5
강원도,철원군,0.6,16.9
강원도,홍천군,0.6,5.0
강원도,횡성군,0.6,6.5
강원도,인제군,0.6,2.2
강원도,양양군,0.6,2.5
강원도,양구군,0.6,0.5
강원도,고성군,0.6,0.5
경기도,용인시 기흥구,13.2,4.6
경기도,화성시,13.2,8.0
경기도,수원시 영통구,13.2,3.5
경기도,남양주시,13.2,5.3
경기도,고양시 덕양구,13.2,3.5
경기도,부천시,13.2,6.9
경기도,시흥시,13.2,2.6
경기도,의정부시,13.2,3.1
경기도,성남시 분당구,13.2,4.4
경기도,과천시,13.2,2.0
경기도,평택시,13.2,3.6
경기도,수원시 장안구,13.2,1.9
경기도,광주시,13.2,3.4
경기도,성남시 중원구,13.2,4.5
경기도,안성시,13.2,1.5
경기도,안양시 동안구,13.2,2.1
경기도,파주시,13.2,1.9
경기도,오산시,13.2,1.5
경기도,안산시 단원구,13.2,2.2
경기도,의왕시,13.2,1.0
경기도,양평군,13.2,1.2
경기도,고양시 일산동구,13.2,1.9
경기도,수원시 권선구,13.2,1.8
경기도,구리시,13.2,1.2
경기도,수원시 팔달구,13.2,0.9
경기도,안양시 만안구,13.2,2.7
경기도,성남시 수정구,13.2,2.0
경기도,김포시,13.2,3.0
경기도,포천시,13.2,0.5
경기도,용인시 수지구,13.2,3.2
경기도,안산시 상록구,13.2,2.3
경기도,가평군,13.2,0.3
경기도,고양시 일산서구,13.2,1.2
경기도,군포시,13.2,2.2
경기도,광명시,13.2,1.3
경기도,양주시,13.2,1.4
경기도,하남시,13.2,2.1
경기도,용인시 처인구,13.2,1.0
경기도,이천시,13.2,1.0
경기도,동두천시,13.2,0.3
경기도,연천군,13.2,0.1
경기도,여주시,13.2,0.7
경상남도,거제시,2.0,13.8
경상남도,김해시,2.0,11.0
경상남도,창원시 진해구,2.0,5.9
경상남도,창원시 성산구,2.0,5.8
경상남도,하동군,2.0,2.3
경상남도,진주시,2.0,10.1
경상남도,거창군,2.0,3.6
경상남도,창원시 마산합포구,2.0,4.2
경상남도,창원시 의창구,2.0,9.6
경상남도,창원시 마산회원구,2.0,3.4
경상남도,통영시,2.0,8.3
경상남도,산청군,2.0,3.8
경상남도,양산시,2.0,4.2
경상남도,고성군,2.0,0.9
경상남도,밀양시,2.0,0.9
경상남도,함양군,2.0,4.7
경상남도,함안군,2.0,2.2
경상남도,사천시,2.0,2.2
경상남도,남해군,2.0,1.6
경상남도,합천군,2.0,0.9
경상남도,의령군,2.0,0.3
경상남도,창녕군,2.0,0.2
경상북도,포항시 북구,1.0,14.0
경상북도,안동시,1.0,4.3
경상북도,경주시,1.0,12.6
경상북도,성주군,1.0,0.6
경상북도,영천시,1.0,0.6
경상북도,경산시,1.0,14.7
경상북도,구미시,1.0,9.8
경상북도,의성군,1.0,1.3
경상북도,영주시,1.0,8.3
경상북도,청도군,1.0,3.5
경상북도,예천군,1.0,0.9
경상북도,김천시,1.0,8.6
경상북도,울진군,1.0,0.9
경상북도,군위군,1.0,3.0
경상북도,포항시 남구,1.0,6.4
경상북도,영덕군,1.0,0.9
경상북도,고령군,1.0,2.7
경상북도,칠곡군,1.0,2.1
경상북도,상주시,1.0,2.4
경상북도,문경시,1.0,0.3
경상북도,봉화군,1.0,1.8
광주광역시,북구,20.4,35.0
광주광역시,광산구,20.4,27.5
광주광역시,서구,20.4,21.0
광주광역시,남구,20.4,11.3
광주광역시,동구,20.4,5.2
대구광역시,북구,1.0,23.0
대구광역시,수성구,1.0,21.3
대구광역시,달서구,1.0,19.5
대구광역시,달성군,1.0,6.5
대구광역시,동구,1.0,22.0
대구광역시,남구,1.0,1.9
대구광역시,중구,1.0,1.0
대구광역시,서구,1.0,4.8
대전광역시,서구,2.2,38.6
대전광역시,동구,2.2,12.7
대전광역시,유성구,2.2,22.1
대전광역시,중구,2.2,17.0
대전광역시,대덕구,2.2,9.7
부산광역시,남구,1.7,9.3
부산광역시,연제구,1.7,9.3
부산광역시,북구,1.7,11.4
부산광역시,해운대구,1.7,14.1
부산광역시,서구,1.7,1.7
부산광역시,부산진구,1.7,6.1
부산광역시,강서구,1.7,5.0
부산광역시,금정구,1.7,6.3
부산광역시,중구,1.7,0.6
부산광역시,사상구,1.7,4.6
부산광역시,동래구,1.7,9.3
부산광역시,사하구,1.7,7.6
부산광역시,기장군,1.7,9.6
부산광역시,수영구,1.7,2.8
부산광역시,동구,1.7,0.6
부산광역시,영도구,1.7,1.9
서울특별시,중랑구,11.3,3.4
서울특별시,송파구,11.3,5.5
서울특별시,서초구,11.3,6.3
서울특별시,양천구,11.3,5.1
서울특별시,노원구,11.3,5.8
서울특별시,은평구,11.3,6.6
서울특별시,동대문구,11.3,3.7
서울특별시,동작구,11.3,6.8
서울특별시,구로구,11.3,3.2
서울특별시,성북구,11.3,4.8
서울특별시,강남구,11.3,4.6
서울특별시,광진구,11.3,3.1
서울특별시,마포구,11.3,2.8
서울특별시,강동구,11.3,6.2
서울특별시,관악구,11.3,5.7
서울특별시,강북구,11.3,2.6
서울특별시,서대문구,11.3,3.5
서울특별시,금천구,11.3,2.0
서울특별시,강서구,11.3,3.8
서울특별시,성동구,11.3,2.3
서울특별시,영등포구,11.3,4.1
서울특별시,도봉구,11.3,1.7
서울특별시,중구,11.3,1.1
서울특별시,용산구,11.3,2.1
서울특별시,종로구,11.3,3.4
세종특별자치시,세종특별자치시,0.8,100.0
울산광역시,중구,0.7,12.8
울산광역시,울주군,0.7,19.2
울산광역시,동구,0.7,12.7
울산광역시,북구,0.7,30.7
울산광역시,남구,0.7,24.6
인천광역시,남동구,2.6,13.8
인천광역시,부평구,2.6,19.7
인천광역시,서구,2.6,25.3
인천광역시,중구,2.6,8.5
인천광역시,연수구,2.6,11.4
인천광역시,동구,2.6,1.6
인천광역시,미추홀구,2.6,11.0
인천광역시,계양구,2.6,7.7
인천광역시,강화군,2.6,1.0
전라남도,목포시,10.0,16.3
전라남도,영광군,10.0,12.5
전라남도,나주시,10.0,11.8
전라남도,순천시,10.0,8.1
전라남도,화순군,10.0,5.9
전라남도,무안군,10.0,5.8
전라남도,담양군,10.0,6.2
전라남도,장성군,10.0,5.2
전라남도,영암군,10.0,2.0
전라남도,구례군,10.0,0.9
전라남도,신안군,10.0,2.1
전라남도,강진군,10.0,0.8
전라남도,장흥군,10.0,1.3
전라남도,완도군,10.0,1.2
전라남도,진도군,10.0,0.5
전라남도,고흥군,10.0,0.9
전라남도,곡성군,10.0,2.5
전라남도,광양시,10.0,4.5
전라남도,여수시,10.0,5.9
전라남도,함평군,10.0,2.5
전라남도,해남군,10.0,1.7
전라남도,보성군,10.0,1.6
전라북도,정읍시,28.3,34.0
전라북도,전주시 완산구,28.3,15.5
전라북도,전주시 덕진구,28.3,11.3
전라북도,고창군,28.3,12.1
전라북도,익산시,28.3,7.2
전라북도,군산시,28.3,5.1
전라북도,완주군,28.3,3.4
전라북도,남원시,28.3,1.6
전라북도,부안군,28.3,5.1
전라북도,김제시,28.3,2.4
전라북도,순창군,28.3,1.0
전라북도,진안군,28.3,0.5
전라북도,임실군,28.3,0.3
전라북도,무주군,28.3,0.3
전라북도,장수군,28.3,0.4
제주특별자치도,서귀포시,0.3,55.1
제주특별자치도,제주시,0.3,44.9
충청남도,천안시 서북구,2.6,15.9
충청남도,서산시,2.6,7.2
충청남도,공주시,2.6,9.0
충청남도,천안시 동남구,2.6,11.4
