기준연월,방문비율
20220811,189.3
20220812,193.7
20220813,250.4
20220814,220.8
20220815,197.0
20220816,154.8
20220817,165.1
20220818,150.5
20220819,163.6
20220820,250.8
20220821,230.8
20220822,91.9
20220823,140.0
20220824,143.5
20220825,140.5
20220826,155.3
20220827,258.2
20220828,247.9
20220829,91.4
20220830,133.9
20220831,145.4
20220901,105.0
20220902,129.2
20220903,196.7
20220904,196.2
20220905,55.2
20220906,72.0
20220907,72.1
20220908,72.2
20220909,188.3
20220910,244.3
20220911,246.3
20220912,151.9
20220913,80.0
20220914,77.9
20220915,74.9
20220916,98.5
20220917,182.6
20220918,166.9
20220919,52.8
20220920,82.9
20220921,81.8
20220922,79.0
20220923,100.5
20220924,201.7
20220925,190.4
20220926,57.5
20220927,81.2
20220928,83.9
20220929,77.3
20220930,99.8
20221001,213.6
20221002,204.5
20221003,133.8
20221004,74.4
20221005,77.2
20221006,83.4
20221007,114.2
20221008,210.8
20221009,243.6
20221010,163.4
20221011,89.0
20221012,88.0
20221013,92.0
20221014,119.7
20221015,221.0
20221016,200.8
20221017,61.1
20221018,90.1
20221019,92.5
20221020,96.5
20221021,117.9
20221022,211.5
20221023,207.5
20221024,63.1
20221025,85.8
20221026,88.6
20221027,93.9
20221028,119.0
20221029,211.9
20221030,211.1
20221031,84.7
20221101,96.6
20221102,94.8
20221103,81.8
20221104,109.1
20221105,202.9
20221106,202.6
20221107,71.0
20221108,84.1
