순위,관광지명,주소,분류,
1,채석강,전북 부안군,기타관광지,전라북도 부안군
2,변산해수욕장,전북 부안군,자연관광지,전라북도 부안군
3,내소사,전북 부안군 내소사로 243-0,역사관광지,전라북도 부안군
4,격포항,전북 부안군 격포중앙길 28-7,자연관광지,전라북도 부안군
5,격포항수산시장,전북 부안군 격포중앙길 28-4,쇼핑,전라북도 부안군
6,격포해넘이해수욕장,전북 부안군,자연관광지,전라북도 부안군
7,채석강,전북 부안군,기타관광,전라북도 부안군
8,곰소항,전북 부안군 곰소항길 62-14,자연관광지,전라북도 부안군
9,모항해수욕장,전북 부안군,자연관광지,전라북도 부안군
10,고사포해수욕장,전북 부안군,자연관광지,전라북도 부안군
11,곰소항,전북 부안군 곰소항길 62-5,자연관광지,전라북도 부안군
12,부안상설시장,전북 부안군 부풍로 47-0,쇼핑,전라북도 부안군
13,곰소젓갈시장,전북 부안군 곰소항길 22-3,쇼핑,전라북도 부안군
14,하나로마트/변산농협격포점,전북 부안군 격포로 198-0,쇼핑,전라북도 부안군
15,국립변산자연휴양림,전북 부안군 변산로 3768-0,자연관광지,전라북도 부안군
16,변산반도국립공원,전북 부안군,자연관광지,전라북도 부안군
17,적벽강,전북 부안군,기타관광지,전라북도 부안군
18,변산해수욕장,전북 부안군,자연관광,전라북도 부안군
19,내소사,전북 부안군 내소사로 243-0,역사관광,전라북도 부안군
20,격포항,전북 부안군 격포중앙길 28-7,자연관광,전라북도 부안군
21,수성당,전북 부안군 적벽강길 54-0,역사관광지,전라북도 부안군
22,직소폭포,전북 부안군,자연관광지,전라북도 부안군
23,곰소항,전북 부안군 곰소항길 62-5,자연관광,전라북도 부안군
24,롯데슈퍼/격포점,전북 부안군 격포로 142-0,쇼핑,전라북도 부안군
25,격포해넘이해수욕장,전북 부안군,자연관광,전라북도 부안군
26,소노벨변산/오션플레이,전북 부안군 변산해변로 51-0,기타관광지,전라북도 부안군
27,하나로마트/변산농협본점,전북 부안군 지서로 70-3,쇼핑,전라북도 부안군
28,전라좌수영세트장,전북 부안군 궁항영상길 91-0,기타관광지,전라북도 부안군
29,새만금홍보관,전북 부안군 새만금로 6-0,문화시설,전라북도 부안군
30,변산마실길/2코스,전북 부안군,레저스포츠,전라북도 부안군
31,개암사,전북 부안군 개암로 248-0,역사관광지,전라북도 부안군
32,모항해수욕장,전북 부안군,자연관광,전라북도 부안군
33,줄포만갯벌생태공원,전북 부안군 생태공원로 170-0,자연관광지,전라북도 부안군
34,고사포해수욕장,전북 부안군,자연관광,전라북도 부안군
35,부안누에타운,전북 부안군 참뽕로 434-20,기타관광지,전라북도 부안군
