순위,관광지명,주소,분류,
1,채계산출렁다리,전북 순창군 담순로 2172-33,기타관광지,전라북도 순창군
2,순창고추장민속마을,전북 순창군 민속마을길 56-4,역사관광지,전라북도 순창군
3,순창용궐산하늘길,전북 순창군,기타관광지,전라북도 순창군
4,강천산군립공원,전북 순창군,자연관광지,전라북도 순창군
5,용궐산치유의숲,전북 순창군,자연관광지,전라북도 순창군
6,요강바위,전북 순창군,기타관광지,전라북도 순창군
7,순창시장,전북 순창군 남계로 58-0,쇼핑,전라북도 순창군
8,강천사,전북 순창군 강천산길 270-0,역사관광지,전라북도 순창군
9,채계산출렁다리,전북 순창군 담순로 2172-33,기타관광,전라북도 순창군
10,발효소스토굴,전북 순창군 민속마을길 61-59,문화시설,전라북도 순창군
11,푸드사이언스관,전북 순창군 장류로 55-0,문화시설,전라북도 순창군
12,채계산,전북 순창군 담순로 2172-33,자연관광지,전라북도 순창군
13,순창고추장민속마을,전북 순창군 민속마을길 56-4,역사관광,전라북도 순창군
14,순창용궐산하늘길,전북 순창군,기타관광,전라북도 순창군
15,강천산군립공원,전북 순창군,자연관광,전라북도 순창군
16,회문산자연휴양림,전북 순창군 안심길 214-0,자연관광지,전라북도 순창군
17,장군목유원지,전북 순창군 장군목길 686-1,휴양관광지,전라북도 순창군
18,용궐산치유의숲,전북 순창군,자연관광,전라북도 순창군
19,요강바위,전북 순창군,기타관광,전라북도 순창군
20,발효소스토굴,전북 순창군 민속마을길 61-59,문화관광,전라북도 순창군
21,향가유원지,전북 순창군,휴양관광지,전라북도 순창군
22,용궐산,전북 순창군,자연관광지,전라북도 순창군
23,팔덕야구장,전북 순창군 신촌길 271-0,기타관광지,전라북도 순창군
24,강천사,전북 순창군 강천산길 270-0,역사관광,전라북도 순창군
25,강천산군립공원매표소,전북 순창군,기타관광지,전라북도 순창군
26,순창발효테마파크/푸드사이언스관,전북 순창군 장류로 55-0,문화관광,전라북도 순창군
27,순창공설운동장,전북 순창군,기타관광지,전라북도 순창군
28,구암사,전북 순창군 봉덕길 131-144,역사관광지,전라북도 순창군
29,회문산자연휴양림,전북 순창군 안심길 214-0,자연관광,전라북도 순창군
30,순창발효테마파크,전북 순창군 장류로 55-0,문화관광,전라북도 순창군
31,순창CC,전북 순창군,레포츠(육상/해상/항공),전라북도 순창군
32,다이소/순창점,전북 순창군 장류로 347-0,쇼핑,전라북도 순창군
33,순창정마트,전북 순창군 남계로 86-3,쇼핑,전라북도 순창군
34,하나로마트/순정축협,전북 순창군 순창6길 27-0,쇼핑,전라북도 순창군
35,금과골프장,전북 순창군 담순로 716-0,레포츠(육상/해상/항공),전라북도 순창군
36,세븐일레븐/순창공설운동장점,전북 순창군 장류로 220-0,쇼핑,전라북도 순창군
