기준연월,방문비율
20220811,78.1
20220812,90.5
20220813,117.2
20220814,83.8
20220815,95.9
20220816,69.6
20220817,66.2
20220818,74.5
20220819,76.1
20220820,93.5
20220821,64.7
20220822,76.8
20220823,76.3
20220824,76.5
20220825,83.1
20220826,85.9
20220827,105.0
20220828,65.6
20220829,75.1
20220830,87.5
20220831,98.4
20220901,76.1
20220902,90.8
20220903,105.1
20220904,62.9
20220905,72.1
20220906,91.9
20220907,87.5
20220908,101.7
20220909,136.2
20220910,137.0
20220911,85.1
20220912,113.1
20220913,104.7
20220914,98.0
20220915,101.6
20220916,119.1
20220917,140.3
20220918,84.9
20220919,95.3
20220920,93.3
20220921,94.8
20220922,99.6
20220923,106.0
20220924,122.4
20220925,79.4
20220926,94.3
20220927,109.8
20220928,115.4
20220929,109.1
20220930,113.7
20221001,125.5
20221002,79.5
20221003,83.2
20221004,88.5
20221005,93.2
20221006,89.5
20221007,103.7
20221008,145.3
20221009,86.4
20221010,114.1
20221011,109.3
20221012,105.8
20221013,104.4
20221014,121.2
20221015,150.4
20221016,83.5
20221017,96.9
20221018,100.3
20221019,97.5
20221020,98.7
20221021,115.5
20221022,131.6
20221023,88.6
20221024,100.6
20221025,111.5
20221026,120.6
20221027,123.8
20221028,128.5
20221029,135.2
20221030,86.9
20221031,109.7
20221101,88.8
20221102,93.0
20221103,80.7
20221104,96.9
20221105,126.9
20221106,77.0
20221107,72.3
20221108,102.6
