기준연월,방문비율
20220811,77.0
20220812,76.3
20220813,206.4
20220814,167.5
20220815,140.6
20220816,61.3
20220817,71.1
20220818,68.8
20220819,62.8
20220820,175.8
20220821,163.8
20220822,23.9
20220823,77.0
20220824,79.3
20220825,74.0
20220826,66.6
20220827,177.3
20220828,173.5
20220829,27.7
20220830,71.1
20220831,83.0
20220901,42.6
20220902,70.3
20220903,102.5
20220904,136.1
20220905,23.9
20220906,54.6
20220907,47.9
20220908,50.9
20220909,276.0
20220910,291.7
20220911,292.4
20220912,126.4
20220913,53.9
20220914,47.9
20220915,55.3
20220916,55.3
20220917,204.2
20220918,212.4
20220919,23.9
20220920,65.8
20220921,68.1
20220922,80.8
20220923,79.3
20220924,204.2
20220925,225.1
20220926,30.7
20220927,60.6
20220928,65.8
20220929,85.3
20220930,83.0
20221001,109.2
20221002,178.8
20221003,53.1
20221004,68.1
20221005,68.1
20221006,59.8
20221007,56.1
20221008,205.7
20221009,302.2
20221010,118.2
20221011,59.8
20221012,50.1
20221013,48.6
20221014,65.8
20221015,253.6
20221016,244.6
20221017,23.2
20221018,57.6
20221019,42.6
20221020,62.1
20221021,83.0
20221022,243.8
20221023,240.8
20221024,29.2
20221025,69.6
20221026,71.8
20221027,57.6
20221028,80.0
20221029,213.9
20221030,204.9
20221031,35.9
20221101,59.8
20221102,56.8
20221103,52.4
20221104,72.6
20221105,188.5
20221106,204.9
20221107,20.9
20221108,57.6
