기준연월,방문비율
20220811,109.2
20220812,130.7
20220813,169.0
20220814,93.4
20220815,125.1
20220816,89.6
20220817,106.4
20220818,105.5
20220819,135.4
20220820,183.0
20220821,139.1
20220822,93.4
20220823,111.1
20220824,129.8
20220825,123.2
20220826,156.9
20220827,201.7
20220828,155.0
20220829,90.6
20220830,104.6
20220831,120.4
20220901,114.8
20220902,139.1
20220903,191.4
20220904,132.6
20220905,82.2
20220906,95.2
20220907,116.7
20220908,107.4
20220909,169.0
20220910,204.5
20220911,174.6
20220912,129.8
20220913,98.0
20220914,113.9
20220915,108.3
20220916,127.9
20220917,185.8
20220918,133.5
20220919,85.9
20220920,112.0
20220921,128.9
20220922,127.9
20220923,163.4
20220924,218.5
20220925,161.5
20220926,112.0
20220927,128.9
20220928,147.5
20220929,137.3
20220930,155.0
20221001,216.6
20221002,140.1
20221003,93.4
20221004,99.0
20221005,128.9
20221006,133.5
20221007,176.5
20221008,216.6
20221009,155.9
20221010,104.6
20221011,99.0
20221012,115.8
20221013,119.5
20221014,144.7
20221015,202.6
20221016,143.8
20221017,78.4
20221018,104.6
20221019,126.1
20221020,127.0
20221021,156.9
20221022,227.8
20221023,168.1
20221024,109.2
20221025,128.9
20221026,148.5
20221027,147.5
20221028,183.0
20221029,244.6
20221030,173.7
20221031,105.5
20221101,94.3
20221102,113.9
20221103,120.4
20221104,181.1
20221105,265.2
20221106,182.1
20221107,98.0
20221108,106.4
