기준연월,방문비율
20220811,93.3
20220812,90.1
20220813,81.1
20220814,305.8
20220815,71.4
20220816,75.1
20220817,82.4
20220818,66.7
20220819,280.8
20220820,67.2
20220821,80.8
20220822,67.0
20220823,68.3
20220824,386.8
20220825,92.2
20220826,91.2
20220827,92.2
20220828,104.7
20220829,386.9
20220830,93.9
20220831,83.0
20220901,30.6
20220902,26.6
20220903,34.8
20220904,278.1
20220905,21.9
20220906,15.2
20220907,13.3
20220908,18.7
20220909,324.7
20220910,76.8
20220911,63.7
20220912,67.5
20220913,38.6
20220914,259.3
20220915,33.6
20220916,32.0
20220917,51.9
20220918,49.6
20220919,282.1
20220920,42.9
20220921,35.2
20220922,27.7
20220923,34.7
20220924,431.6
20220925,70.8
20220926,34.2
20220927,42.3
20220928,57.3
20220929,375.4
20220930,58.1
20221001,70.5
20221002,61.9
20221003,65.3
20221004,281.9
20221005,50.5
20221006,50.7
20221007,68.1
20221008,89.5
20221009,375.4
20221010,92.5
20221011,75.9
20221012,82.5
20221013,64.0
20221014,310.9
20221015,86.0
20221016,84.9
20221017,69.2
20221018,83.9
20221019,332.1
20221020,70.0
20221021,77.4
20221022,92.8
20221023,94.7
20221024,340.2
20221025,83.6
20221026,82.2
20221027,80.1
20221028,92.2
20221029,458.3
20221030,98.4
20221031,53.5
20221101,49.9
20221102,47.4
20221103,51.8
20221104,278.9
20221105,71.4
20221106,74.6
20221107,68.1
20221108,63.0
