기준연월,방문비율
20220811,69.7
20220812,81.7
20220813,106.5
20220814,135.8
20220815,145.2
20220816,64.8
20220817,66.8
20220818,64.1
20220819,76.4
20220820,105.7
20220821,70.4
20220822,66.4
20220823,60.6
20220824,67.9
20220825,67.7
20220826,68.1
20220827,104.6
20220828,80.4
20220829,79.7
20220830,77.2
20220831,81.0
20220901,77.9
20220902,79.9
20220903,111.7
20220904,91.2
20220905,54.8
20220906,51.3
20220907,53.9
20220908,68.4
20220909,156.7
20220910,209.1
20220911,204.5
20220912,179.8
20220913,74.1
20220914,80.8
20220915,89.4
20220916,95.7
20220917,144.3
20220918,112.6
20220919,79.9
20220920,90.1
20220921,79.2
20220922,76.3
20220923,81.9
20220924,127.6
20220925,103.2
20220926,74.2
20220927,71.3
20220928,73.0
20220929,82.3
20220930,104.5
20221001,127.6
20221002,93.7
20221003,120.5
20221004,43.9
20221005,52.4
20221006,68.8
20221007,74.6
20221008,136.1
20221009,155.4
20221010,130.5
20221011,54.0
20221012,59.1
20221013,67.2
20221014,77.5
20221015,128.1
20221016,109.9
20221017,64.4
20221018,64.6
20221019,67.2
20221020,82.6
20221021,86.4
20221022,136.3
20221023,114.5
20221024,79.5
20221025,77.5
20221026,77.7
20221027,86.3
20221028,96.1
20221029,148.9
20221030,154.9
20221031,93.4
20221101,71.7
20221102,72.2
20221103,67.9
20221104,90.3
20221105,165.1
20221106,160.9
20221107,68.4
20221108,56.6
