기준연월,방문비율
20220811,89.3
20220812,104.5
20220813,190.2
20220814,239.7
20220815,206.1
20220816,108.9
20220817,95.8
20220818,98.6
20220819,109.4
20220820,178.6
20220821,143.9
20220822,84.5
20220823,84.4
20220824,74.0
20220825,81.0
20220826,87.5
20220827,174.2
20220828,173.5
20220829,75.4
20220830,89.9
20220831,92.1
20220901,88.7
20220902,100.9
20220903,151.8
20220904,177.2
20220905,79.2
20220906,58.8
20220907,50.6
20220908,68.9
20220909,307.4
20220910,319.4
20220911,335.5
20220912,234.5
20220913,66.0
20220914,71.5
20220915,100.0
20220916,108.1
20220917,180.9
20220918,221.4
20220919,95.6
20220920,106.4
20220921,100.6
20220922,103.8
20220923,112.7
20220924,201.8
20220925,233.9
20220926,73.8
20220927,83.9
20220928,88.9
20220929,96.8
20220930,118.8
20221001,295.3
20221002,350.6
20221003,257.3
20221004,66.7
20221005,69.7
20221006,73.8
20221007,111.7
20221008,349.6
20221009,456.0
20221010,277.1
20221011,77.1
20221012,74.1
20221013,83.1
20221014,110.0
20221015,344.4
20221016,366.6
20221017,97.8
20221018,116.5
20221019,105.1
20221020,112.7
20221021,125.3
20221022,339.8
20221023,398.6
20221024,102.9
20221025,122.2
20221026,116.4
20221027,125.5
20221028,151.0
20221029,411.3
20221030,440.0
20221031,131.4
20221101,126.1
20221102,107.6
20221103,124.8
20221104,173.9
20221105,442.4
20221106,456.1
20221107,114.2
20221108,122.4
