기준연월,방문비율
20220811,119.4
20220812,134.2
20220813,175.5
20220814,139.8
20220815,166.0
20220816,127.2
20220817,122.3
20220818,125.7
20220819,131.1
20220820,180.7
20220821,165.1
20220822,124.3
20220823,123.9
20220824,119.1
20220825,120.9
20220826,127.2
20220827,182.6
20220828,173.4
20220829,122.9
20220830,133.3
20220831,127.4
20220901,102.5
20220902,113.7
20220903,129.0
20220904,122.7
20220905,96.0
20220906,97.4
20220907,85.6
20220908,97.6
20220909,172.3
20220910,192.0
20220911,188.4
20220912,176.2
20220913,103.6
20220914,97.4
20220915,105.9
20220916,115.4
20220917,157.7
20220918,147.9
20220919,105.0
20220920,117.0
20220921,106.7
20220922,107.0
20220923,116.5
20220924,158.7
20220925,155.0
20220926,114.0
20220927,116.7
20220928,113.3
20220929,116.9
20220930,122.0
20221001,201.8
20221002,187.4
20221003,140.4
20221004,91.5
20221005,93.4
20221006,105.0
20221007,122.3
20221008,217.7
20221009,224.0
20221010,176.9
20221011,111.0
20221012,109.2
20221013,115.0
20221014,131.6
20221015,217.4
20221016,186.2
20221017,92.3
20221018,107.0
20221019,104.9
20221020,116.8
20221021,123.2
20221022,200.0
20221023,190.1
20221024,103.4
20221025,108.5
20221026,106.3
20221027,116.7
20221028,129.0
20221029,214.0
20221030,205.3
20221031,109.9
20221101,110.7
20221102,105.2
20221103,103.8
20221104,120.1
20221105,202.7
20221106,206.7
20221107,98.9
20221108,109.0
