기준연월,방문비율
20220811,162.5
20220812,168.6
20220813,193.0
20220814,178.9
20220815,189.5
20220816,194.0
20220817,188.2
20220818,192.1
20220819,187.8
20220820,195.3
20220821,196.7
20220822,193.7
20220823,204.5
20220824,210.1
20220825,226.2
20220826,220.7
20220827,226.8
20220828,208.2
20220829,210.6
20220830,219.0
20220831,215.2
20220901,184.7
20220902,177.2
20220903,184.8
20220904,170.8
20220905,153.0
20220906,156.8
20220907,146.0
20220908,163.3
20220909,198.3
20220910,199.1
20220911,199.3
20220912,200.0
20220913,172.8
20220914,177.3
20220915,179.0
20220916,180.7
20220917,187.4
20220918,191.0
20220919,170.2
20220920,178.4
20220921,193.1
20220922,197.5
20220923,204.3
20220924,220.2
20220925,204.4
20220926,189.6
20220927,202.2
20220928,204.8
20220929,215.6
20220930,215.0
20221001,200.0
20221002,177.8
20221003,194.4
20221004,163.6
20221005,161.7
20221006,173.3
20221007,165.8
20221008,181.5
20221009,198.4
20221010,189.5
20221011,162.3
20221012,166.6
20221013,182.4
20221014,180.0
20221015,193.0
20221016,187.7
20221017,164.1
20221018,173.2
20221019,178.9
20221020,189.6
20221021,202.2
20221022,210.9
20221023,199.2
20221024,196.4
20221025,208.0
20221026,199.7
20221027,218.2
20221028,216.9
20221029,232.5
20221030,210.5
20221031,198.6
20221101,189.9
20221102,187.9
20221103,193.4
20221104,188.4
20221105,203.7
20221106,188.7
20221107,153.5
20221108,175.8
