기준연월,방문비율
20220811,50.9
20220812,62.0
20220813,46.2
20220814,59.6
20220815,103.1
20220816,67.5
20220817,59.6
20220818,51.3
20220819,53.6
20220820,44.8
20220821,47.2
20220822,24.5
20220823,24.5
20220824,27.7
20220825,14.3
20220826,29.6
20220827,11.1
20220828,51.8
20220829,6.0
20220830,27.3
20220831,45.8
20220901,33.7
20220902,24.0
20220903,19.0
20220904,25.4
20220905,4.6
20220906,24.5
20220907,41.1
20220908,41.1
20220909,63.8
20220910,81.8
20220911,78.1
20220912,95.2
20220913,0.5
20220914,11.6
20220915,18.5
20220916,25.9
20220917,37.9
20220918,53.6
20220919,28.7
20220920,37.4
20220921,68.9
20220922,56.9
20220923,61.0
20220924,66.1
20220925,55.0
20220926,33.3
20220927,45.3
20220928,71.2
20220929,43.5
20220930,58.7
20221001,11.6
20221002,35.6
20221003,37.4
20221004,12.0
20221005,52.2
20221006,43.5
20221007,44.4
20221008,67.0
20221009,57.8
20221010,72.6
20221011,29.1
20221012,65.2
20221013,53.2
20221014,32.4
20221015,56.9
20221016,49.0
20221017,30.5
20221018,31.9
20221019,59.2
20221020,55.0
20221021,64.7
20221022,79.1
20221023,61.5
20221024,56.9
20221025,28.7
20221026,57.3
20221027,71.2
20221028,86.0
20221029,70.7
20221030,102.2
20221031,61.5
20221101,34.2
20221102,82.3
20221103,56.9
20221104,54.1
20221105,72.1
20221106,68.4
20221107,44.4
20221108,57.8
