기준연월,방문비율
20220811,118.2
20220812,119.5
20220813,126.6
20220814,111.3
20220815,105.0
20220816,95.5
20220817,95.4
20220818,107.6
20220819,110.6
20220820,106.3
20220821,93.7
20220822,94.4
20220823,88.3
20220824,86.6
20220825,95.5
20220826,103.1
20220827,105.2
20220828,101.5
20220829,96.7
20220830,91.7
20220831,93.6
20220901,108.8
20220902,117.3
20220903,109.4
20220904,83.1
20220905,86.5
20220906,85.8
20220907,85.4
20220908,100.1
20220909,133.2
20220910,128.8
20220911,111.9
20220912,109.2
20220913,82.2
20220914,82.6
20220915,94.3
20220916,99.5
20220917,108.1
20220918,88.1
20220919,90.8
20220920,95.6
20220921,91.2
20220922,99.9
20220923,98.7
20220924,108.7
20220925,87.4
20220926,87.7
20220927,92.9
20220928,94.5
20220929,100.3
20220930,108.0
20221001,116.8
20221002,104.8
20221003,108.9
20221004,93.5
20221005,93.2
20221006,120.3
20221007,128.7
20221008,130.1
20221009,114.6
20221010,111.4
20221011,107.2
20221012,104.7
20221013,122.9
20221014,129.1
20221015,127.0
20221016,106.4
20221017,106.4
20221018,104.4
20221019,99.0
20221020,113.7
20221021,116.2
20221022,115.1
20221023,103.8
20221024,107.0
20221025,108.4
20221026,110.0
20221027,120.4
20221028,124.1
20221029,126.0
20221030,121.8
20221031,106.5
20221101,109.3
20221102,108.1
20221103,124.5
20221104,129.2
20221105,133.4
20221106,121.0
20221107,120.7
20221108,115.4
