기준연월,방문비율
20220811,67.8
20220812,66.2
20220813,69.1
20220814,84.7
20220815,76.0
20220816,69.7
20220817,71.6
20220818,55.0
20220819,55.8
20220820,58.0
20220821,56.2
20220822,47.3
20220823,62.3
20220824,63.0
20220825,51.4
20220826,52.4
20220827,56.1
20220828,54.1
20220829,37.6
20220830,58.3
20220831,61.3
20220901,58.6
20220902,64.1
20220903,58.4
20220904,54.3
20220905,48.1
20220906,59.1
20220907,60.4
20220908,57.8
20220909,99.2
20220910,113.4
20220911,109.4
20220912,90.6
20220913,62.2
20220914,66.7
20220915,60.7
20220916,62.3
20220917,65.3
20220918,67.1
20220919,56.5
20220920,71.8
20220921,71.9
20220922,65.9
20220923,74.7
20220924,80.0
20220925,74.6
20220926,60.3
20220927,72.5
20220928,74.1
20220929,68.3
20220930,67.1
20221001,80.4
20221002,80.0
20221003,79.1
20221004,66.3
20221005,68.0
20221006,63.8
20221007,62.7
20221008,77.1
20221009,98.9
20221010,92.0
20221011,74.9
20221012,76.6
20221013,70.8
20221014,74.6
20221015,82.2
20221016,78.3
20221017,64.3
20221018,81.7
20221019,81.2
20221020,73.3
20221021,78.9
20221022,87.2
20221023,87.9
20221024,69.8
20221025,83.4
20221026,84.1
20221027,78.3
20221028,83.0
20221029,90.7
20221030,83.6
20221031,64.8
20221101,79.0
20221102,84.0
20221103,75.6
20221104,83.0
20221105,96.4
20221106,91.8
20221107,64.9
20221108,82.4
