기준연월,방문비율
20220811,147.8
20220812,145.4
20220813,146.6
20220814,126.4
20220815,115.9
20220816,136.2
20220817,140.6
20220818,128.3
20220819,130.2
20220820,126.5
20220821,110.0
20220822,112.9
20220823,127.3
20220824,141.5
20220825,136.2
20220826,141.4
20220827,128.0
20220828,126.0
20220829,114.1
20220830,127.8
20220831,136.3
20220901,87.6
20220902,96.3
20220903,99.3
20220904,80.8
20220905,83.5
20220906,88.2
20220907,99.6
20220908,93.9
20220909,112.9
20220910,131.2
20220911,124.5
20220912,109.7
20220913,103.5
20220914,117.4
20220915,120.6
20220916,109.3
20220917,118.3
20220918,108.0
20220919,113.2
20220920,130.8
20220921,130.0
20220922,122.0
20220923,124.9
20220924,130.7
20220925,124.7
20220926,115.5
20220927,139.4
20220928,142.3
20220929,133.4
20220930,131.4
20221001,112.3
20221002,111.3
20221003,102.2
20221004,95.5
20221005,118.6
20221006,107.0
20221007,114.2
20221008,114.4
20221009,119.8
20221010,116.9
20221011,136.8
20221012,142.3
20221013,128.6
20221014,130.5
20221015,131.7
20221016,113.2
20221017,126.8
20221018,109.8
20221019,141.9
20221020,134.2
20221021,134.8
20221022,128.5
20221023,119.1
20221024,133.6
20221025,151.4
20221026,156.7
20221027,165.6
20221028,162.3
20221029,141.1
20221030,133.3
20221031,122.6
20221101,104.1
20221102,109.8
20221103,99.1
20221104,102.5
20221105,116.0
20221106,102.9
20221107,82.1
20221108,91.8
