기준연월,방문비율
20220811,104.0
20220812,133.5
20220813,330.7
20220814,240.7
20220815,195.7
20220816,172.4
20220817,150.6
20220818,133.5
20220819,149.1
20220820,260.9
20220821,242.2
20220822,121.1
20220823,104.0
20220824,110.2
20220825,144.4
20220826,205.0
20220827,312.1
20220828,273.3
20220829,135.1
20220830,93.2
20220831,62.1
20220901,217.4
20220902,178.6
20220903,259.3
20220904,218.9
20220905,133.5
20220906,118.0
20220907,105.6
20220908,232.9
20220909,259.3
20220910,285.7
20220911,262.4
20220912,239.1
20220913,128.9
20220914,124.2
20220915,167.7
20220916,195.7
20220917,284.2
20220918,228.3
20220919,116.5
20220920,144.4
20220921,128.9
20220922,158.4
20220923,155.3
20220924,273.3
20220925,254.7
20220926,149.1
20220927,116.5
20220928,77.6
20220929,152.2
20220930,128.9
20221001,274.8
20221002,240.7
20221003,186.3
20221004,141.3
20221005,96.3
20221006,246.9
20221007,198.8
20221008,318.3
20221009,256.2
20221010,223.6
20221011,138.2
20221012,87.0
20221013,156.8
20221014,170.8
20221015,290.4
20221016,242.2
20221017,127.3
20221018,116.5
20221019,79.2
20221020,175.5
20221021,173.9
20221022,264.0
20221023,220.5
20221024,111.8
20221025,107.1
20221026,87.0
20221027,181.7
20221028,178.6
20221029,262.4
20221030,234.5
20221031,116.5
20221101,135.1
20221102,88.5
20221103,228.3
20221104,161.5
20221105,237.6
20221106,260.9
20221107,163.0
20221108,167.7
