기준연월,방문비율
20220811,110.7
20220812,116.8
20220813,147.1
20220814,182.5
20220815,127.9
20220816,118.5
20220817,128.3
20220818,134.4
20220819,128.4
20220820,133.2
20220821,152.0
20220822,116.2
20220823,114.9
20220824,132.7
20220825,136.6
20220826,134.6
20220827,129.8
20220828,144.8
20220829,126.5
20220830,121.6
20220831,134.0
20220901,140.2
20220902,137.9
20220903,150.7
20220904,148.7
20220905,109.4
20220906,112.0
20220907,111.4
20220908,126.1
20220909,164.4
20220910,166.0
20220911,170.2
20220912,145.8
20220913,114.5
20220914,123.9
20220915,129.0
20220916,128.4
20220917,166.6
20220918,171.1
20220919,104.0
20220920,120.4
20220921,132.2
20220922,141.8
20220923,148.1
20220924,178.1
20220925,188.1
20220926,143.1
20220927,144.8
20220928,157.0
20220929,167.3
20220930,150.7
20221001,167.6
20221002,168.2
20221003,146.1
20221004,131.6
20221005,151.9
20221006,161.8
20221007,155.2
20221008,176.6
20221009,184.9
20221010,152.2
20221011,136.6
20221012,149.7
20221013,160.0
20221014,157.0
20221015,181.6
20221016,177.1
20221017,109.4
20221018,133.0
20221019,155.1
20221020,152.2
20221021,158.7
20221022,169.2
20221023,172.6
20221024,136.2
20221025,157.9
20221026,178.2
20221027,195.0
20221028,203.1
20221029,187.4
20221030,185.4
20221031,152.0
20221101,122.9
20221102,138.9
20221103,152.0
20221104,153.6
20221105,154.2
20221106,163.0
20221107,110.1
20221108,121.2
