기준연월,방문비율
20220811,57.7
20220812,60.8
20220813,53.3
20220814,81.0
20220815,62.1
20220816,66.6
20220817,66.3
20220818,74.1
20220819,80.0
20220820,78.4
20220821,88.8
20220822,58.0
20220823,65.8
20220824,76.8
20220825,80.4
20220826,84.3
20220827,70.9
20220828,69.8
20220829,61.0
20220830,76.3
20220831,73.5
20220901,45.9
20220902,41.9
20220903,44.2
20220904,46.7
20220905,29.7
20220906,34.4
20220907,36.1
20220908,57.9
20220909,65.2
20220910,65.3
20220911,69.8
20220912,47.4
20220913,18.3
20220914,32.1
20220915,44.1
20220916,36.7
20220917,49.5
20220918,79.7
20220919,52.6
20220920,62.8
20220921,56.1
20220922,63.8
20220923,68.2
20220924,71.4
20220925,74.8
20220926,50.7
20220927,63.6
20220928,66.1
20220929,64.1
20220930,43.8
20221001,73.5
20221002,76.6
20221003,64.1
20221004,70.4
20221005,68.1
20221006,66.8
20221007,74.6
20221008,69.6
20221009,74.7
20221010,52.1
20221011,50.6
20221012,51.9
20221013,51.9
20221014,51.7
20221015,63.7
20221016,78.9
20221017,60.1
20221018,70.1
20221019,70.3
20221020,67.6
20221021,74.8
20221022,81.9
20221023,90.5
20221024,70.9
20221025,84.4
20221026,95.8
20221027,89.3
20221028,85.0
20221029,69.3
20221030,58.8
20221031,66.3
20221101,67.6
20221102,65.1
20221103,70.5
20221104,76.3
20221105,74.3
20221106,74.7
20221107,46.7
20221108,62.4
