기준연월,방문비율
20220811,135.2
20220812,150.3
20220813,153.5
20220814,116.3
20220815,143.8
20220816,65.1
20220817,143.8
20220818,151.1
20220819,155.8
20220820,146.6
20220821,159.7
20220822,149.5
20220823,79.1
20220824,170.8
20220825,169.2
20220826,168.7
20220827,172.6
20220828,173.7
20220829,155.3
20220830,89.3
20220831,176.3
20220901,158.1
20220902,159.1
20220903,159.7
20220904,154.7
20220905,158.4
20220906,78.4
20220907,155.2
20220908,148.5
20220909,148.3
20220910,146.4
20220911,144.4
20220912,153.7
20220913,70.6
20220914,147.4
20220915,148.0
20220916,148.8
20220917,153.1
20220918,163.3
20220919,154.7
20220920,76.9
20220921,168.0
20220922,174.4
20220923,175.0
20220924,177.1
20220925,171.9
20220926,153.7
20220927,78.9
20220928,179.9
20220929,177.5
20220930,177.1
20221001,164.0
20221002,163.5
20221003,164.8
20221004,80.7
20221005,163.6
20221006,158.9
20221007,157.9
20221008,159.2
20221009,155.8
20221010,155.3
20221011,72.4
20221012,156.6
20221013,152.6
20221014,154.0
20221015,162.5
20221016,158.6
20221017,156.5
20221018,73.0
20221019,166.4
20221020,163.3
20221021,168.3
20221022,180.1
20221023,173.2
20221024,154.2
20221025,79.9
20221026,172.6
20221027,170.0
20221028,177.9
20221029,183.0
20221030,180.5
20221031,162.2
20221101,81.7
20221102,167.0
20221103,161.2
20221104,161.4
20221105,164.1
20221106,158.9
20221107,155.7
20221108,76.9
