기준연월,방문비율
20220811,136.5
20220812,137.5
20220813,133.1
20220814,142.7
20220815,125.7
20220816,138.3
20220817,140.8
20220818,136.4
20220819,134.4
20220820,130.7
20220821,135.8
20220822,136.9
20220823,132.4
20220824,132.8
20220825,127.3
20220826,124.6
20220827,124.9
20220828,129.2
20220829,133.0
20220830,119.9
20220831,116.2
20220901,119.8
20220902,105.7
20220903,118.2
20220904,105.9
20220905,114.4
20220906,114.3
20220907,117.7
20220908,119.8
20220909,132.9
20220910,143.3
20220911,141.4
20220912,131.4
20220913,121.4
20220914,127.4
20220915,134.3
20220916,122.5
20220917,122.9
20220918,126.3
20220919,155.0
20220920,152.2
20220921,150.9
20220922,134.7
20220923,123.0
20220924,126.8
20220925,131.9
20220926,149.3
20220927,145.0
20220928,148.7
20220929,140.5
20220930,123.2
20221001,137.2
20221002,133.1
20221003,134.3
20221004,127.0
20221005,120.8
20221006,127.9
20221007,125.2
20221008,134.6
20221009,142.3
20221010,134.6
20221011,137.2
20221012,140.8
20221013,146.1
20221014,143.2
20221015,145.6
20221016,146.1
20221017,147.0
20221018,154.8
20221019,154.6
20221020,157.4
20221021,150.4
20221022,146.9
20221023,156.8
20221024,162.1
20221025,153.6
20221026,157.1
20221027,155.1
20221028,156.3
20221029,160.2
20221030,151.9
20221031,135.9
20221101,138.5
20221102,131.3
20221103,133.8
20221104,132.3
20221105,128.1
20221106,135.2
20221107,115.7
20221108,128.8
