광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,3.2,18.2
강원도,강릉시,3.2,27.9
강원도,춘천시,3.2,15.0
강원도,인제군,3.2,1.0
강원도,양양군,3.2,3.7
강원도,영월군,3.2,1.6
강원도,철원군,3.2,2.7
강원도,횡성군,3.2,1.7
강원도,속초시,3.2,5.7
강원도,동해시,3.2,5.7
강원도,태백시,3.2,3.1
강원도,평창군,3.2,4.5
강원도,정선군,3.2,1.1
강원도,홍천군,3.2,1.9
강원도,삼척시,3.2,3.3
강원도,고성군,3.2,1.0
강원도,화천군,3.2,0.8
강원도,양구군,3.2,0.8
경기도,성남시 분당구,22.5,7.8
경기도,화성시,22.5,6.0
경기도,부천시,22.5,5.6
경기도,수원시 영통구,22.5,3.3
경기도,용인시 기흥구,22.5,4.7
경기도,김포시,22.5,4.2
경기도,고양시 덕양구,22.5,3.6
경기도,의정부시,22.5,3.3
경기도,파주시,22.5,2.8
경기도,하남시,22.5,2.6
경기도,용인시 수지구,22.5,4.1
경기도,남양주시,22.5,4.8
경기도,광주시,22.5,2.9
경기도,양주시,22.5,1.3
경기도,광명시,22.5,1.5
경기도,고양시 일산서구,22.5,2.8
경기도,시흥시,22.5,2.0
경기도,수원시 팔달구,22.5,1.2
경기도,용인시 처인구,22.5,1.5
경기도,수원시 장안구,22.5,1.5
경기도,성남시 중원구,22.5,1.0
경기도,군포시,22.5,2.1
경기도,안양시 동안구,22.5,2.9
경기도,과천시,22.5,1.3
경기도,안양시 만안구,22.5,1.5
경기도,평택시,22.5,2.2
경기도,이천시,22.5,1.4
경기도,성남시 수정구,22.5,1.8
경기도,수원시 권선구,22.5,2.1
경기도,연천군,22.5,0.6
경기도,구리시,22.5,1.9
경기도,오산시,22.5,1.0
경기도,고양시 일산동구,22.5,3.3
경기도,의왕시,22.5,1.7
경기도,여주시,22.5,0.9
경기도,안산시 단원구,22.5,1.6
경기도,포천시,22.5,0.9
경기도,가평군,22.5,0.4
경기도,안성시,22.5,1.2
경기도,양평군,22.5,1.1
경기도,안산시 상록구,22.5,1.3
경기도,동두천시,22.5,0.3
경상남도,창원시 성산구,4.7,10.5
경상남도,김해시,4.7,16.7
경상남도,창원시 마산회원구,4.7,6.4
경상남도,진주시,4.7,7.9
경상남도,양산시,4.7,7.8
경상남도,창원시 의창구,4.7,8.4
경상남도,거제시,4.7,7.4
경상남도,통영시,4.7,3.7
경상남도,창원시 진해구,4.7,4.8
경상남도,남해군,4.7,2.1
경상남도,창녕군,4.7,1.0
경상남도,창원시 마산합포구,4.7,4.9
경상남도,함양군,4.7,1.6
경상남도,밀양시,4.7,3.7
경상남도,거창군,4.7,2.1
경상남도,사천시,4.7,2.2
경상남도,고성군,4.7,1.8
경상남도,산청군,4.7,1.6
경상남도,합천군,4.7,1.4
경상남도,하동군,4.7,1.3
경상남도,함안군,4.7,1.9
경상남도,의령군,4.7,0.7
경상북도,포항시 북구,3.9,12.4
경상북도,경산시,3.9,12.5
경상북도,경주시,3.9,12.1
경상북도,구미시,3.9,11.7
경상북도,포항시 남구,3.9,8.0
경상북도,김천시,3.9,5.1
경상북도,안동시,3.9,6.4
경상북도,예천군,3.9,2.8
경상북도,울릉군,3.9,0.2
경상북도,울진군,3.9,1.8
경상북도,고령군,3.9,1.9
경상북도,성주군,3.9,0.9
경상북도,영주시,3.9,3.6
경상북도,영덕군,3.9,1.1
경상북도,칠곡군,3.9,3.7
경상북도,청도군,3.9,1.0
경상북도,의성군,3.9,1.4
경상북도,문경시,3.9,3.2
경상북도,영천시,3.9,3.5
경상북도,영양군,3.9,1.1
경상북도,군위군,3.9,1.6
경상북도,청송군,3.9,0.9
경상북도,봉화군,3.9,0.7
경상북도,상주시,3.9,2.2
광주광역시,광산구,4.0,25.8
광주광역시,북구,4.0,27.5
광주광역시,서구,4.0,19.8
광주광역시,남구,4.0,18.3
광주광역시,동구,4.0,8.5
대구광역시,수성구,4.9,30.4
대구광역시,북구,4.9,16.9
대구광역시,달서구,4.9,23.0
대구광역시,동구,4.9,12.9
대구광역시,달성군,4.9,8.3
대구광역시,중구,4.9,3.4
대구광역시,남구,4.9,3.0
대구광역시,서구,4.9,2.1
대전광역시,유성구,2.9,36.6
대전광역시,서구,2.9,32.2
대전광역시,동구,2.9,9.9
대전광역시,중구,2.9,14.6
대전광역시,대덕구,2.9,6.7
부산광역시,해운대구,6.1,21.3
부산광역시,남구,6.1,8.7
부산광역시,금정구,6.1,8.4
부산광역시,부산진구,6.1,8.0
부산광역시,동래구,6.1,8.2
부산광역시,수영구,6.1,7.3
부산광역시,북구,6.1,8.1
부산광역시,연제구,6.1,5.1
부산광역시,사하구,6.1,6.5
부산광역시,기장군,6.1,3.9
부산광역시,사상구,6.1,4.1
부산광역시,서구,6.1,2.8
부산광역시,강서구,6.1,3.3
부산광역시,동구,6.1,1.5
부산광역시,중구,6.1,1.4
부산광역시,영도구,6.1,1.6
서울특별시,송파구,18.7,8.8
서울특별시,강남구,18.7,8.9
서울특별시,서초구,18.7,8.4
서울특별시,동작구,18.7,4.7
서울특별시,강서구,18.7,5.3
서울특별시,강동구,18.7,4.6
서울특별시,노원구,18.7,4.4
서울특별시,마포구,18.7,4.8
서울특별시,양천구,18.7,4.4
서울특별시,성동구,18.7,4.0
서울특별시,은평구,18.7,3.8
서울특별시,광진구,18.7,3.3
서울특별시,구로구,18.7,2.8
서울특별시,성북구,18.7,3.5
서울특별시,용산구,18.7,3.6
서울특별시,동대문구,18.7,2.6
서울특별시,영등포구,18.7,5.1
서울특별시,관악구,18.7,3.3
서울특별시,서대문구,18.7,3.6
서울특별시,강북구,18.7,1.5
서울특별시,종로구,18.7,2.3
서울특별시,도봉구,18.7,1.7
서울특별시,금천구,18.7,1.1
서울특별시,중구,18.7,1.2
서울특별시,중랑구,18.7,2.3
세종특별자치시,세종특별자치시,1.0,100.0
울산광역시,중구,2.3,21.9
울산광역시,남구,2.3,31.8
울산광역시,울주군,2.3,22.1
울산광역시,북구,2.3,14.3
울산광역시,동구,2.3,9.8
인천광역시,연수구,3.5,23.3
인천광역시,서구,3.5,20.1
인천광역시,부평구,3.5,15.5
인천광역시,남동구,3.5,14.6
인천광역시,미추홀구,3.5,7.1
인천광역시,계양구,3.5,8.5
인천광역시,중구,3.5,5.4
인천광역시,강화군,3.5,4.6
인천광역시,동구,3.5,0.7
인천광역시,옹진군,3.5,0.2
전라남도,순천시,4.5,16.1
전라남도,목포시,4.5,14.6
전라남도,담양군,4.5,2.8
전라남도,여수시,4.5,13.1
전라남도,무안군,4.5,5.3
전라남도,완도군,4.5,5.8
전라남도,화순군,4.5,3.2
전라남도,영광군,4.5,2.2
전라남도,광양시,4.5,6.7
전라남도,곡성군,4.5,0.9
전라남도,강진군,4.5,1.5
전라남도,나주시,4.5,6.9
전라남도,영암군,4.5,2.7
전라남도,장흥군,4.5,1.9
전라남도,장성군,4.5,2.2
전라남도,고흥군,4.5,2.9
전라남도,해남군,4.5,3.1
전라남도,보성군,4.5,1.7
전라남도,구례군,4.5,0.9
전라남도,신안군,4.5,2.8
전라남도,진도군,4.5,1.9
전라남도,함평군,4.5,0.7
전라북도,전주시 덕진구,4.6,18.4
전라북도,군산시,4.6,12.0
전라북도,전주시 완산구,4.6,29.9
전라북도,고창군,4.6,2.0
전라북도,익산시,4.6,13.5
전라북도,완주군,4.6,4.9
전라북도,김제시,4.6,2.2
전라북도,남원시,4.6,4.6
전라북도,진안군,4.6,2.3
전라북도,무주군,4.6,0.9
전라북도,정읍시,4.6,4.4
전라북도,임실군,4.6,0.8
전라북도,순창군,4.6,1.2
전라북도,장수군,4.6,1.3
전라북도,부안군,4.6,1.6
제주특별자치도,서귀포시,7.3,88.9
제주특별자치도,제주시,7.3,11.1
충청남도,아산시,3.1,16.8
충청남도,천안시 서북구,3.1,17.7
충청남도,천안시 동남구,3.1,12.2
충청남도,계룡시,3.1,1.8
충청남도,공주시,3.1,3.2
충청남도,서천군,3.1,3.8
충청남도,서산시,3.1,6.9
충청남도,부여군,3.1,3.0
충청남도,당진시,3.1,8.9
충청남도,보령시,3.1,4.1
충청남도,논산시,3.1,6.5
충청남도,예산군,3.1,3.8
충청남도,홍성군,3.1,5.1
충청남도,청양군,3.1,2.3
충청남도,금산군,3.1,2.1
충청남도,태안군,3.1,1.8
충청북도,청주시 서원구,2.8,16.7
충청북도,청주시 흥덕구,2.8,15.5
충청북도,청주시 상당구,2.8,10.2
충청북도,충주시,2.8,15.7
충청북도,옥천군,2.8,2.6
충청북도,청주시 청원구,2.8,11.2
충청북도,제천시,2.8,6.5
충청북도,음성군,2.8,6.7
충청북도,괴산군,2.8,1.5
충청북도,보은군,2.8,2.1
충청북도,진천군,2.8,4.2
충청북도,영동군,2.8,2.9
충청북도,단양군,2.8,2.6
충청북도,증평군,2.8,1.6
