광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,정선군,1.2,6.1
강원도,강릉시,1.2,19.3
강원도,고성군,1.2,2.4
강원도,태백시,1.2,1.5
강원도,인제군,1.2,2.1
강원도,양구군,1.2,1.2
강원도,동해시,1.2,6.4
강원도,춘천시,1.2,20.0
강원도,삼척시,1.2,2.7
강원도,원주시,1.2,16.1
강원도,평창군,1.2,2.7
강원도,속초시,1.2,6.1
강원도,양양군,1.2,2.4
강원도,횡성군,1.2,2.7
강원도,화천군,1.2,1.8
강원도,홍천군,1.2,3.9
강원도,영월군,1.2,0.9
강원도,철원군,1.2,1.5
경기도,화성시,13.5,5.6
경기도,고양시 일산서구,13.5,3.2
경기도,수원시 영통구,13.5,3.8
경기도,안양시 동안구,13.5,2.6
경기도,용인시 수지구,13.5,4.2
경기도,남양주시,13.5,4.4
경기도,고양시 덕양구,13.5,3.9
경기도,하남시,13.5,3.0
경기도,의정부시,13.5,2.1
경기도,김포시,13.5,3.4
경기도,부천시,13.5,5.8
경기도,용인시 기흥구,13.5,4.8
경기도,수원시 장안구,13.5,1.8
경기도,고양시 일산동구,13.5,3.4
경기도,파주시,13.5,2.1
경기도,성남시 분당구,13.5,7.9
경기도,수원시 권선구,13.5,2.9
경기도,군포시,13.5,2.3
경기도,안산시 단원구,13.5,2.1
경기도,과천시,13.5,1.2
경기도,구리시,13.5,1.4
경기도,시흥시,13.5,1.6
경기도,안산시 상록구,13.5,1.8
경기도,광명시,13.5,2.6
경기도,성남시 수정구,13.5,1.9
경기도,양평군,13.5,0.9
경기도,의왕시,13.5,1.5
경기도,안양시 만안구,13.5,1.1
경기도,동두천시,13.5,1.2
경기도,광주시,13.5,2.7
경기도,오산시,13.5,1.0
경기도,안성시,13.5,1.0
경기도,용인시 처인구,13.5,1.5
경기도,평택시,13.5,2.3
경기도,양주시,13.5,1.1
경기도,수원시 팔달구,13.5,1.4
경기도,성남시 중원구,13.5,1.2
경기도,여주시,13.5,0.4
경기도,포천시,13.5,1.1
경기도,이천시,13.5,1.3
경기도,가평군,13.5,0.3
경기도,연천군,13.5,0.3
경상남도,거제시,5.5,10.3
경상남도,진주시,5.5,14.3
경상남도,창원시 성산구,5.5,8.2
경상남도,통영시,5.5,5.6
경상남도,김해시,5.5,11.5
경상남도,창원시 진해구,5.5,5.3
경상남도,사천시,5.5,12.0
경상남도,창녕군,5.5,1.1
경상남도,창원시 의창구,5.5,5.7
경상남도,창원시 마산합포구,5.5,4.3
경상남도,창원시 마산회원구,5.5,3.3
경상남도,고성군,5.5,1.2
경상남도,양산시,5.5,6.5
경상남도,산청군,5.5,1.5
경상남도,함안군,5.5,1.4
경상남도,함양군,5.5,1.5
경상남도,의령군,5.5,0.4
경상남도,남해군,5.5,1.9
경상남도,거창군,5.5,0.8
경상남도,하동군,5.5,1.0
경상남도,밀양시,5.5,1.9
경상남도,합천군,5.5,0.3
경상북도,경산시,2.1,15.7
경상북도,구미시,2.1,11.4
경상북도,포항시 남구,2.1,10.2
경상북도,포항시 북구,2.1,15.4
경상북도,경주시,2.1,12.0
경상북도,영덕군,2.1,1.6
경상북도,영천시,2.1,4.8
경상북도,김천시,2.1,4.7
