기준연월,방문비율
20220817,120.7
20220818,120.7
20220819,139.1
20220820,128.7
20220821,140.2
20220822,147.1
20220823,148.3
20220824,173.6
20220825,171.3
20220826,171.3
20220827,174.7
20220828,163.2
20220829,137.9
20220830,141.4
20220831,141.4
20220901,136.8
20220902,140.2
20220903,141.4
20220904,123.0
20220905,94.3
20220906,113.8
20220907,106.9
20220908,143.7
20220909,173.6
20220910,171.3
20220911,147.1
20220912,118.4
20220913,133.3
20220914,124.1
20220915,147.1
20220916,155.2
20220917,136.8
20220918,141.4
20220919,126.4
20220920,142.5
20220921,133.3
20220922,159.8
20220923,164.4
20220924,144.8
20220925,146.0
20220926,125.3
20220927,139.1
20220928,162.1
20220929,160.9
20220930,139.1
20221001,123.0
20221002,127.6
20221003,111.5
20221004,134.5
20221005,159.8
20221006,156.3
20221007,131.0
20221008,133.3
20221009,142.5
20221010,117.2
20221011,174.7
20221012,172.4
20221013,140.2
20221014,133.3
20221015,137.9
20221016,146.0
20221017,131.0
20221018,193.1
20221019,192.0
20221020,156.3
20221021,152.9
20221022,150.6
20221023,160.9
20221024,172.4
20221025,198.9
20221026,170.1
20221027,173.6
20221028,175.9
20221029,178.2
20221030,175.9
20221031,180.5
20221101,163.2
20221102,127.6
20221103,123.0
20221104,119.5
20221105,121.8
20221106,121.8
20221107,125.3
20221108,140.2
20221109,136.8
20221110,137.9
20221111,146.0
20221112,147.1
20221113,136.8
20221114,129.9
