기준연월,방문비율
20220817,107.8
20220818,100.8
20220819,111.6
20220820,97.7
20220821,99.0
20220822,96.3
20220823,95.4
20220824,105.3
20220825,118.7
20220826,79.8
20220827,110.1
20220828,94.5
20220829,98.2
20220830,138.4
20220831,96.5
20220901,66.9
20220902,67.0
20220903,79.3
20220904,68.5
20220905,104.4
20220906,60.5
20220907,68.6
20220908,63.8
20220909,94.0
20220910,135.5
20220911,96.4
20220912,95.3
20220913,49.3
20220914,56.9
20220915,91.5
20220916,52.4
20220917,85.6
20220918,82.4
20220919,68.6
20220920,104.3
20220921,73.5
20220922,61.1
20220923,66.4
20220924,86.6
20220925,118.9
20220926,62.5
20220927,65.8
20220928,64.1
20220929,53.3
20220930,104.8
20221001,82.1
20221002,81.4
20221003,98.0
20221004,87.5
20221005,124.9
20221006,84.2
20221007,84.0
20221008,94.3
20221009,85.1
20221010,127.4
20221011,92.5
20221012,84.7
20221013,78.6
20221014,78.7
20221015,135.0
20221016,89.4
20221017,80.4
20221018,96.8
20221019,90.0
20221020,114.0
20221021,77.5
20221022,84.9
20221023,85.6
20221024,86.2
20221025,119.5
20221026,82.9
20221027,78.4
20221028,83.6
20221029,94.7
20221030,124.0
20221031,86.1
20221101,79.6
20221102,80.2
20221103,80.6
20221104,80.5
20221105,123.5
20221106,81.5
20221107,75.3
20221108,76.9
20221109,75.5
20221110,110.2
20221111,79.5
20221112,96.3
20221113,88.2
20221114,81.4
