기준연월,방문비율
20220811,105.9
20220812,121.3
20220813,129.1
20220814,134.8
20220815,126.6
20220816,113.9
20220817,113.0
20220818,115.4
20220819,120.6
20220820,117.1
20220821,120.1
20220822,118.5
20220823,110.7
20220824,104.4
20220825,107.5
20220826,123.4
20220827,129.1
20220828,123.4
20220829,120.0
20220830,112.8
20220831,112.4
20220901,80.4
20220902,88.6
20220903,105.7
20220904,88.8
20220905,75.8
20220906,77.9
20220907,81.0
20220908,81.5
20220909,113.2
20220910,116.4
20220911,114.8
20220912,122.6
20220913,69.2
20220914,72.9
20220915,73.1
20220916,73.1
20220917,100.4
20220918,107.4
20220919,90.4
20220920,82.6
20220921,89.1
20220922,84.4
20220923,104.4
20220924,120.4
20220925,110.1
20220926,101.8
20220927,94.4
20220928,93.7
20220929,90.0
20220930,88.6
20221001,115.7
20221002,111.4
20221003,118.2
20221004,92.5
20221005,93.8
20221006,90.5
20221007,96.5
20221008,124.6
20221009,118.7
20221010,118.1
20221011,86.1
20221012,86.9
20221013,83.3
20221014,84.5
20221015,110.5
20221016,110.4
20221017,100.1
20221018,92.7
20221019,90.9
20221020,83.4
20221021,94.2
20221022,117.7
20221023,113.1
20221024,105.1
20221025,97.3
20221026,96.1
20221027,94.2
20221028,95.8
20221029,117.7
20221030,110.3
20221031,109.8
20221101,90.9
20221102,92.4
20221103,88.8
20221104,90.3
20221105,117.2
20221106,107.5
20221107,87.3
20221108,85.4
