기준연월,방문비율
20220811,96.0
20220812,109.6
20220813,147.9
20220814,108.5
20220815,150.0
20220816,103.8
20220817,99.2
20220818,98.1
20220819,121.4
20220820,169.0
20220821,133.2
20220822,85.6
20220823,114.9
20220824,123.9
20220825,102.4
20220826,118.2
20220827,168.3
20220828,145.4
20220829,102.4
20220830,133.5
20220831,129.6
20220901,105.6
20220902,113.1
20220903,145.7
20220904,118.5
20220905,65.9
20220906,100.3
20220907,96.3
20220908,94.5
20220909,167.2
20220910,204.4
20220911,179.7
20220912,160.4
20220913,96.0
20220914,107.4
20220915,106.0
20220916,120.7
20220917,161.8
20220918,135.0
20220919,85.2
20220920,122.4
20220921,113.1
20220922,111.3
20220923,126.0
20220924,178.3
20220925,138.2
20220926,92.7
20220927,122.1
20220928,125.0
20220929,124.2
20220930,134.3
20221001,147.9
20221002,114.6
20221003,118.5
20221004,88.1
20221005,89.5
20221006,89.5
20221007,105.3
20221008,147.9
20221009,154.3
20221010,135.7
20221011,96.7
20221012,95.2
20221013,86.3
20221014,112.1
20221015,154.7
20221016,118.2
20221017,74.1
20221018,106.0
20221019,102.8
20221020,104.5
20221021,118.9
20221022,157.5
20221023,134.6
20221024,94.2
20221025,115.6
20221026,107.1
20221027,105.3
20221028,129.6
20221029,170.4
20221030,135.3
20221031,99.2
20221101,104.9
20221102,89.9
20221103,76.6
20221104,98.5
20221105,148.9
20221106,122.4
20221107,61.9
20221108,95.6
