기준연월,방문비율
20220817,101.8
20220818,88.1
20220819,105.2
20220820,148.0
20220821,126.6
20220822,96.7
20220823,87.3
20220824,99.2
20220825,109.5
20220826,108.6
20220827,145.4
20220828,154.0
20220829,104.4
20220830,111.2
20220831,94.1
20220901,206.2
20220902,89.0
20220903,142.0
20220904,142.0
20220905,71.9
20220906,97.5
20220907,66.7
20220908,94.1
20220909,360.1
20220910,376.4
20220911,367.0
20220912,414.9
20220913,112.1
20220914,101.8
20220915,105.2
20220916,124.9
20220917,184.8
20220918,183.9
20220919,125.7
20220920,206.2
20220921,116.3
20220922,77.0
20220923,109.5
20220924,148.0
20220925,165.1
20220926,124.9
20220927,130.0
20220928,100.1
20220929,89.0
20220930,136.0
20221001,143.7
20221002,110.4
20221003,197.6
20221004,50.5
20221005,101.8
20221006,92.4
20221007,75.3
20221008,195.0
20221009,210.4
20221010,205.3
20221011,84.7
20221012,81.3
20221013,100.9
20221014,120.6
20221015,169.4
20221016,135.2
20221017,89.8
20221018,93.2
20221019,100.9
20221020,99.2
20221021,97.5
20221022,155.7
20221023,137.7
20221024,90.7
20221025,104.4
20221026,96.7
20221027,100.1
20221028,95.8
20221029,159.1
20221030,190.8
20221031,87.3
20221101,205.3
20221102,38.5
20221103,65.9
20221104,90.7
20221105,181.4
20221106,120.6
20221107,55.6
20221108,89.0
20221109,92.4
20221110,86.4
20221111,93.2
20221112,189.9
20221113,133.4
20221114,83.8
