광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,동해시,0.5,13.2
강원도,삼척시,0.5,11.8
강원도,영월군,0.5,15.3
강원도,원주시,0.5,27.8
강원도,평창군,0.5,1.3
강원도,강릉시,0.5,11.7
강원도,고성군,0.5,2.0
강원도,홍천군,0.5,7.8
강원도,춘천시,0.5,1.3
강원도,횡성군,0.5,2.0
강원도,양양군,0.5,3.3
강원도,속초시,0.5,1.3
강원도,철원군,0.5,1.3
경기도,화성시,11.6,10.7
경기도,성남시 분당구,11.6,5.1
경기도,하남시,11.6,2.5
경기도,평택시,11.6,9.2
경기도,수원시 영통구,11.6,3.0
경기도,이천시,11.6,1.5
경기도,김포시,11.6,4.5
경기도,시흥시,11.6,7.4
경기도,부천시,11.6,5.9
경기도,양주시,11.6,1.8
경기도,성남시 수정구,11.6,1.8
경기도,남양주시,11.6,2.6
경기도,용인시 처인구,11.6,2.5
경기도,오산시,11.6,3.0
경기도,안산시 상록구,11.6,3.5
경기도,용인시 수지구,11.6,2.1
경기도,광명시,11.6,1.5
경기도,군포시,11.6,2.6
경기도,광주시,11.6,2.8
경기도,안산시 단원구,11.6,2.6
경기도,용인시 기흥구,11.6,3.0
경기도,안양시 동안구,11.6,2.5
경기도,구리시,11.6,0.9
경기도,수원시 권선구,11.6,2.4
경기도,안성시,11.6,1.5
경기도,고양시 일산서구,11.6,1.0
경기도,고양시 덕양구,11.6,2.1
경기도,성남시 중원구,11.6,1.2
경기도,의왕시,11.6,1.0
경기도,파주시,11.6,1.6
경기도,의정부시,11.6,0.6
경기도,과천시,11.6,0.2
경기도,수원시 팔달구,11.6,0.9
경기도,양평군,11.6,0.6
경기도,여주시,11.6,0.2
경기도,수원시 장안구,11.6,1.1
경기도,고양시 일산동구,11.6,1.3
경기도,안양시 만안구,11.6,0.9
경기도,가평군,11.6,0.1
경기도,포천시,11.6,0.2
경기도,동두천시,11.6,0.2
경기도,연천군,11.6,0.0
경상남도,창원시 마산합포구,3.9,18.1
경상남도,진주시,3.9,9.2
경상남도,창원시 의창구,3.9,12.4
경상남도,거제시,3.9,3.1
경상남도,김해시,3.9,20.3
경상남도,창원시 성산구,3.9,9.5
경상남도,밀양시,3.9,2.9
경상남도,창원시 마산회원구,3.9,4.3
경상남도,양산시,3.9,4.6
경상남도,고성군,3.9,0.4
경상남도,함안군,3.9,2.6
경상남도,통영시,3.9,0.3
경상남도,창원시 진해구,3.9,3.3
경상남도,의령군,3.9,1.1
경상남도,창녕군,3.9,1.1
경상남도,함양군,3.9,2.3
경상남도,사천시,3.9,1.8
경상남도,하동군,3.9,0.2
경상남도,남해군,3.9,1.6
경상남도,거창군,3.9,0.3
경상남도,산청군,3.9,0.5
경상북도,포항시 남구,3.4,29.9
경상북도,문경시,3.4,4.0
경상북도,경주시,3.4,19.1
경상북도,포항시 북구,3.4,17.4
경상북도,경산시,3.4,10.4
경상북도,구미시,3.4,7.7
경상북도,칠곡군,3.4,1.5
경상북도,울진군,3.4,0.6
경상북도,영주시,3.4,2.7
경상북도,김천시,3.4,1.7
경상북도,영천시,3.4,2.0
경상북도,안동시,3.4,1.0
경상북도,영덕군,3.4,0.2
경상북도,영양군,3.4,0.9
경상북도,상주시,3.4,0.3
경상북도,청도군,3.4,0.1
경상북도,성주군,3.4,0.3
경상북도,예천군,3.4,0.1
경상북도,고령군,3.4,0.1
경상북도,의성군,3.4,0.1
광주광역시,광산구,6.2,46.2
광주광역시,북구,6.2,25.0
광주광역시,서구,6.2,16.9
광주광역시,남구,6.2,8.6
광주광역시,동구,6.2,3.2
대구광역시,달서구,1.7,23.9
