기준연월,방문비율
20220811,85.6
20220812,97.9
20220813,174.2
20220814,107.3
20220815,137.9
20220816,95.7
20220817,94.4
20220818,96.0
20220819,105.2
20220820,176.1
20220821,119.3
20220822,92.5
20220823,96.5
20220824,97.5
20220825,99.9
20220826,108.5
20220827,178.5
20220828,118.3
20220829,93.8
20220830,97.7
20220831,98.1
20220901,107.0
20220902,118.1
20220903,205.1
20220904,152.3
20220905,95.2
20220906,111.5
20220907,90.3
20220908,101.3
20220909,251.6
20220910,296.1
20220911,219.6
20220912,212.4
20220913,129.6
20220914,113.2
20220915,118.4
20220916,129.5
20220917,209.3
20220918,156.5
20220919,101.1
20220920,144.2
20220921,135.7
20220922,123.7
20220923,113.8
20220924,205.7
20220925,155.6
20220926,97.5
20220927,122.2
20220928,98.4
20220929,104.3
20220930,111.5
20221001,215.1
20221002,165.0
20221003,155.9
20221004,103.9
20221005,104.4
20221006,107.3
20221007,114.7
20221008,212.2
20221009,186.9
20221010,163.7
20221011,103.6
20221012,103.4
20221013,108.1
20221014,115.2
20221015,216.7
20221016,160.6
20221017,99.0
20221018,104.2
20221019,104.6
20221020,109.2
20221021,115.4
20221022,213.2
20221023,160.5
20221024,97.6
20221025,110.8
20221026,104.6
20221027,108.0
20221028,113.8
20221029,211.1
20221030,156.9
20221031,99.3
20221101,106.2
20221102,104.1
20221103,107.5
20221104,114.5
20221105,218.9
20221106,183.1
20221107,96.7
20221108,101.9
