순위,관광지명,주소,분류,
1,수덕사,충남 예산군 수덕사안길 79-0,역사관광지,충청남도 예산군
2,예당호출렁다리,충남 예산군,기타관광지,충청남도 예산군
3,내포보부상촌,충남 예산군 온천단지1로 55-1,기타관광지,충청남도 예산군
4,예당호출렁다리,충남 예산군,기타관광,충청남도 예산군
5,삽교농협/내포농수산물종합유통센터,충남 예산군 예목로 171-0,쇼핑,충청남도 예산군
6,추사고택,충남 예산군,역사관광지,충청남도 예산군
7,수덕사,충남 예산군 수덕사안길 79-0,역사관광,충청남도 예산군
8,예당저수지,충남 예산군,자연관광지,충청남도 예산군
9,예산중앙시장,충남 예산군 형제고개로 967-0,쇼핑,충청남도 예산군
10,아그로랜드태신목장,충남 예산군 상몽2길 231-0,기타관광지,충청남도 예산군
11,봉수산자연휴양림,충남 예산군 임존성길 153-0,자연관광지,충청남도 예산군
12,예산황새공원,충남 예산군 시목대리길 62-19,자연관광지,충청남도 예산군
13,윤봉길의사기념관,충남 예산군 덕산온천로 183-5,문화시설,충청남도 예산군
14,예산장터삼국축제,충남 예산군,기타관광지,충청남도 예산군
15,덕산싸이판온천,충남 예산군 온천단지3로 84-0,휴양관광지,충청남도 예산군
16,의좋은형제공원,충남 예산군,자연관광지,충청남도 예산군
17,하나로마트/예산농협,충남 예산군 벚꽃로 139-22,쇼핑,충청남도 예산군
18,스플라스워터파크,충남 예산군 온천단지3로 45-7,휴양관광지,충청남도 예산군
19,아그로랜드태신목장,충남 예산군 상몽2길 231-0,체험관광,충청남도 예산군
20,하나로마트/예산덕산농협,충남 예산군 예덕로 3-0,쇼핑,충청남도 예산군
21,추사고택,충남 예산군,역사관광,충청남도 예산군
22,충의사,충남 예산군 덕산온천로 183-5,역사관광지,충청남도 예산군
23,내포보부상촌,충남 예산군 온천단지1로 55-1,기타관광,충청남도 예산군
24,예당저수지,충남 예산군,자연관광,충청남도 예산군
25,다이소/예산산성점,충남 예산군 역전로 155-0,쇼핑,충청남도 예산군
26,봉수산수목원,충남 예산군 임존성길 110-16,자연관광지,충청남도 예산군
27,한국유통,충남 예산군 벚꽃로127번길 2-0,쇼핑,충청남도 예산군
28,봉수산자연휴양림,충남 예산군 임존성길 153-0,자연관광,충청남도 예산군
29,예산황새공원,충남 예산군 시목대리길 62-19,문화관광,충청남도 예산군
30,역전시장,충남 예산군 역전로 84-0,쇼핑,충청남도 예산군
31,하나로마트/예산축협,충남 예산군 군청로 88-0,쇼핑,충청남도 예산군
32,GS더프레시/예산점,충남 예산군 벚꽃로77번길 11-0,쇼핑,충청남도 예산군
33,윤봉길의사기념관,충남 예산군 덕산온천로 183-5,문화관광,충청남도 예산군
34,향천사,충남 예산군 향천사로 117-20,역사관광지,충청남도 예산군
35,예산5일장,충남 예산군,쇼핑,충청남도 예산군
36,덕산싸이판온천,충남 예산군 온천단지3로 84-0,체험관광,충청남도 예산군
37,예산시네마,충남 예산군 천변로 160-0,공연/행사,충청남도 예산군
38,의좋은형제공원,충남 예산군,문화관광,충청남도 예산군
39,예산윤봉길체육관,충남 예산군 예산로 352-0,기타관광지,충청남도 예산군
40,하나로마트/삽교농협본점,충남 예산군 삽교로 109-0,쇼핑,충청남도 예산군
41,남연군묘,충남 예산군,역사관광지,충청남도 예산군
42,CU/덕산스플라스리솜점,충남 예산군 온천단지3로 45-7,쇼핑,충청남도 예산군
43,예산종합운동장,충남 예산군 예산로 354-0,기타관광지,충청남도 예산군
44,예산장터삼국축제,충남 예산군,문화관광,충청남도 예산군
45,충의사,충남 예산군 덕산온천로 183-5,역사관광,충청남도 예산군
46,롯데하이마트/예산점,충남 예산군 금오대로 84-0,쇼핑,충청남도 예산군
47,덕산시장,충남 예산군 읍내길 12-2,쇼핑,충청남도 예산군
48,덕산온천눈썰매장,충남 예산군 윤봉길로 366-11,레포츠(육상/해상/항공),충청남도 예산군
