기준연월,방문비율
20220811,89.0
20220812,106.1
20220813,205.5
20220814,178.6
20220815,187.2
20220816,84.2
20220817,80.4
20220818,88.3
20220819,97.5
20220820,196.8
20220821,169.2
20220822,76.3
20220823,58.7
20220824,57.8
20220825,61.4
20220826,83.5
20220827,205.9
20220828,187.9
20220829,82.9
20220830,66.3
20220831,66.0
20220901,49.6
20220902,68.2
20220903,184.1
20220904,151.3
20220905,65.8
20220906,42.3
20220907,35.1
20220908,35.4
20220909,179.0
20220910,201.1
20220911,177.7
20220912,189.6
20220913,41.8
20220914,41.3
20220915,45.6
20220916,67.7
20220917,171.5
20220918,162.9
20220919,61.5
20220920,53.4
20220921,45.1
20220922,50.8
20220923,72.4
20220924,172.5
20220925,150.6
20220926,63.6
20220927,56.5
20220928,52.7
20220929,56.9
20220930,84.0
20221001,189.4
20221002,162.0
20221003,147.0
20221004,44.5
20221005,48.7
20221006,51.7
20221007,74.0
20221008,211.5
20221009,203.2
20221010,185.1
20221011,48.8
20221012,45.8
20221013,45.5
20221014,68.3
20221015,187.9
20221016,159.3
20221017,60.0
20221018,49.4
20221019,48.1
20221020,50.4
20221021,71.6
20221022,183.1
20221023,167.3
20221024,63.8
20221025,54.4
20221026,49.8
20221027,58.2
20221028,82.8
20221029,201.7
20221030,192.2
20221031,72.6
20221101,48.8
20221102,43.2
20221103,36.5
20221104,61.6
20221105,161.7
20221106,140.8
20221107,53.0
20221108,34.5
