광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,1.0,31.9
강원도,춘천시,1.0,16.0
강원도,정선군,1.0,3.6
강원도,영월군,1.0,3.4
강원도,평창군,1.0,3.0
강원도,속초시,1.0,3.4
강원도,강릉시,1.0,9.0
강원도,인제군,1.0,3.4
강원도,홍천군,1.0,5.1
강원도,횡성군,1.0,4.0
강원도,화천군,1.0,1.3
강원도,동해시,1.0,3.6
강원도,삼척시,1.0,2.2
강원도,철원군,1.0,4.6
강원도,태백시,1.0,1.7
강원도,고성군,1.0,1.2
강원도,양양군,1.0,2.0
강원도,양구군,1.0,0.6
경기도,화성시,25.3,8.5
경기도,평택시,25.3,7.3
경기도,부천시,25.3,5.7
경기도,남양주시,25.3,4.5
경기도,광주시,25.3,4.0
경기도,용인시 기흥구,25.3,3.7
경기도,용인시 처인구,25.3,2.8
경기도,시흥시,25.3,3.6
경기도,김포시,25.3,2.8
경기도,의정부시,25.3,2.5
경기도,수원시 장안구,25.3,2.1
경기도,파주시,25.3,2.2
경기도,군포시,25.3,2.2
경기도,성남시 분당구,25.3,2.8
경기도,수원시 영통구,25.3,2.3
경기도,수원시 권선구,25.3,3.3
경기도,오산시,25.3,2.4
경기도,성남시 수정구,25.3,1.6
경기도,고양시 덕양구,25.3,2.3
경기도,안양시 만안구,25.3,1.8
경기도,고양시 일산서구,25.3,1.4
경기도,안산시 상록구,25.3,2.7
경기도,광명시,25.3,1.8
경기도,안양시 동안구,25.3,1.8
경기도,안성시,25.3,2.7
경기도,안산시 단원구,25.3,2.3
경기도,양주시,25.3,1.4
경기도,이천시,25.3,2.0
경기도,하남시,25.3,2.1
경기도,용인시 수지구,25.3,1.7
경기도,의왕시,25.3,1.1
경기도,고양시 일산동구,25.3,1.4
경기도,수원시 팔달구,25.3,1.5
경기도,구리시,25.3,1.6
경기도,여주시,25.3,0.9
경기도,포천시,25.3,0.8
경기도,양평군,25.3,0.8
경기도,성남시 중원구,25.3,1.5
경기도,동두천시,25.3,0.5
경기도,과천시,25.3,0.5
경기도,가평군,25.3,0.5
경기도,연천군,25.3,0.3
경상남도,창원시 의창구,0.8,6.4
경상남도,창원시 성산구,0.8,6.0
경상남도,진주시,0.8,11.5
경상남도,거창군,0.8,3.1
경상남도,김해시,0.8,8.7
경상남도,거제시,0.8,9.0
경상남도,양산시,0.8,5.9
경상남도,창원시 진해구,0.8,4.4
경상남도,창원시 마산회원구,0.8,4.8
경상남도,밀양시,0.8,2.9
경상남도,함안군,0.8,4.4
경상남도,창녕군,0.8,1.6
경상남도,의령군,0.8,1.1
경상남도,창원시 마산합포구,0.8,4.5
경상남도,사천시,0.8,4.9
경상남도,통영시,0.8,8.3
경상남도,합천군,0.8,1.4
경상남도,남해군,0.8,1.7
경상남도,하동군,0.8,1.8
경상남도,고성군,0.8,3.7
경상남도,함양군,0.8,2.2
경상남도,산청군,0.8,1.6
경상북도,경산시,1.0,11.7
경상북도,구미시,1.0,14.1
경상북도,경주시,1.0,4.7
경상북도,상주시,1.0,7.3
경상북도,안동시,1.0,6.7
경상북도,영주시,1.0,5.8
경상북도,영천시,1.0,2.1
경상북도,칠곡군,1.0,5.4
경상북도,김천시,1.0,9.7
경상북도,포항시 북구,1.0,6.4
경상북도,문경시,1.0,4.7
경상북도,의성군,1.0,2.7
경상북도,고령군,1.0,1.0
경상북도,포항시 남구,1.0,4.8
경상북도,영덕군,1.0,1.2
경상북도,울진군,1.0,3.2
경상북도,성주군,1.0,1.9
경상북도,예천군,1.0,3.2
경상북도,청도군,1.0,0.6
경상북도,영양군,1.0,0.4
경상북도,군위군,1.0,0.3
경상북도,봉화군,1.0,1.1
경상북도,청송군,1.0,0.7
경상북도,울릉군,1.0,0.2
광주광역시,북구,1.0,29.3
광주광역시,광산구,1.0,32.0
광주광역시,서구,1.0,19.4
광주광역시,남구,1.0,13.8
광주광역시,동구,1.0,5.4
대구광역시,달서구,0.6,19.9
대구광역시,북구,0.6,19.3
대구광역시,동구,0.6,17.6
대구광역시,수성구,0.6,15.3
대구광역시,달성군,0.6,13.1
대구광역시,서구,0.6,5.0
대구광역시,남구,0.6,6.6
대구광역시,중구,0.6,3.1
대전광역시,서구,8.5,34.2
대전광역시,유성구,8.5,24.3
대전광역시,중구,8.5,15.2
대전광역시,동구,8.5,14.3
대전광역시,대덕구,8.5,12.0
부산광역시,사하구,0.5,7.3
부산광역시,금정구,0.5,10.0
부산광역시,기장군,0.5,7.1
부산광역시,남구,0.5,9.2
부산광역시,부산진구,0.5,11.0
부산광역시,서구,0.5,3.2
부산광역시,수영구,0.5,4.0
부산광역시,중구,0.5,2.3
부산광역시,강서구,0.5,3.6
부산광역시,북구,0.5,10.4
부산광역시,동래구,0.5,4.3
부산광역시,연제구,0.5,3.8
부산광역시,해운대구,0.5,9.6
부산광역시,영도구,0.5,6.8
부산광역시,사상구,0.5,5.9
부산광역시,동구,0.5,1.6
서울특별시,성북구,11.5,4.7
서울특별시,강동구,11.5,5.6
서울특별시,송파구,11.5,7.5
서울특별시,은평구,11.5,4.8
서울특별시,구로구,11.5,5.0
서울특별시,강서구,11.5,6.1
서울특별시,관악구,11.5,6.3
서울특별시,금천구,11.5,3.2
서울특별시,중랑구,11.5,4.4
서울특별시,동작구,11.5,3.7
서울특별시,강남구,11.5,4.4
서울특별시,광진구,11.5,3.6
서울특별시,강북구,11.5,3.4
서울특별시,동대문구,11.5,3.4
서울특별시,영등포구,11.5,3.8
서울특별시,노원구,11.5,5.4
서울특별시,서초구,11.5,4.2
서울특별시,양천구,11.5,3.6
서울특별시,서대문구,11.5,3.0
서울특별시,마포구,11.5,3.2
서울특별시,종로구,11.5,1.4
서울특별시,용산구,11.5,1.8
서울특별시,성동구,11.5,2.7
서울특별시,도봉구,11.5,3.0
서울특별시,중구,11.5,1.5
세종특별자치시,세종특별자치시,2.0,100.0
울산광역시,북구,0.2,22.1
울산광역시,중구,0.2,17.7
울산광역시,남구,0.2,23.5
울산광역시,동구,0.2,10.3
울산광역시,울주군,0.2,26.4
인천광역시,서구,4.4,22.0
인천광역시,남동구,4.4,17.8
인천광역시,부평구,4.4,16.6
인천광역시,계양구,4.4,10.3
인천광역시,미추홀구,4.4,13.8
인천광역시,연수구,4.4,11.6
인천광역시,중구,4.4,3.8
인천광역시,동구,4.4,1.5
인천광역시,강화군,4.4,2.3
인천광역시,옹진군,4.4,0.5
전라남도,영암군,1.0,4.9
전라남도,순천시,1.0,11.5
전라남도,목포시,1.0,16.1
전라남도,여수시,1.0,10.3
전라남도,영광군,1.0,4.7
전라남도,곡성군,1.0,1.4
전라남도,무안군,1.0,6.2
전라남도,나주시,1.0,11.2
전라남도,광양시,1.0,6.2
전라남도,강진군,1.0,1.8
전라남도,신안군,1.0,2.7
전라남도,고흥군,1.0,1.6
전라남도,구례군,1.0,2.2
전라남도,담양군,1.0,2.2
전라남도,장성군,1.0,3.9
전라남도,해남군,1.0,2.5
전라남도,화순군,1.0,3.4
전라남도,진도군,1.0,0.8
전라남도,함평군,1.0,1.7
전라남도,완도군,1.0,1.6
전라남도,장흥군,1.0,1.9
전라남도,보성군,1.0,1.1
전라북도,군산시,5.3,27.2
전라북도,전주시 덕진구,5.3,14.8
전라북도,전주시 완산구,5.3,14.7
전라북도,익산시,5.3,23.5
전라북도,김제시,5.3,4.5
전라북도,정읍시,5.3,3.6
전라북도,완주군,5.3,4.0
전라북도,고창군,5.3,1.6
전라북도,순창군,5.3,0.8
전라북도,무주군,5.3,0.9
전라북도,남원시,5.3,1.3
전라북도,임실군,5.3,0.5
전라북도,장수군,5.3,0.5
전라북도,진안군,5.3,0.6
전라북도,부안군,5.3,1.5
제주특별자치도,서귀포시,0.2,39.3
제주특별자치도,제주시,0.2,60.7
충청남도,보령시,31.9,31.1
충청남도,태안군,31.9,15.1
충청남도,서산시,31.9,10.4
충청남도,홍성군,31.9,5.9
충청남도,아산시,31.9,6.0
충청남도,당진시,31.9,4.7
충청남도,천안시 서북구,31.9,5.2
충청남도,천안시 동남구,31.9,4.1
충청남도,예산군,31.9,3.3
충청남도,부여군,31.9,3.6
충청남도,청양군,31.9,1.9
충청남도,공주시,31.9,2.4
충청남도,논산시,31.9,2.7
충청남도,서천군,31.9,1.9
충청남도,금산군,31.9,0.9
충청남도,계룡시,31.9,0.7
충청북도,청주시 흥덕구,5.0,19.6
충청북도,청주시 청원구,5.0,14.9
충청북도,청주시 서원구,5.0,17.5
충청북도,충주시,5.0,8.4
충청북도,청주시 상당구,5.0,12.3
충청북도,진천군,5.0,4.4
충청북도,음성군,5.0,6.1
충청북도,단양군,5.0,0.8
충청북도,제천시,5.0,2.4
충청북도,옥천군,5.0,5.5
충청북도,증평군,5.0,2.4
충청북도,영동군,5.0,1.9
충청북도,괴산군,5.0,1.5
충청북도,보은군,5.0,2.3
