기준연월,방문비율
20220811,100.5
20220812,114.7
20220813,216.5
20220814,219.1
20220815,186.3
20220816,96.6
20220817,92.7
20220818,97.0
20220819,109.1
20220820,205.3
20220821,202.2
20220822,72.0
20220823,92.7
20220824,92.7
20220825,98.7
20220826,111.7
20220827,205.7
20220828,208.3
20220829,68.6
20220830,95.3
20220831,95.7
20220901,73.3
20220902,106.5
20220903,217.8
20220904,242.3
20220905,68.1
20220906,77.6
20220907,78.9
20220908,88.4
20220909,233.7
20220910,241.9
20220911,259.6
20220912,230.7
20220913,76.3
20220914,76.3
20220915,84.5
20220916,98.3
20220917,208.3
20220918,248.0
20220919,71.2
20220920,83.2
20220921,82.8
20220922,81.1
20220923,94.4
20220924,200.1
20220925,225.5
20220926,64.3
20220927,86.2
20220928,85.0
20220929,90.6
20220930,100.5
20221001,212.2
20221002,234.2
20221003,179.4
20221004,72.0
20221005,73.7
20221006,80.2
20221007,86.2
20221008,213.5
20221009,252.7
20221010,186.7
20221011,80.2
20221012,78.9
20221013,74.6
20221014,82.8
20221015,197.9
20221016,219.1
20221017,62.1
20221018,73.3
20221019,74.2
20221020,77.2
20221021,83.7
20221022,188.0
20221023,204.4
20221024,59.9
20221025,80.2
20221026,81.5
20221027,84.5
20221028,87.5
20221029,190.2
20221030,208.7
20221031,53.9
20221101,47.9
20221102,59.1
20221103,65.5
20221104,77.2
20221105,167.7
20221106,192.8
20221107,39.7
20221108,57.4
