기준연월,방문비율
20220811,181.9
20220812,217.3
20220813,492.6
20220814,632.3
20220815,407.1
20220816,205.5
20220817,200.6
20220818,192.7
20220819,188.8
20220820,382.5
20220821,403.1
20220822,187.8
20220823,168.1
20220824,199.6
20220825,196.7
20220826,191.7
20220827,356.9
20220828,439.5
20220829,245.8
20220830,222.2
20220831,216.3
20220901,225.2
20220902,208.5
20220903,661.8
20220904,773.8
20220905,326.5
20220906,211.4
20220907,192.7
20220908,210.4
20220909,679.4
20220910,1011.8
20220911,1110.1
20220912,767.0
20220913,183.9
20220914,173.1
20220915,208.5
20220916,185.8
20220917,665.7
20220918,784.7
20220919,246.8
20220920,257.6
20220921,212.4
20220922,188.8
20220923,233.0
20220924,698.1
20220925,828.9
20220926,264.5
20220927,220.3
20220928,250.7
20220929,258.6
20220930,215.3
20221001,780.7
20221002,1156.3
20221003,686.3
20221004,276.3
20221005,294.0
20221006,228.1
20221007,209.4
20221008,894.8
20221009,1178.0
20221010,732.5
20221011,294.0
20221012,257.6
20221013,190.8
20221014,218.3
20221015,790.6
20221016,858.4
20221017,264.5
20221018,236.0
20221019,261.6
20221020,259.6
20221021,222.2
20221022,889.9
20221023,1023.6
20221024,312.7
20221025,299.9
20221026,273.4
20221027,275.3
20221028,275.3
20221029,875.1
20221030,988.2
20221031,270.4
20221101,247.8
20221102,239.9
20221103,239.9
20221104,222.2
20221105,829.9
20221106,983.3
20221107,211.4
20221108,230.1
