기준연월,방문비율
20220811,266.6
20220812,457.9
20220813,563.8
20220814,211.7
20220815,271.7
20220816,220.7
20220817,341.8
20220818,221.9
20220819,275.5
20220820,322.7
20220821,306.1
20220822,242.3
20220823,325.3
20220824,413.3
20220825,252.6
20220826,265.3
20220827,321.4
20220828,386.5
20220829,306.1
20220830,371.2
20220831,552.3
20220901,119.9
20220902,219.4
20220903,247.4
20220904,218.1
20220905,65.1
20220906,139.0
20220907,265.3
20220908,197.7
20220909,355.9
20220910,363.5
20220911,362.2
20220912,275.5
20220913,284.4
20220914,378.8
20220915,230.9
20220916,279.3
20220917,304.8
20220918,298.5
20220919,233.4
20220920,289.5
20220921,436.2
20220922,236.0
20220923,255.1
20220924,312.5
20220925,327.8
20220926,234.7
20220927,303.6
20220928,529.3
20220929,292.1
20220930,341.8
20221001,287.0
20221002,386.5
20221003,144.1
20221004,133.9
20221005,256.4
20221006,108.4
20221007,173.5
20221008,273.0
20221009,361.0
20221010,271.7
20221011,257.7
20221012,395.4
20221013,220.7
20221014,299.7
20221015,325.3
20221016,307.4
20221017,206.6
20221018,279.3
20221019,464.3
20221020,266.6
20221021,281.9
20221022,341.8
20221023,327.8
20221024,260.2
20221025,373.7
20221026,492.3
20221027,292.1
20221028,358.4
20221029,389.0
20221030,401.8
20221031,281.9
20221101,228.3
20221102,301.0
20221103,99.5
20221104,167.1
20221105,205.4
20221106,190.1
20221107,66.3
20221108,218.1
