유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
서울특별시 , 경기도,74.2,1
인천광역시 , 경기도,15.8,1
충청남도 , 경기도,3.5,1
강원도 , 경기도,3.3,1
충청북도 , 경기도,2.1,1
대전광역시 , 경기도,0.3,1
경상북도 , 경기도,0.2,1
세종특별자치시 , 경기도,0.2,1
전라북도 , 경기도,0.2,1
경상남도 , 경기도,0.1,1
대구광역시 , 경기도,0.1,1
전라남도 , 경기도,0.0,1
부산광역시 , 경기도,0.0,1
광주광역시 , 경기도,0.0,1
울산광역시 , 경기도,0.0,1
제주특별자치도 , 경기도,0.0,1
 경기도,서울특별시,59.4,2
 경기도,인천광역시,19.1,2
 경기도,강원도,9.5,2
 경기도,충청남도,5.9,2
 경기도,충청북도,3.5,2
 경기도,대전광역시,0.6,2
 경기도,경상북도,0.5,2
 경기도,전라북도,0.5,2
 경기도,전라남도,0.3,2
 경기도,세종특별자치시,0.3,2
 경기도,경상남도,0.2,2
 경기도,부산광역시,0.1,2
 경기도,대구광역시,0.1,2
 경기도,광주광역시,0.1,2
 경기도,울산광역시,0.0,2
 경기도,제주특별자치도,0.0,2
