순위,업소명,주소,분류,합산 검색 수
1,투썸플레이스창원귀산점,경남 창원시 성산구 삼귀로 167-0,카페/찻집,67956
2,하연옥본점,경남 진주시 진주대로 1317-20,한식,44956
3,온더선셋,경남 거제시 성포로 65-0,카페/찻집,31025
4,스타벅스창원마창대교점,경남 창원시 성산구 삼귀로 159-0,카페/찻집,30445
5,동부회센터,경남 창원시 진해구 천자로 5-0,외국식,29116
6,대동할매국수,경남 김해시 동남로45번길 8-0,한식,26613
7,하주옥,경남 사천시 하동길 8-11,한식,25422
8,더블유181,경남 거제시 거제북로 2707-0,카페/찻집,23398
9,소토,경남 양산시 충렬로 617-0,한식,22196
10,맥도날드양산DT점,경남 양산시 남양산길 7-0,간이음식,20546
11,맥도날드창원사파DT점,경남 창원시 성산구 창이대로706번길 2-0,간이음식,19085
12,느티나무의사랑카페,경남 양산시 여락송정로 270-2,카페/찻집,18590
13,홍철책빵김해DT점,경남 김해시 율하로 443-0,간이음식,17461
14,블랙업커피양산점,경남 양산시 물금역1길 11-0,카페/찻집,17256
15,동피랑전복마을,경남 통영시 통새미길 21-0,한식,16832
16,로스팅웨어,경남 진주시 가호방아길 51-8,카페/찻집,16464
17,목화휴게소식당,경남 사천시,한식,15934
18,우주총동원,경남 하동군 구고속도로 392-0,카페/찻집,15274
19,쾌지나칭칭,경남 함안군 새터길 168-2,한식,15150
20,뜬,경남 함안군 부남1길 24-15,카페/찻집,15095
21,브라운핸즈마산점,경남 창원시 마산합포구 가포순환로 109-0,카페/찻집,14548
22,맥도날드김해장유DT점,경남 김해시 삼문로 34-0,간이음식,14398
23,아웃백스테이크하우스중앙점,경남 창원시 성산구 중앙대로 33-0,외국식,13987
24,더로드101,경남 하동군 화개로 357-0,카페/찻집,13710
25,마소마레,경남 거제시 거제대로 1828-5,카페/찻집,13448
26,생생굴마을대풍관,경남 통영시 해송정2길 29-0,외국식,13365
27,밀양돼지국밥,경남 김해시 인제로 91-0,한식,13149
28,무타블랑,경남 양산시 수서로 164-10,카페/찻집,13039
29,임진각식당,경남 창원시 의창구 팔용로 515-0,한식,12840
30,카페모토라드,경남 합천군 합천호수로 525-0,카페/찻집,12760
31,시티베이,경남 창원시 마산회원구 무역로 111-0,카페/찻집,12698
32,한꼬막두꼬막,경남 거제시 지세포로 121-0,한식,12661
33,황포냉면,경남 진주시 호탄길34번길 10-0,한식,12577
34,오송웨이브,경남 거제시 오송7길 3-1,카페/찻집,12409
35,스타벅스진해자은DT점,경남 창원시 진해구 진해대로 962-0,카페/찻집,12105
36,파우제앤숨,경남 김해시 동남로41번길 94-0,카페/찻집,12101
37,스타벅스진주혁신도시점,경남 진주시 에나로127번길 30-0,카페/찻집,11969
38,장유율하카페거리,경남 김해시,기타음식,11885
39,성산명가,경남 창원시 성산구 마디미로63번길 7-0,한식,11655
40,스타벅스김해율하점,경남 김해시 율하카페길 77-0,카페/찻집,11629
41,스타벅스남양산IC DT점,경남 양산시 월리길 11-76,카페/찻집,11602
42,힙한식,경남 남해군 동부대로 2-0,한식,11501
43,쿠우쿠우창원점,경남 창원시 의창구 용동로83번안길 36-0,외국식,11414
44,스타벅스김해진영DT점,경남 김해시 여래로20번길 34-26,카페/찻집,11368
45,맥도날드김해삼정DT점,경남 김해시 김해대로 2471-0,간이음식,11125
46,엘리브,경남 창원시 성산구 귀산로 19-0,카페/찻집,11115
47,쿠우쿠우진주점,경남 진주시 에나로 100-0,외국식,11094
48,방목리카페,경남 산청군 석대로281번길 229-30,카페/찻집,11019
49,배말칼국수김밥본점,경남 거제시 장승포로 2-0,한식,10968
50,스타벅스창원역DT점,경남 창원시 의창구 의창대로 68-0,카페/찻집,10924
51,목민정[한식],경남 창원시 의창구 읍성로34번길 23-0,한식,10854
52,삼천포맛집정서방,경남 사천시 진삼로 269-0,한식,10718
53,봄내,경남 김해시 율하카페길 1-0,한식,10676
53,스타벅스김해대로DT점,경남 김해시 김해대로 2465-0,카페/찻집,10676
55,우동한그릇,경남 창원시 마산합포구 가포로 706-0,외국식,10233
56,쌤김밥,경남 거제시 지세포로 101-0,간이음식,10197
57,로담,경남 김해시 동남로 636-0,한식,10194
58,심해,경남 거제시 옥포대첩로 1252-0,카페/찻집,10146
59,삼가식육식당,경남 합천군 일부5길 14-0,한식,10108
60,토도스,경남 창원시 성산구 용호로 116-0,외국식,10105
61,오미사꿀빵,경남 통영시 도남로 110-0,간이음식,10059
62,스타벅스밀양DT점,경남 밀양시 밀양대로 1792-0,카페/찻집,10049
63,매암제다원,경남 하동군 악양서로 346-1,카페/찻집,9999
64,배가네흥동수제비흥동점,경남 김해시 흥동로 142-0,한식,9966
65,행랑채,경남 밀양시 산외로 731-0,한식,9929
66,더로드101귀산,경남 창원시 성산구 삼귀로486번길 61-8,카페/찻집,9768
67,올오버베이커리&커피,경남 김해시 율하로 515-0,간이음식,9669
68,오미사꿀빵본점,경남 통영시 충렬로 14-18,간이음식,9638
69,맥도날드창원역DT점,경남 창원시 의창구 의창대로 50-0,간이음식,9621
70,네르하21카페,경남 통영시 도산일주로 954-0,카페/찻집,9566
71,단장면커피로스터스,경남 밀양시 표충로 679-0,카페/찻집,9553
72,무이,경남 양산시 화산길 78-0,카페/찻집,9550
73,롯데리아진해용원점,경남 창원시 진해구 용원로7번길 18-0,간이음식,9483
74,심가네해물짬뽕[중식],경남 통영시 새터길 74-4,외국식,9385
75,바람의핫도그본점,경남 거제시 다대5길 13-0,간이음식,9361
76,외도널서리,경남 거제시 구조라로4길 21-0,카페/찻집,9343
77,스타벅스양산덕계DT점,경남 양산시 웅상대로 860-0,카페/찻집,9301
78,쿠우쿠우김해장유점,경남 김해시 삼문로 15-0,외국식,9285
79,예이제게장백반본점,경남 거제시 장승로 101-1,외국식,9246
80,스타벅스마산해안대로DT점,경남 창원시 마산합포구 해안대로 383-0,카페/찻집,9190
81,겐쇼심야라멘,경남 창원시 진해구 진해대로 648-0,외국식,9061
82,더풀,경남 남해군 남서대로1517번길 50-0,간이음식,8946
83,거제보재기집,경남 거제시 지세포해안로 175-0,외국식,8917
84,팬아시아창원가로수길점,경남 창원시 성산구 용지로239번길 4-0,외국식,8907
85,뚱보할머니김밥,경남 통영시 통영해안로 325-0,간이음식,8877
86,하면옥본점,경남 거제시 연하해안로 320-0,한식,8851
87,스타벅스경남사천DT점,경남 사천시 사천대로 1844-0,카페/찻집,8829
88,천황식당[한식],경남 진주시 촉석로207번길 3-0,한식,8791
89,성포끝집,경남 거제시 성포로3길 56-0,외국식,8746
90,우리식당,경남 남해군 동부대로1876번길 7-0,한식,8706
91,옛날영도집,경남 창원시 마산합포구 가포해안길 37-0,외국식,8685
92,맥도날드마산신포DT점,경남 창원시 마산합포구 서성로 8-0,간이음식,8588
92,아르미르CC점스타트하우스,경남 창원시 진해구 수제로 36-0,한식,8588
94,호포갈비호포점,경남 양산시 양산대로 115-0,한식,8569
95,동굴집,경남 창원시 마산합포구 가포해안길 35-0,외국식,8400
96,대구식당,경남 함안군 북촌2길 50-27,한식,8382
97,라온하제,경남 창원시 성산구 삼귀로 361-0,외국식,8375
98,맥도날드양산북정DT점,경남 양산시 양산대로 925-0,간이음식,8313
99,씨맨스,경남 사천시 해안관광로 381-3,카페/찻집,8237
100,동피랑쭈굴,경남 통영시 통영해안로 363-1,외국식,8216
