순위,관광지명,주소,분류
1,신세계백화점/광주점,광주 서구 무진대로 932-0,쇼핑
2,이마트/광주점,광주 서구 죽봉대로 61-0,쇼핑
3,롯데백화점/광주점,광주 동구 독립로 268-0,쇼핑
4,롯데아울렛/광주수완점,광주 광산구 장신로 98-0,쇼핑
5,NC웨이브/충장점,광주 동구 중앙로 163-0,쇼핑
6,롯데마트/월드컵점,광주 서구 금화로 240-0,쇼핑
7,이마트/광산점,광주 광산구 사암로 172-0,쇼핑
8,롯데마트/수완점,광주 광산구 장신로 98-0,쇼핑
9,세정아울렛,광주 서구 상무대로 773-0,쇼핑
10,광주양동시장,광주 서구 천변좌로 238-0,쇼핑
11,롯데마트/첨단점,광주 광산구 첨단강변로99번길 22-0,쇼핑
12,롯데아울렛/광주월드컵점,광주 서구 금화로 240-0,쇼핑
13,홈플러스/광주하남점,광주 광산구 용아로 390-0,쇼핑
14,홈플러스/동광주점,광주 북구 동문대로 200-0,쇼핑
15,이마트/봉선점,광주 남구 봉선로 198-0,쇼핑
16,국립아시아문화전당,광주 동구 문화전당로 38-0,문화시설
17,서부농수산물도매시장,광주 서구 매월2로 16-0,쇼핑
18,홈플러스/광주계림점,광주 동구 무등로 314-0,쇼핑
19,롯데마트맥스/상무점,광주 서구 시청로 40-0,쇼핑
20,광주공항,광주 광산구 상무대로 420-25,기타관광지
21,NC백화점/광주역점,광주 북구 경열로 249-0,쇼핑
22,광주아울렛,광주 서구 상무대로 627-0,쇼핑
23,금호월드,광주 서구 군분2로 54-0,쇼핑
24,말바우시장,광주 북구 서방로81번길 27-0,쇼핑
25,김대중컨벤션센터,광주 서구 상무누리로 30-0,문화시설
26,광주각화농산물도매시장,광주 북구 동문대로 260-0,쇼핑
27,롯데마트/상무점,광주 서구 시청로 40-0,쇼핑
28,메가박스/광주하남,광주 광산구 풍영철길로 15-0,공연/행사
29,운천저수지,광주 서구,자연관광지
30,펭귄마을,광주 남구 천변좌로446번길 7-0,기타관광지
