순위,업소명,주소,분류,현지인 검색 수
1,퍼니스카페앤라운지,광주 서구 천변좌하로 192-0,카페/찻집,8371
2,세컨드원,광주 광산구 임방울대로 611-25,카페/찻집,6174
3,맥도날드광주산정DT점,광주 광산구 용아로 251-0,간이음식,4394
4,맥문동,광주 서구 마륵로 24-0,외국식,4083
5,스타벅스광주선운DT점,광주 광산구 선운로20번길 63-0,카페/찻집,3683
6,스타벅스광주연제DT점,광주 북구 양일로18번길 2-0,카페/찻집,3597
7,스타벅스광주비아DT점,광주 광산구 첨단과기로 81-0,카페/찻집,3543
8,황솔촌수완점,광주 광산구 장신로19번안길 23-0,한식,3499
9,맥도날드전남대DT점,광주 북구 우치로 134-0,간이음식,3495
10,반헤이브,광주 북구 용전마을길 23-6,카페/찻집,3485
11,쌍교숯불갈비송정점,광주 광산구 동곡로 462-0,한식,3317
12,LoungeOIC,광주 광산구 임방울대로826번길 42-0,외국식,3047
13,테이트모던,광주 서구 상무대로673번길 24-0,카페/찻집,3042
14,스타벅스광주신안DT점,광주 북구 서암대로 93-0,카페/찻집,3014
15,스타벅스동광주DT점,광주 북구 동문대로 148-0,카페/찻집,2973
16,스타벅스광주흑석DT점,광주 광산구 사암로 367-0,카페/찻집,2897
17,상무초밥상무점,광주 서구 운천로 253-0,외국식,2847
18,스타벅스광주효천DT점,광주 남구 임암길 232-0,카페/찻집,2776
19,스타벅스광주용두DT점,광주 북구 임방울대로 1016-0,카페/찻집,2761
20,탱고아구찜,광주 북구 설죽로471번길 12-0,한식,2750
21,궁전제과수완점,광주 광산구 사암로 426-0,간이음식,2705
22,매월농원,광주 서구 전평길 66-0,외국식,2646
23,스타벅스광주화정DT점,광주 서구 상무대로 1080-0,카페/찻집,2605
24,나정상회,광주 서구 상무자유로 24-0,한식,2593
25,스타벅스광주상무DT점,광주 서구 상무대로 847-0,카페/찻집,2559
26,스타벅스광주수완DT점,광주 광산구 임방울대로 487-0,카페/찻집,2552
27,맥도날드광주쌍촌DT점,광주 서구 상무대로 921-1,간이음식,2511
28,버거킹광주수완DT점,광주 광산구 임방울대로 499-0,간이음식,2490
29,명화식육식당,광주 광산구 평동로 421-0,한식,2478
30,옥과한우촌상무점,광주 서구 내방로 39-1,한식,2454
31,솔빛마루상무점 [한식],광주 서구 상무자유로 24-2,한식,2403
32,쿠우쿠우광주상무점,광주 서구 시청로50번길 3-0,외국식,2343
33,유향[중식],광주 광산구 용아로400번길 33-0,외국식,2339
34,맥도날드광주동림DT점,광주 북구 하남대로 635-0,간이음식,2326
35,맥도날드상무대DT점,광주 서구 치평로 72-0,간이음식,2315
36,초유지,광주 북구 하서로523번길 11-0,한식,2274
37,맥도날드광주월산DT점,광주 남구 대남대로 393-0,간이음식,2273
38,등촌상무점,광주 서구 마륵로 23-0,외국식,2220
39,스타벅스광주금호DT점,광주 서구 운천로109번길 1-0,카페/찻집,2184
40,스타벅스광주매곡DT점,광주 북구 설죽로 339-0,카페/찻집,2123
41,문라이즈531,광주 북구 삼소로 352-0,카페/찻집,2108
42,황솔촌상무점,광주 서구 운천로 143-0,한식,2077
43,서울깍두기상무점,광주 서구 상무시민로 97-6,한식,2049
44,하마아구찜수완본점,광주 광산구 수완로14번길 27-0,한식,2046
45,스타벅스광주신가DT점,광주 광산구 목련로 335-0,카페/찻집,2035
46,남쪽마을돌짜장,광주 광산구 임곡로 523-7,외국식,2011
47,스타벅스광주월산DT점,광주 남구 대남대로 386-0,카페/찻집,1992
48,라라브레드양산점,광주 북구 하서로 498-0,간이음식,1979
49,궁전제과진월점,광주 남구 서문대로 701-0,간이음식,1949
50,밀탑상무점,광주 서구 상무자유로 27-0,카페/찻집,1938
50,카페304,광주 광산구 장신로 280-14,카페/찻집,1938
52,카페얼씨,광주 북구 송강로 49-0,카페/찻집,1925
53,스퀘어,광주 광산구 하완길 103-0,카페/찻집,1924
54,상무초밥첨단점,광주 광산구 첨단중앙로106번길 37-0,외국식,1892
54,스타벅스광주지산DT점,광주 동구 필문대로 240-0,카페/찻집,1892
56,쿠우쿠우광주하남점,광주 광산구 무진대로 272-8,외국식,1877
57,쟝리6-6,광주 서구 천변좌하로 436-0,카페/찻집,1860
58,마천루[중식],광주 서구 월드컵4강로 236-0,외국식,1848
59,맥도날드광주첨단DT점,광주 북구 임방울대로 1048-0,간이음식,1830
60,황솔촌운암점,광주 북구 북문대로 167-0,한식,1828
61,김강심칼국수,광주 서구 회재로 841-0,한식,1824
62,스타벅스서광주DT점,광주 서구 서광주로 23-0,카페/찻집,1815
63,스타벅스광주산정DT점,광주 광산구 용아로 342-0,카페/찻집,1814
64,아웃백스테이크하우스광주상무점,광주 서구 상무연하로 41-0,외국식,1806
65,하해가,광주 서구 내방로 37-0,외국식,1805
66,김연수해물나라,광주 북구 모룡대길 47-0,외국식,1800
67,영미오리탕,광주 북구 경양로 126-0,한식,1717
68,온고당,광주 서구 개산길 13-11,한식,1706
69,스타벅스광주운남DT점,광주 광산구 임방울대로 156-0,카페/찻집,1701
70,취홍[중식],광주 광산구 월계로 223-11,외국식,1687
70,어반브룩,광주 남구 임암길 181-0,외국식,1687
72,용전식육식당,광주 북구 용전마을길 28-0,한식,1682
73,아웃백스테이크하우스광주광천점,광주 서구 죽봉대로 68-0,외국식,1674
74,스타벅스광주주월DT점,광주 남구 회재로 1256-0,카페/찻집,1669
75,가배당,광주 서구 눌재로 434-0,카페/찻집,1648
76,고려조삼계탕본점,광주 광산구 임방울대로 809-0,한식,1636
77,맥도날드진월DT점,광주 남구 서문대로 697-0,간이음식,1620
78,대광식당,광주 서구 상무대로695번길 15-0,한식,1611
79,신쭈꾸미본점,광주 서구 시청서편로4번길 16-0,외국식,1606
80,대게나라수완점,광주 광산구 왕버들로 175-0,외국식,1600
81,더청솔,광주 광산구 수완로 160-0,한식,1582
82,스타벅스광주방림DT점,광주 남구 대남대로 67-0,카페/찻집,1568
83,옛날에금잔디,광주 광산구 도산로9번길 54-0,한식,1566
84,꽃담,광주 광산구 첨단과기로 109-0,한식,1563
85,도르르커피,광주 서구 화개중앙로 139-0,카페/찻집,1546
86,부엌간,광주 광산구 수완로106번길 37-0,외국식,1529
87,아우어베이커리광주첨단점,광주 광산구 임방울대로826번길 47-0,간이음식,1516
88,버거킹전남대후문점,광주 북구 우치로 76-0,간이음식,1507
89,비바로마,광주 서구 상무누리로 20-0,외국식,1492
90,대게나라상무점,광주 서구 운천로 213-0,외국식,1479
91,임가네,광주 광산구 사암로130번길 65-0,한식,1478
92,투썸플레이스광주화정점,광주 서구 금화로383번길 10-0,카페/찻집,1472
93,투썸플레이스광주쌍촌DT점,광주 서구 상무대로956번길 3-0,카페/찻집,1444
93,라라브레드송정점,광주 광산구 광산로19번길 24-0,간이음식,1444
95,청석골냉면,광주 광산구 산월로3번길 46-0,한식,1440
96,차차룸,광주 북구 일곡택지로99번길 33-0,외국식,1438
97,이바돔감자탕상무점,광주 서구 상무중앙로34번길 2-0,한식,1433
98,VIPS광주광천점,광주 서구 무진대로 919-0,외국식,1431
99,첨단공원국밥본점,광주 광산구 첨단중앙로182번길 24-3,한식,1424
100,명지원명가,광주 서구 운천로 237-0,한식,1418
