순위,업소명,주소,분류,외지인 검색 수
1,칠암사계,부산 기장군 칠암1길 7-10,카페/찻집,81696
2,웨이브온커피,부산 기장군 해맞이로 286-0,카페/찻집,65737
3,피아크카페앤베이커리,부산 영도구 해양로195번길 180-0,카페/찻집,57335
4,해운대암소갈비집,부산 해운대구 중동2로10번길 32-10,한식,43219
5,바릇식당,부산 기장군 문오성길 61-0,외국식,31427
6,합천일류돼지국밥,부산 사상구 광장로 34-0,한식,27420
7,스타벅스명지강변DT점,부산 강서구 르노삼성대로 620-0,카페/찻집,26618
8,헤이든,부산 기장군 문오성길 22-0,카페/찻집,25947
9,비아조,부산 강서구 식만로 164-0,카페/찻집,25363
10,피크스퀘어,부산 기장군 기장해안로 864-0,카페/찻집,24715
11,풍원장시골밥상집[한식],부산 기장군 기장해안로 250-0,한식,24152
12,금수복국해운대본점,부산 해운대구 중동1로43번길 23-0,외국식,24113
13,대게만찬,부산 기장군 기장해안로 266-0,외국식,23847
14,수변최고돼지국밥민락본점,부산 수영구 광안해변로370번길 9-32,한식,23783
15,코랄라니,부산 기장군 기장해안로 32-0,카페/찻집,23567
16,냉수탕가든,부산 부산진구 가야공원로 107-0,외국식,20899
17,해운대가야밀면,부산 해운대구 좌동순환로 27-0,한식,19991
18,목장원,부산 영도구 절영로 355-0,한식,18707
19,구디너프,부산 강서구 가덕해안로1169번길 28-0,카페/찻집,17873
20,얼크니손칼국수기장점,부산 기장군 차성로417번길 22-0,한식,17371
21,토북베이커리강서점,부산 강서구 낙동남로 526-1,간이음식,17092
22,소문난주문진막국수,부산 동래구 사직로58번길 8-0,한식,16473
23,식당3선센텀1관,부산 해운대구 해운대로 230-0,한식,16273
24,공극샌드커피,부산 기장군 공수해안길 41-0,카페/찻집,16235
25,탐복,부산 기장군 문오성길 31-0,한식,16186
26,테라로사수영점,부산 수영구 구락로123번길 20-0,카페/찻집,16063
27,할매재첩국,부산 사상구 낙동대로1530번길 20-15,한식,16007
28,스타벅스동명대DT점,부산 남구 신선로 423-0,카페/찻집,15826
29,언양불고기부산집,부산 수영구 남천바다로 32-0,한식,15656
30,어느멋진날,부산 기장군 기장해안로 1286-0,외국식,15422
31,기와집대구탕,부산 해운대구 달맞이길104번길 46-0,한식,15332
32,문토스트,부산 해운대구 송정해변로 16-0,간이음식,15300
33,맥도날드부산명지DT점,부산 강서구 명지국제8로 272-0,간이음식,14840
34,스타벅스해운대달맞이DT점,부산 해운대구 달맞이길 57-0,카페/찻집,14597
35,영진돼지국밥본점,부산 사하구 하신번영로157번길 39-0,한식,14277
36,고향연화,부산 기장군 연화길 33-8,외국식,14250
37,카페진목,부산 강서구 명지새동네길2번길 56-3,카페/찻집,14185
38,그랜드애플,부산 해운대구 센텀1로 25-0,외국식,14041
39,명품물회,부산 기장군 기장해안로 34-20,외국식,13806
40,외식일번가부산본점,부산 부산진구 신천대로 222-0,한식,13406
41,스타벅스동부산DT점,부산 기장군 기장해안로 56-0,카페/찻집,13279
42,톤쇼우광안점,부산 수영구 광안해변로279번길 13-0,외국식,12878
43,스타벅스화명강변DT점,부산 북구 금곡대로 77-0,카페/찻집,12832
44,수민이네,부산 해운대구 청사포로58번길 118-0,외국식,12731
45,어밤부,부산 해운대구 송정광어골로 87-0,외국식,12641
46,해목,부산 해운대구 구남로24번길 8-0,외국식,12451
47,카페38.5,부산 영도구 태종로 539-0,카페/찻집,12318
48,모모스커피부산본점,부산 금정구 오시게로 20-0,카페/찻집,12182
49,블랙업커피을숙도점,부산 사하구 낙동남로1233번길 30-0,카페/찻집,12121
50,이재모피자,부산 중구 광복중앙로 31-0,간이음식,12050
51,덕미,부산 기장군 동암해안길 77-0,카페/찻집,12037
52,국제밀면본점,부산 연제구 중앙대로1235번길 23-6,한식,11830
53,모모스로스터리&커피바,부산 영도구 봉래나루로 160-0,카페/찻집,11828
54,앙로고택,부산 강서구 식만로 122-0,카페/찻집,11717
55,맥도날드부산영도DT점,부산 영도구 태종로 150-0,간이음식,11360
56,칠암일번지횟집,부산 기장군 문오성길 547-0,외국식,11338
57,스타벅스을숙도강변DT점,부산 사하구 하신번영로 381-6,카페/찻집,11223
58,일등가한우만찬,부산 기장군 기장해안로 266-0,한식,10997
59,스타벅스기장역DT점,부산 기장군 기장대로 527-0,카페/찻집,10871
60,투썸플레이스기장일광해변점,부산 기장군 기장해안로 1290-0,카페/찻집,10853
61,D1베이커리카페,부산 기장군 일광로 326-0,카페/찻집,10839
61,로아누,부산 기장군 기장대로 868-34,한식,10839
63,더파티센텀점,부산 해운대구 센텀중앙로 79-0,외국식,10788
64,숙성도광안점,부산 수영구 광안해변로 199-0,한식,10745
65,풍원장꼬막정찬마린시티점,부산 해운대구 마린시티2로 38-0,한식,10624
66,스타벅스부산재송DT점,부산 해운대구 해운대로 189-0,카페/찻집,10489
67,헤이든신씨어,부산 금정구 산성로 436-0,카페/찻집,10395
68,맥도날드부산초량DT점,부산 동구 중앙대로 228-0,간이음식,10313
69,공원칼국수,부산 남구 유엔평화로 110-0,한식,10235
70,외식1번가연제점,부산 연제구 월드컵대로 201-0,한식,10095
71,다리집본점,부산 수영구 남천바다로10번길 70-0,간이음식,9974
72,쉐이크쉑서면점,부산 부산진구 중앙대로 672-0,간이음식,9968
73,호포갈비문현점,부산 남구 우암로 359-0,한식,9836
74,맥도날드원동DT점,부산 동래구 충렬대로 486-0,간이음식,9676
75,스타벅스동서대DT점,부산 사상구 가야대로 338-0,카페/찻집,9665
76,맥도날드범일SK DT점,부산 동구 자성로 127-0,간이음식,9662
77,타이빈,부산 동래구 금강로73번길 12-0,외국식,9637
78,VIPS광안점,부산 수영구 광안해변로 11-0,외국식,9538
79,신발원,부산 동구 대영로243번길 62-0,외국식,9522
80,스타벅스사상주례DT점,부산 사상구 백양대로 520-0,카페/찻집,9519
81,씨랜드회센터,부산 수영구 광안해변로 299-0,외국식,9506
82,초량불백,부산 동구 초량로 36-0,한식,9459
83,수영돼지국밥,부산 수영구 무학로 6-0,한식,9413
84,다나휴스,부산 해운대구 달맞이길117번가길 120-12,카페/찻집,9387
85,맥도날드부산송정DT점,부산 해운대구 해운대로 1114-0,간이음식,9361
86,엄용백돼지국밥,부산 수영구 수영로680번길 39-0,한식,9350
87,일광아구찜,부산 기장군 삼성3길 55-0,한식,9271
88,카페드220볼트오시리아,부산 기장군 기장해안로 98-0,카페/찻집,9253
89,동래삼계탕,부산 동래구 동래로116번길 39-0,한식,9197
90,메르데쿠르,부산 기장군 기장해안로 871-1,카페/찻집,9196
