광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,성남시 분당구,1260876.0
경기도,화성시,1190331.0
경기도,부천시,1117559.0
경기도,남양주시,999078.0
경기도,김포시,830776.0
경기도,용인시 기흥구,824827.0
경기도,용인시 수지구,749130.0
경기도,고양시 덕양구,714695.0
경기도,수원시 영통구,647861.0
경기도,고양시 일산동구,597154.0
경기도,평택시,583084.0
경기도,의정부시,566540.0
경기도,하남시,560944.0
경기도,광주시,554521.0
경기도,파주시,519408.0
경기도,안양시 동안구,511455.0
경기도,수원시 권선구,504707.0
경기도,시흥시,501611.0
경기도,고양시 일산서구,477233.0
경기도,군포시,384304.0
경기도,광명시,378551.0
경기도,수원시 장안구,375586.0
경기도,성남시 수정구,372106.0
경기도,용인시 처인구,353265.0
경기도,안산시 단원구,350302.0
경기도,구리시,343597.0
경기도,안산시 상록구,338272.0
경기도,이천시,295680.0
경기도,안양시 만안구,287896.0
경기도,수원시 팔달구,269770.0
경기도,의왕시,254359.0
경기도,양주시,249912.0
경기도,오산시,244391.0
경기도,성남시 중원구,243376.0
경기도,안성시,225036.0
경기도,과천시,186971.0
경기도,양평군,170109.0
경기도,포천시,158245.0
경기도,여주시,140620.0
경기도,동두천시,80145.0
경기도,가평군,75792.0
경기도,연천군,46994.0
서울특별시,강남구,1398702.0
서울특별시,송파구,1387690.0
서울특별시,강서구,1091444.0
서울특별시,서초구,1038561.0
서울특별시,관악구,936918.0
서울특별시,마포구,934557.0
서울특별시,강동구,818860.0
서울특별시,영등포구,795449.0
서울특별시,노원구,781876.0
서울특별시,동작구,780739.0
서울특별시,성북구,767627.0
서울특별시,은평구,739027.0
서울특별시,서대문구,707245.0
서울특별시,양천구,683844.0
서울특별시,광진구,656002.0
서울특별시,성동구,641549.0
서울특별시,용산구,617229.0
서울특별시,동대문구,556680.0
서울특별시,구로구,553438.0
서울특별시,중랑구,487243.0
서울특별시,도봉구,381833.0
서울특별시,강북구,362818.0
서울특별시,종로구,343639.0
서울특별시,금천구,278744.0
서울특별시,중구,275762.0
부산광역시,해운대구,613337.0
부산광역시,부산진구,438073.0
부산광역시,남구,373597.0
부산광역시,동래구,343630.0
부산광역시,사하구,324042.0
부산광역시,금정구,323153.0
부산광역시,북구,307811.0
부산광역시,수영구,260006.0
부산광역시,연제구,250163.0
부산광역시,사상구,196029.0
