순위,업소명,주소,분류,합산 검색 수
1,강릉커피거리,강원 강릉시,기타음식,111662
2,동화가든,강원 강릉시 초당순두부길77번길 15-0,한식,102519
3,카페툇마루,강원 강릉시 난설헌로 232-0,카페/찻집,84437
4,테라로사커피공장강릉본점,강원 강릉시 현천길 7-0,카페/찻집,82855
5,엄지네포장마차본점,강원 강릉시 경강로2255번길 21-0,한식,71516
6,곳,강원 강릉시 진리해변길 143-0,카페/찻집,46912
7,동화가든본점,강원 강릉시 초당순두부길77번길 15-0,한식,43083
8,갤러리밥스,강원 강릉시 난설헌로 144-0,한식,33761
9,초당두부마을,강원 강릉시,기타음식,32554
10,테라로사경포호수점,강원 강릉시 난설헌로 145-0,카페/찻집,27239
11,스타벅스강릉강문해변점,강원 강릉시 창해로350번길 3-0,카페/찻집,24858
12,차현희순두부청국장본점,강원 강릉시 초당순두부길 98-0,한식,23607
13,장안횟집,강원 강릉시 진리항구길 51-0,외국식,22726
14,테라로사사천점,강원 강릉시 순포안길 6-0,카페/찻집,21745
15,초당할머니순두부,강원 강릉시 초당순두부길 77-0,한식,20617
16,현대장칼국수,강원 강릉시 임영로182번길 7-1,한식,20504
17,강릉빵다방본점,강원 강릉시 남강초교1길 24-0,간이음식,20179
18,순두부젤라또1호점,강원 강릉시 초당순두부길 95-5,카페/찻집,20056
19,풍년갈비,강원 강릉시 강릉대로587번길 10-5,한식,19246
20,벌집,강원 강릉시 경강로2069번길 15-0,한식,18880
21,보헤미안로스터즈박이추커피공장,강원 강릉시 해안로 1107-0,카페/찻집,18857
22,순두부젤라또2호점,강원 강릉시 경강로 2642-0,카페/찻집,18571
23,형제칼국수,강원 강릉시 강릉대로204번길 2-0,한식,17260
24,초당소나무집,강원 강릉시 초당순두부길 95-5,한식,16968
25,만동제과,강원 강릉시 금성로 6-0,간이음식,14184
26,스타벅스강릉송정DT점,강원 강릉시 경강로 2400-0,카페/찻집,13892
27,해미가,강원 강릉시 솔올로 103-0,한식,13448
28,엔드투앤드,강원 강릉시 창해로 245-0,카페/찻집,13116
29,교동반점[중식],강원 강릉시 강릉대로 205-0,외국식,12640
