순위,관광지명,주소,분류,현지인 검색 수
1,한반도섬,강원 양구군,자연경관(하천/해양),683
2,박수근미술관,강원 양구군 박수근로 265-15,전시시설,657
3,양구수목원,강원 양구군 숨골로310번길 131-0,테마공원,621
4,양구독수리체육공원,강원 양구군,도시공원,300
5,양구백자박물관,강원 양구군 평화로 5182-0,전시시설,292
6,국토정중앙천문대,강원 양구군 국토정중앙로 127-0,랜드마크관광,285
7,양구중앙시장,강원 양구군 중앙길 68-0,시장,265
8,월명낚시터,강원 양구군,수상레저스포츠,244
9,베니키아KCP호텔,강원 양구군 파로호로 993-19,호텔,236
10,광치자연휴양림,강원 양구군 광치령로1794번길 265-0,자연공원,234
11,팔랑골캠핑장,강원 양구군,캠핑,219
12,국립DMZ자생식물원,강원 양구군 펀치볼로 916-70,테마공원,177
13,금강산가는길안내소,강원 양구군,기타관광,170
14,약수골캠프촌오토캠핑장,강원 양구군 약수터길 28-0,캠핑,169
15,양구야구장,강원 양구군 함춘로 0-0,레저스포츠시설,164
16,양구인문학박물관,강원 양구군 파로호로869번길 101-0,전시시설,162
17,두타연,강원 양구군 두타연로 297-0,자연경관(산),142
18,한반도섬전망대,강원 양구군,랜드마크관광,128
19,두타연갤러리,강원 양구군 두타연로 8-0,전시시설,113
20,용머리공원야영장,강원 양구군 파로호로869번길 109-0,캠핑,94
21,파로호꽃섬,강원 양구군,도시공원,91
22,팔랑폭포,강원 양구군,자연경관(산),90
23,양구선사박물관,강원 양구군 금강산로 439-52,전시시설,89
24,월운저수지,강원 양구군,자연경관(하천/해양),86
25,양구청소년수련관,강원 양구군 박수근로 366-27,육상레저스포츠,80
26,구암리야구장,강원 양구군 춘양로2756번길 0-0,레저스포츠시설,75
26,천미계곡,강원 양구군,자연경관(산),75
28,나비야펜션,강원 양구군 성곡로 208-4,펜션/민박,72
29,한반도황토펜션,강원 양구군 파로호로 537-46,펜션/민박,71
30,양구세종호텔,강원 양구군 중앙길 43-35,호텔,68
30,양구통일관,강원 양구군 해안서화로 35-0,전시시설,68
32,정중앙시네마,강원 양구군 함춘로 25-9,공연시설,63
33,가든앤포레스트펜션,강원 양구군 정중앙로 39-0,펜션/민박,58
33,양구명품관,강원 양구군 관공서로 10-0,전문매장/상가,58
35,오롯이스테이인양구,강원 양구군 황강길193번길 14-0,펜션/민박,57
36,후곡약수터,강원 양구군,자연경관(산),56
37,양구선착장,강원 양구군 소양호로 0-0,교통시설,55
38,포시즌펜션,강원 양구군 금강산로 438-21,펜션/민박,50
39,이삭펜션,강원 양구군 박수근로365번길 28-0,펜션/민박,46
40,한반도스카이,강원 양구군 파로호로869번길 195-0,기타레저스포츠,44
41,스케치펜션,강원 양구군 숨골로310번길 112-0,펜션/민박,42
41,주목나무펜션,강원 양구군 비봉로74번길 14-7,펜션/민박,42
41,양구전쟁기념관,강원 양구군 해안서화로 35-0,전시시설,42
44,양록정,강원 양구군 파로호로 993-21,육상레저스포츠,41
