순위,업소명,주소,분류,현지인 검색 수
1,배꼽제빵소,강원 양구군 박수근로365번길 20-2,간이음식,425
2,도촌막국수,강원 양구군 국토정중앙로 6-0,한식,284
3,광치막국수,강원 양구군 남동로 34-7,한식,222
4,양구재래식손두부,강원 양구군 학안로 6-0,한식,220
5,양지말뫼막국수,강원 양구군 남동로321번길 40-0,한식,218
6,백년교동짬뽕[중식],강원 양구군 비봉로 6-12,외국식,131
7,아인53카페,강원 양구군 성곡로 200-1,외국식,129
8,양구농협 동면지점 하나로마트,강원 양구군 금강산로 1696-0,기타음식,125
9,백두회관상리점,강원 양구군 중심로 110-21,한식,123
10,강원한우정육식당,강원 양구군 정중앙로 202-0,한식,120
11,회포차,강원 양구군 사명길 108-0,외국식,112
12,시래정,강원 양구군 황강길 16-23,한식,101
13,시래원,강원 양구군 봉화산로 457-0,한식,100
14,롯데리아양구점,강원 양구군 양록길 99-0,간이음식,96
14,전주식당,강원 양구군 비봉로 91-15,한식,96
16,구암손두부,강원 양구군 구암리길38번길 20-0,한식,88
17,시골분식,강원 양구군 삼팔선로 1-0,간이음식,81
18,파리바게뜨양구점,강원 양구군 중앙길 12-0,간이음식,77
19,빅보이 식당,강원 양구군 금강산로 831-4,한식,74
20,파로호국밥,강원 양구군 사명길 108-29,한식,66
21,옥천식당,강원 양구군 중앙길 68-0,한식,57
21,이디야커피강원양구점,강원 양구군 중앙길 10-0,카페/찻집,57
23,르쏠레이475,강원 양구군 박수근로365번길 84-11,카페/찻집,53
24,국수나무 양구청춘점,강원 양구군 청춘로 39-103,간이음식,44
25,장수오골계,강원 양구군 양록길23번길 6-17,한식,35
25,카페 브릭스,강원 양구군 청춘로 73-31,카페/찻집,35
27,대월숯불오골계구이,강원 양구군 춘양로 2725-0,한식,34
28,밤나무집식당,강원 양구군 소양석현길 34-0,외국식,33
28,풍미식당[중식],강원 양구군 펀치볼로 58-1,외국식,33
30,양자강[중식],강원 양구군 양록길 106-0,외국식,31
31,양구손냉면,강원 양구군 정중앙로 183-6,한식,30
32,치엘로파스타,강원 양구군 청춘로 40-36,외국식,28
33,카페까미노,강원 양구군 국토정중앙로 126-0,카페/찻집,27
34,고봉민김밥인양구상리점,강원 양구군 중심로 187-0,간이음식,26
34,양구도촌삼계탕,강원 양구군 청춘로 39-37,한식,26
36,백토미가,강원 양구군 장거리길 17-0,한식,25
36,양구 장인족발,강원 양구군 비봉로 46-12,외국식,25
36,청수골쉼터,강원 양구군 정중앙로556번길 7-3,한식,25
39,뚜레쥬르양구,강원 양구군 중앙길 18-0,간이음식,23
39,배스킨라빈스강원양구점,강원 양구군 중앙길 9-0,간이음식,23
41,귀빈,강원 양구군 파로호로 903-0,한식,21
41,화산뚝배기짬뽕[중식],강원 양구군 죽곡로 67-0,외국식,21
43,월운막국수,강원 양구군 금강산로 1877-0,한식,20
44,비봉식당,강원 양구군 비봉로 85-8,한식,19
45,남면가든,강원 양구군 정중앙로 183-6,한식,18
45,이차돌강원도양구점,강원 양구군 양록길23번길 6-29,한식,18
47,설빙양구점,강원 양구군 양록길 84-0,카페/찻집,17
47,양구장칼국수,강원 양구군 중심로 41-7,한식,17
47,호이안그릴가든,강원 양구군 박수근로 359-0,한식,17
47,용이초밥,강원 양구군 비봉로 42-1,외국식,17
51,이삭토스트강원양구점,강원 양구군 중앙길 29-0,간이음식,15
51,대천해물면낙지칼국수,강원 양구군 양록길23번길 16-19,외국식,15
53,최가네,강원 양구군 양록길23번길 6-27,한식,14
53,장수오골계숯불구이,강원 양구군 양록길23번길 6-17,한식,14
55,성수반점식당[중식],강원 양구군 죽곡로 84-0,외국식,13
55,카페1001-8,강원 양구군 정중앙로 606-6,카페/찻집,13
57,만대리농가레스토랑,강원 양구군 펀치볼로 1121-71,한식,12
57,우정가든,강원 양구군 파로호로 949-0,한식,12
57,위_러스틱까페,강원 양구군 광치령로1794번길 240-0,카페/찻집,12
57,참치라이더양구점,강원 양구군 중앙길 17-0,외국식,12
61,그집막국수,강원 양구군 구암리길 14-14,한식,11
61,대청마루,강원 양구군 해시계로 28-1,외국식,11
61,수영 감자탕,강원 양구군 비봉로 46-16,한식,11
61,일품양평해장국양구점,강원 양구군 관공서로 15-3,한식,11
61,정자나무막국수,강원 양구군 정중앙로 710-0,한식,11
61,월운막국수,강원 양구군 금강산로 1873-4,한식,11
67,개미들의백년쭈꾸미,강원 양구군 중심로 186-1,외국식,10
67,대암회관,강원 양구군,한식,10
67,동수리막국수,강원 양구군 파로호로 899-0,한식,10
67,오미막국수,강원 양구군 평화로 4820-0,한식,10
67,원리횟집,강원 양구군 삼팔선로 804-2,외국식,10
67,도미노피자양구점,강원 양구군 양록길 68-0,간이음식,10
73,김순례할매손두부,강원 양구군 펀치볼로1316번길 19-1,한식,9
73,카페바라보다,강원 양구군 한반도섬길 76-0,카페/찻집,9
73,종합닭갈비,강원 양구군 중심로 159-0,외국식,9
73,귀빈[한식],강원 양구군 파로호로 903-0,한식,9
77,별채막국수,강원 양구군 비봉로 99-6,한식,8
77,하나로마트양구농협남면점,강원 양구군 정중앙로 629-0,기타음식,8
77,육공판양구점,강원 양구군 관공서로43번길 12-0,한식,8
77,투가리감자탕,강원 양구군 사명길 74-5,한식,8
81,불티나닭갈비,강원 양구군 사명길 108-10,외국식,7
81,소나무함흥냉면막국수,강원 양구군 청춘로 82-38,한식,7
81,안심목장,강원 양구군 청춘로 19-0,한식,7
81,웅진그린송어장,강원 양구군 소양호로 1938-0,한식,7
81,정주골,강원 양구군 청춘로 73-33,한식,7
86,감람원,강원 양구군 황강길 16-27,한식,6
86,달밤,강원 양구군 황강길 16-8,카페/찻집,6
86,미스터고릴라,강원 양구군 중앙길 43-35,외국식,6
86,석장골오골계,강원 양구군 양록길23번길 16-7,한식,6
86,양구흑염소탕,강원 양구군 양록길23번길 6-14,한식,6
86,피자알볼로양구점,강원 양구군 양록길 19-0,간이음식,6
92,동대문엽기떡볶이강원양구점,강원 양구군 양록길 85-0,간이음식,5
92,땅스부대찌개강원도양구점,강원 양구군 청춘로 68-0,외국식,5
92,양구막국수,강원 양구군 중앙길 43-35,한식,5
92,청춘숯불갈비,강원 양구군 양록길23번길 6-8,한식,5
92,교동짬뽕[중식],강원 양구군 관공서로 21-0,외국식,5
92,이가돈가,강원 양구군 사명길 118-10,한식,5
92,청참치,강원 양구군 양록길23번길 6-11,외국식,5
92,샤브향양구점,강원 양구군 양남로16번길 3-0,외국식,5
92,양구가마솥설렁탕,강원 양구군 비봉로 46-0,한식,5
