순위,관광지명,주소,분류,합산 검색 수
1,고석정국민관광지,강원 철원군 태봉로 1825-0,복합관광시설,77702
2,철원한탄강은하수교,강원 철원군,기타관광,47433
3,순담계곡,강원 철원군,자연경관(산),41808
4,한탄강CC,강원 철원군 순담길 59-0,육상레저스포츠,32841
5,철원한탄강주상절리길,강원 철원군,기타관광,31135
6,노동당사,강원 철원군 금강산로 265-0,역사유적지,26671
7,고석정,강원 철원군 태봉로 1825-0,역사유적지,18070
8,삼부연폭포,강원 철원군,자연경관(산),17873
9,직탕폭포,강원 철원군,자연경관(산),17444
10,고석정코스모스십리길,강원 철원군,기타관광,13076
11,한탄리버스파호텔,강원 철원군 태봉로 1799-22,호텔,8997
12,백마고지전적지,강원 철원군 대마1길 72-0,역사유적지,6179
13,송대소주상절리,강원 철원군 한탄강길 0-0,기타관광,5207
14,동송전통시장,강원 철원군 이평로47번길 21-0,시장,5161
15,복주산자연휴양림,강원 철원군 하오재로 818-0,자연공원,5158
16,담터계곡,강원 철원군,자연경관(산),4773
17,도피안사,강원 철원군 도피동길 23-0,종교성지,4422
18,신철원전통시장,강원 철원군 삼부연로18번길 12-17,시장,4326
19,철원가산농원캠핑장,강원 철원군,캠핑,4239
20,철원승일교,강원 철원군,역사유적지,3989
21,소이산전망대,강원 철원군,랜드마크관광,3866
22,두루웰숲속문화촌,강원 철원군 지경1길 81-0,기타관광,3670
23,승리전망대,강원 철원군,기타레저스포츠,3303
24,학저수지,강원 철원군,자연경관(하천/해양),3143
25,심원사,강원 철원군 상노1길 58-0,종교성지,3114
26,코리아레저,강원 철원군 태봉대교길 153-0,육상레저스포츠,2768
27,학마을캠프,강원 철원군 도피동길 72-1,캠핑,2744
28,군탄공원,강원 철원군 호국로 4914-27,도시공원,2718
29,DMZ피스트레인뮤직페스티벌,강원 철원군 태봉로 1825-0,기타문화관광지,2713
30,고다리조트,강원 철원군 갈말로 653-0,콘도미니엄,2501
31,쉬리공원,강원 철원군 호국로 6442-0,도시공원,2367
32,상해계곡,강원 철원군,자연경관(산),2018
33,매월대폭포,강원 철원군,자연경관(산),1952
34,쉬리캠핑장,강원 철원군 호국로 6442-0,캠핑,1881
35,잠곡저수지,강원 철원군,자연경관(하천/해양),1820
36,밤개울캠핑장,강원 철원군 하문수동1길 62-1,캠핑,1750
36,와수시장,강원 철원군 와수로184번길 0-0,시장,1750
38,제2땅굴,강원 철원군,자연생태,1672
39,백마고지전적지기념관,강원 철원군 대마1길 72-0,전시시설,1658
40,안양골,강원 철원군,자연경관(산),1422
41,DMZ캠핑장,강원 철원군 독서당길 225-134,캠핑,1416
42,쉘모텔,강원 철원군 이평1로12번길 10-0,모텔,1414
43,명가호텔팰리스,강원 철원군 이평1로12번길 4-5,모텔,1359
44,모닝캄빌리지,강원 철원군 한탄강길 164-0,펜션/민박,1342
44,철원평화전망대,강원 철원군,랜드마크관광,1342
46,탄토모텔,강원 철원군 이평1로 10-0,모텔,1323
47,토교저수지,강원 철원군,자연경관(하천/해양),1266
48,철원작은영화관뚜루,강원 철원군 금학로252번길 23-0,공연시설,1208
49,여울애꽃물들인캠핑장,강원 철원군 하오재로 1455-0,캠핑,1116
50,매일민박,강원 철원군 하오재로 1531-0,펜션/민박,1115
51,승일공원,강원 철원군,도시공원,1059
52,금비펜션,강원 철원군 직탕길 113-0,펜션/민박,1034
53,학마루펜션,강원 철원군 학마을길 4-0,펜션/민박,1018
54,DMZ두루미평화타운,강원 철원군 양지2길 15-21,기타관광,1007
55,청원사,강원 철원군 금학로 0-0,종교성지,996
56,파레스모텔,강원 철원군 태봉로 1824-0,모텔,964
57,우니메이카철원점,강원 철원군 하오재로 1656-4,캠핑,945
58,박스도로시,강원 철원군 명성로 113-0,모텔,881
59,청룡레저,강원 철원군 태봉로 1850-0,수상레저스포츠,878
60,용화저수지,강원 철원군,자연경관(하천/해양),851
61,갤러리펜션,강원 철원군 호국로 4829-35,펜션/민박,819
62,철원마운틴밸리펜션,강원 철원군 담터길 174-0,펜션/민박,798
63,꼬끼오신철원지점,강원 철원군 명성로 126-0,기타쇼핑시설,781
64,하오재캠핑장,강원 철원군 하오재로 1235-0,캠핑,775
65,호수산장,강원 철원군 금연길 24-0,모텔,761
66,두루미펜션,강원 철원군 양지2길 44-0,펜션/민박,712
67,한탄강짱래프팅,강원 철원군 태봉로 1852-0,수상레저스포츠,701
68,아르고통나무펜션,강원 철원군 태봉대교길 139-37,펜션/민박,664
69,철원한탄강얼음트레킹,강원 철원군 태봉대교길 153-0,기타문화관광지,640
70,두루웰캠핑장,강원 철원군,캠핑,627
71,철원철새도래지관찰소,강원 철원군,기타관광,625
72,프로방스펜션,강원 철원군 순담길 299-0,펜션/민박,615
73,케렌시아펜션,강원 철원군 창동로 2282-0,펜션/민박,609
74,터닝포인트카라반캠핑,강원 철원군 금강로 7691-11,캠핑,594
75,수피령고개,강원 철원군,자연경관(산),592
76,임꺽정레저펜션,강원 철원군 갈말로 265-6,펜션/민박,586
77,담터펜션,강원 철원군 담터길 27-0,펜션/민박,580
78,하늘빛펜션,강원 철원군 와수로240번길 12-0,펜션/민박,553
78,학여울펜션,강원 철원군 태봉로 2644-0,펜션/민박,553
80,동송생활보조축구장,강원 철원군,레저스포츠시설,550
81,철원DMZ마켓,강원 철원군,시장,538
82,별헤는밤펜션,강원 철원군 담터길 164-0,펜션/민박,527
83,추억만들기펜션,강원 철원군 윗삼성길 4-0,펜션/민박,523
84,DMZ생태평화공원방문자센터,강원 철원군 생창길 479-0,기타관광,522
85,핀란드하우스펜션,강원 철원군 하오재로 1656-2,펜션/민박,514
86,늘푸른체험농원,강원 철원군 와수로62번길 45-3,농/산/어촌체험,478
87,한탄강래프팅,강원 철원군 순담길 143-2,수상레저스포츠,477
88,철원수펜션,강원 철원군 태봉로 1847-23,펜션/민박,464
