광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
강원도,정선군,433569.0
강원도,삼척시,339931.0
강원도,동해시,188387.0
강원도,강릉시,166257.0
강원도,원주시,150440.0
강원도,영월군,79523.0
강원도,춘천시,67554.0
강원도,평창군,23446.0
강원도,속초시,19544.0
강원도,양양군,9335.0
강원도,횡성군,9060.0
강원도,홍천군,8117.0
강원도,고성군,6084.0
강원도,인제군,4357.0
강원도,양구군,3055.0
강원도,철원군,3053.0
강원도,화천군,2279.0
경기도,화성시,46876.0
경기도,남양주시,39336.0
경기도,부천시,34677.0
경기도,용인시 기흥구,28906.0
경기도,평택시,28300.0
경기도,성남시 분당구,27352.0
경기도,광주시,25853.0
경기도,시흥시,22465.0
경기도,김포시,20064.0
경기도,용인시 처인구,19712.0
경기도,고양시 덕양구,19515.0
경기도,안산시 상록구,19477.0
경기도,수원시 영통구,19474.0
경기도,하남시,19221.0
경기도,의정부시,19033.0
경기도,안산시 단원구,17974.0
경기도,용인시 수지구,17950.0
경기도,수원시 권선구,17091.0
경기도,이천시,14920.0
경기도,파주시,14844.0
경기도,수원시 장안구,14677.0
경기도,고양시 일산동구,13762.0
경기도,성남시 수정구,12266.0
경기도,안양시 동안구,12195.0
경기도,구리시,11953.0
경기도,안성시,11939.0
경기도,양주시,11785.0
경기도,군포시,11496.0
경기도,광명시,11357.0
경기도,여주시,10991.0
경기도,오산시,10735.0
경기도,고양시 일산서구,10645.0
경기도,안양시 만안구,10312.0
경기도,수원시 팔달구,9664.0
경기도,성남시 중원구,9031.0
경기도,양평군,8285.0
경기도,포천시,8196.0
경기도,의왕시,7207.0
경기도,동두천시,3783.0
경기도,가평군,3714.0
경기도,과천시,3284.0
경기도,연천군,1523.0
경상북도,봉화군,189613.0
경상북도,영주시,65206.0
경상북도,안동시,45290.0
경상북도,울진군,33879.0
경상북도,구미시,23693.0
경상북도,포항시 북구,21097.0
경상북도,경산시,19639.0
경상북도,포항시 남구,15660.0
경상북도,경주시,15508.0
경상북도,예천군,12831.0
경상북도,문경시,7227.0
경상북도,김천시,6816.0
경상북도,상주시,6543.0
경상북도,칠곡군,5853.0
경상북도,영양군,5386.0
경상북도,영덕군,4694.0
경상북도,청송군,4168.0
경상북도,영천시,4059.0
경상북도,의성군,3343.0
경상북도,성주군,1760.0
경상북도,청도군,1501.0
경상북도,군위군,1425.0
경상북도,고령군,1273.0
경상북도,울릉군,527.0
서울특별시,송파구,35914.0
서울특별시,강동구,26318.0
서울특별시,강남구,24512.0
서울특별시,관악구,23995.0
서울특별시,강서구,23647.0
서울특별시,노원구,22655.0
서울특별시,성북구,21970.0
서울특별시,동작구,20205.0
서울특별시,광진구,18023.0
서울특별시,은평구,17826.0
서울특별시,마포구,17569.0
서울특별시,영등포구,17301.0
서울특별시,동대문구,17173.0
서울특별시,중랑구,16881.0
서울특별시,서초구,16828.0
서울특별시,서대문구,16416.0
서울특별시,구로구,15829.0
서울특별시,성동구,13994.0
서울특별시,도봉구,13574.0
서울특별시,양천구,13558.0
서울특별시,강북구,11790.0
서울특별시,용산구,10786.0
서울특별시,금천구,7497.0
서울특별시,종로구,6611.0
서울특별시,중구,6584.0
충청북도,제천시,49187.0
충청북도,충주시,27928.0
충청북도,청주시 청원구,12490.0
충청북도,청주시 흥덕구,12193.0
충청북도,음성군,11383.0
충청북도,청주시 서원구,10191.0
충청북도,청주시 상당구,10137.0
충청북도,단양군,7444.0
충청북도,진천군,5311.0
충청북도,괴산군,4273.0
충청북도,증평군,3381.0
충청북도,옥천군,2048.0
충청북도,영동군,1468.0
충청북도,보은군,970.0
대구광역시,북구,28191.0
대구광역시,달서구,27552.0
대구광역시,수성구,20478.0
대구광역시,동구,19354.0
대구광역시,달성군,13369.0
대구광역시,남구,7738.0
대구광역시,서구,7113.0
대구광역시,중구,4346.0
인천광역시,서구,25061.0
인천광역시,남동구,20410.0
인천광역시,부평구,19674.0
인천광역시,연수구,15100.0
인천광역시,미추홀구,13428.0
인천광역시,계양구,10626.0
인천광역시,중구,6147.0
인천광역시,강화군,2533.0
인천광역시,동구,2175.0
인천광역시,옹진군,819.0
충청남도,천안시 서북구,17169.0
충청남도,아산시,14228.0
충청남도,천안시 동남구,12035.0
충청남도,당진시,7715.0
충청남도,서산시,5266.0
충청남도,논산시,4051.0
충청남도,보령시,3375.0
충청남도,공주시,3205.0
충청남도,홍성군,2924.0
충청남도,예산군,2369.0
충청남도,부여군,2173.0
충청남도,금산군,2029.0
충청남도,태안군,1805.0
충청남도,계룡시,1458.0
충청남도,서천군,1061.0
충청남도,청양군,824.0
경상남도,김해시,13524.0
경상남도,양산시,9744.0
경상남도,거제시,6799.0
경상남도,진주시,6448.0
경상남도,창원시 성산구,6069.0
경상남도,창원시 의창구,5323.0
경상남도,창원시 마산회원구,4329.0
경상남도,창원시 진해구,3960.0
경상남도,창원시 마산합포구,3709.0
경상남도,밀양시,3089.0
경상남도,통영시,2034.0
경상남도,사천시,1923.0
경상남도,남해군,1761.0
경상남도,함안군,1616.0
경상남도,창녕군,1541.0
경상남도,합천군,1193.0
경상남도,고성군,1122.0
경상남도,함양군,1102.0
경상남도,거창군,1034.0
경상남도,산청군,892.0
경상남도,의령군,875.0
경상남도,하동군,708.0
부산광역시,해운대구,9300.0
부산광역시,부산진구,8403.0
부산광역시,남구,7050.0
부산광역시,북구,6751.0
부산광역시,금정구,6549.0
부산광역시,사하구,6271.0
부산광역시,동래구,5317.0
부산광역시,기장군,5142.0
부산광역시,연제구,4985.0
부산광역시,사상구,4834.0
부산광역시,수영구,4256.0
부산광역시,강서구,2849.0
부산광역시,영도구,2280.0
부산광역시,서구,1682.0
부산광역시,동구,1400.0
부산광역시,중구,1395.0
대전광역시,서구,16659.0
대전광역시,유성구,15305.0
대전광역시,동구,9116.0
대전광역시,중구,8250.0
대전광역시,대덕구,6439.0
울산광역시,남구,13376.0
울산광역시,울주군,11609.0
울산광역시,중구,10147.0
울산광역시,북구,9735.0
울산광역시,동구,6508.0
전라북도,익산시,7219.0
전라북도,전주시 완산구,5938.0
전라북도,군산시,5796.0
전라북도,전주시 덕진구,5351.0
전라북도,완주군,2969.0
전라북도,남원시,1544.0
전라북도,고창군,1325.0
전라북도,무주군,1117.0
전라북도,김제시,932.0
전라북도,정읍시,923.0
전라북도,부안군,562.0
전라북도,임실군,341.0
전라북도,순창군,298.0
전라북도,진안군,259.0
전라북도,장수군,148.0
전라남도,여수시,4073.0
전라남도,목포시,3627.0
전라남도,순천시,3330.0
전라남도,해남군,2742.0
전라남도,광양시,2685.0
전라남도,나주시,2390.0
전라남도,무안군,2386.0
전라남도,영암군,1780.0
전라남도,영광군,960.0
전라남도,고흥군,902.0
전라남도,담양군,849.0
전라남도,화순군,789.0
전라남도,신안군,711.0
전라남도,장성군,683.0
전라남도,강진군,595.0
전라남도,곡성군,577.0
전라남도,진도군,477.0
전라남도,구례군,379.0
전라남도,장흥군,355.0
전라남도,완도군,349.0
전라남도,보성군,302.0
전라남도,함평군,170.0
광주광역시,광산구,6318.0
광주광역시,북구,5403.0
광주광역시,서구,3717.0
광주광역시,남구,3021.0
광주광역시,동구,2985.0
세종특별자치시,세종특별자치시,14996.0
제주특별자치도,제주시,8406.0
제주특별자치도,서귀포시,4061.0
