순위,관광지명,주소,분류,현지인 검색 수
1,오투CC,강원 태백시 서학로 861-0,육상레저스포츠,1447
2,오투리조트타워콘도,강원 태백시 서학로 861-0,콘도미니엄,1038
3,황지연못,강원 태백시 황지연못길 0-0,자연경관(하천/해양),942
4,황지자유시장,강원 태백시 시장안2길 21-1,시장,783
5,태백스피드웨이,강원 태백시 사군드리길 240-0,육상레저스포츠,497
6,태백산국립공원유일사탐방지원센터,강원 태백시 태백산로 4246-1,기타관광,487
7,365세이프타운,강원 태백시 평화길 15-0,테마공원,450
8,매봉산바람의언덕,강원 태백시,기타관광,401
9,오투리조트,강원 태백시 서학로 861-0,콘도미니엄,389
10,검룡소,강원 태백시,자연경관(산),349
11,태백스포츠파크,강원 태백시 백두대간로 179-0,도시공원,348
12,태백시종합경기장고원1구장,강원 태백시 연화산길 10-0,레저스포츠시설,302
13,통리탄탄파크,강원 태백시 통골길 116-44,테마공원,297
14,구문소,강원 태백시 동태백로 11-0,기타관광,290
15,유일사,강원 태백시 태백산로 4246-167,종교성지,287
16,용연동굴,강원 태백시 태백로 283-29,자연생태,266
17,태백호텔,강원 태백시 태백산로 4761-0,호텔,260
18,통리장,강원 태백시 강원남부로 0-0,시장,248
19,아르데코,강원 태백시 오투로 145-0,모텔,212
20,석탄박물관,강원 태백시 천제단길 195-0,전시시설,197
21,태백고생대자연사박물관,강원 태백시 태백로 2249-0,전시시설,170
22,태백산민박촌,강원 태백시 천제단길 134-0,펜션/민박,161
22,당골광장,강원 태백시,도시공원,161
24,리베라모텔,강원 태백시 고원로 87-0,모텔,156
25,태백관광호텔,강원 태백시 기장밭길 7-1,모텔,133
26,오투리조트스키장,강원 태백시 서학로 861-0,육상레저스포츠,131
27,오로라파크,강원 태백시 느릅령길 33-0,도시공원,125
28,태백시종합경기장고원3구장,강원 태백시 연화산길 10-0,레저스포츠시설,124
29,태백시종합경기장고원2구장,강원 태백시,레저스포츠시설,108
30,태백무인텔,강원 태백시 서학로 964-0,모텔,105
30,태백고원자연휴양림,강원 태백시 머리골길 153-0,자연공원,105
32,동아모텔,강원 태백시 먹거리길 36-0,모텔,102
33,모텔꿈드림,강원 태백시 사군드리길 136-0,모텔,96
34,장성중앙시장,강원 태백시 장성1길 190-0,시장,95
35,함백산,강원 태백시,자연경관(산),93
36,J1무인텔,강원 태백시 황지로 201-0,모텔,89
36,오투리조트유스호스텔,강원 태백시 서학로 861-0,호스텔,89
38,카스텔로호텔,강원 태백시 연지로 6-0,호텔,87
38,태백시청소년수련관,강원 태백시 천제단길 148-0,육상레저스포츠,87
40,M모텔,강원 태백시 먹거리길 92-0,모텔,86
41,철암탄광역사촌,강원 태백시 동태백로 406-2,전시시설,82
42,블루문게스트하우스,강원 태백시 석공길 25-0,호스텔,77
43,태백해바라기축제,강원 태백시 구와우길 38-20,기타문화관광지,76
44,태백산모텔,강원 태백시 태백산로 4609-0,모텔,75
45,햇빛모텔,강원 태백시 연지로 2-0,모텔,74
46,강원태백라마다호텔휴업중(2023년오픈예정),강원 태백시 태백산로 4839-0,호텔,72
47,구문소힐링캠프,강원 태백시 태백로 2417-0,캠핑,70
48,등광사,강원 태백시 문곡길 48-0,종교성지,64
49,태백산국립공원당골탐방지원센터,강원 태백시,기타관광,61
50,태백산국립공원,강원 태백시 태백산로 4778-0,자연공원,60
51,태양의후예촬영지태백세트장,강원 태백시 통골길 112-0,기타문화관광지,57
52,프라미스모텔,강원 태백시 먹거리길 97-0,모텔,56
53,태백눈꽃야영장,강원 태백시 태백산로 4771-0,캠핑,50
54,유정모텔,강원 태백시 석공길 16-13,모텔,48
55,우진모텔,강원 태백시 천제단길 170-12,모텔,47
56,이지스모텔,강원 태백시 서황지로 88-0,모텔,46
57,태백산눈축제(태백산국립공원),강원 태백시,기타문화관광지,45
58,태평모텔,강원 태백시 광장로 16-0,모텔,41
59,오투리조트컨벤션센터,강원 태백시 서학로 861-0,콘도미니엄,38
