광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
서울특별시,은평구,7524877.0
서울특별시,서대문구,2163362.0
서울특별시,마포구,2059942.0
서울특별시,강서구,1949204.0
서울특별시,양천구,868006.0
서울특별시,영등포구,836323.0
서울특별시,성북구,716093.0
서울특별시,노원구,618319.0
서울특별시,용산구,566068.0
서울특별시,종로구,560315.0
서울특별시,관악구,546444.0
서울특별시,구로구,537197.0
서울특별시,동작구,528989.0
서울특별시,강남구,497090.0
서울특별시,송파구,490588.0
서울특별시,서초구,436243.0
서울특별시,강북구,412141.0
서울특별시,도봉구,398655.0
서울특별시,성동구,388726.0
서울특별시,동대문구,369820.0
서울특별시,강동구,368618.0
서울특별시,중랑구,358957.0
서울특별시,광진구,323052.0
서울특별시,중구,235898.0
서울특별시,금천구,220594.0
경기도,고양시 일산동구,6081849.0
경기도,파주시,3635089.0
경기도,고양시 일산서구,3212031.0
경기도,김포시,1616869.0
경기도,부천시,1044392.0
경기도,의정부시,927996.0
경기도,양주시,737142.0
경기도,남양주시,723707.0
경기도,화성시,330363.0
경기도,시흥시,305016.0
경기도,성남시 분당구,263858.0
경기도,광명시,246290.0
경기도,하남시,238077.0
경기도,구리시,213279.0
경기도,광주시,207626.0
경기도,평택시,184437.0
경기도,용인시 기흥구,181352.0
경기도,안양시 동안구,167194.0
경기도,포천시,163314.0
경기도,용인시 수지구,160464.0
경기도,안산시 상록구,152006.0
경기도,안산시 단원구,151342.0
경기도,성남시 수정구,135164.0
경기도,수원시 권선구,131406.0
경기도,군포시,129362.0
경기도,수원시 영통구,124945.0
경기도,안양시 만안구,123777.0
경기도,용인시 처인구,122828.0
경기도,동두천시,102599.0
경기도,수원시 장안구,100338.0
경기도,이천시,89057.0
경기도,성남시 중원구,88579.0
경기도,양평군,81835.0
경기도,수원시 팔달구,75982.0
경기도,의왕시,75563.0
경기도,오산시,75433.0
경기도,안성시,70983.0
경기도,연천군,60715.0
경기도,과천시,58173.0
경기도,가평군,52621.0
경기도,여주시,44543.0
인천광역시,서구,916938.0
인천광역시,계양구,459791.0
인천광역시,부평구,450305.0
인천광역시,남동구,312434.0
인천광역시,미추홀구,243107.0
인천광역시,연수구,234139.0
인천광역시,중구,189343.0
인천광역시,강화군,91054.0
인천광역시,동구,28776.0
인천광역시,옹진군,7616.0
충청남도,아산시,83058.0
충청남도,천안시 서북구,74359.0
충청남도,천안시 동남구,62928.0
충청남도,당진시,53690.0
충청남도,서산시,40638.0
충청남도,홍성군,22620.0
충청남도,보령시,21888.0
충청남도,태안군,21052.0
충청남도,예산군,20488.0
충청남도,논산시,19418.0
충청남도,공주시,17865.0
충청남도,금산군,12782.0
충청남도,부여군,12517.0
충청남도,계룡시,12083.0
충청남도,서천군,8280.0
충청남도,청양군,5390.0
강원도,원주시,94318.0
강원도,춘천시,83416.0
강원도,강릉시,54361.0
강원도,홍천군,29853.0
강원도,철원군,29382.0
강원도,속초시,26836.0
강원도,평창군,19245.0
강원도,횡성군,17603.0
강원도,인제군,16792.0
강원도,삼척시,16400.0
강원도,양양군,16216.0
강원도,동해시,14944.0
강원도,고성군,13353.0
강원도,화천군,12958.0
강원도,정선군,10274.0
강원도,태백시,8991.0
강원도,양구군,7953.0
강원도,영월군,7479.0
충청북도,충주시,58245.0
충청북도,음성군,45204.0
충청북도,청주시 흥덕구,43196.0
충청북도,청주시 청원구,35410.0
충청북도,청주시 서원구,27573.0
충청북도,제천시,24701.0
충청북도,진천군,22374.0
충청북도,청주시 상당구,19210.0
충청북도,괴산군,12103.0
충청북도,영동군,8972.0
충청북도,증평군,8476.0
충청북도,옥천군,7336.0
충청북도,보은군,6651.0
충청북도,단양군,6334.0
경상북도,구미시,34056.0
경상북도,포항시 북구,25809.0
경상북도,경산시,25081.0
경상북도,경주시,24822.0
경상북도,포항시 남구,20640.0
경상북도,안동시,20036.0
경상북도,김천시,18893.0
경상북도,영주시,16701.0
경상북도,상주시,13386.0
경상북도,문경시,11186.0
경상북도,울진군,10040.0
경상북도,예천군,9397.0
경상북도,칠곡군,8974.0
경상북도,영천시,6427.0
경상북도,영덕군,4695.0
경상북도,봉화군,4142.0
경상북도,의성군,3213.0
경상북도,성주군,3130.0
경상북도,청도군,2679.0
경상북도,청송군,2404.0
경상북도,영양군,1739.0
경상북도,고령군,1419.0
경상북도,울릉군,1368.0
경상북도,군위군,950.0
대전광역시,유성구,85738.0
대전광역시,서구,70508.0
대전광역시,동구,34923.0
대전광역시,중구,29929.0
대전광역시,대덕구,24140.0
전라북도,전주시 완산구,42353.0
전라북도,익산시,41213.0
전라북도,전주시 덕진구,40461.0
전라북도,군산시,37411.0
전라북도,완주군,13860.0
전라북도,정읍시,13535.0
전라북도,남원시,10670.0
전라북도,고창군,9874.0
전라북도,부안군,9380.0
전라북도,김제시,7986.0
전라북도,무주군,3326.0
전라북도,진안군,3074.0
전라북도,임실군,3057.0
전라북도,순창군,2709.0
전라북도,장수군,2424.0
부산광역시,해운대구,33790.0
부산광역시,부산진구,24545.0
부산광역시,남구,17971.0
부산광역시,금정구,16475.0
부산광역시,동래구,15312.0
부산광역시,사하구,15267.0
부산광역시,북구,14496.0
부산광역시,수영구,13796.0
부산광역시,기장군,12297.0
부산광역시,강서구,11721.0
부산광역시,연제구,11680.0
부산광역시,사상구,11009.0
부산광역시,영도구,7662.0
부산광역시,동구,6481.0
부산광역시,서구,6300.0
부산광역시,중구,3121.0
경상남도,김해시,30956.0
경상남도,진주시,25046.0
경상남도,양산시,21562.0
경상남도,거제시,21194.0
경상남도,창원시 성산구,17080.0
경상남도,창원시 의창구,12999.0
경상남도,창원시 진해구,11147.0
경상남도,사천시,10114.0
경상남도,창원시 마산합포구,8825.0
경상남도,통영시,8190.0
경상남도,창원시 마산회원구,7927.0
경상남도,밀양시,6804.0
경상남도,거창군,5996.0
경상남도,함양군,4816.0
경상남도,함안군,3907.0
경상남도,합천군,3889.0
경상남도,남해군,3771.0
경상남도,창녕군,3450.0
경상남도,하동군,3283.0
경상남도,산청군,3278.0
경상남도,고성군,2888.0
경상남도,의령군,1635.0
전라남도,여수시,27186.0
전라남도,목포시,25938.0
전라남도,순천시,22403.0
전라남도,나주시,17659.0
전라남도,장성군,14749.0
전라남도,광양시,13641.0
전라남도,무안군,12302.0
전라남도,고흥군,7615.0
전라남도,해남군,7402.0
전라남도,영암군,7337.0
전라남도,영광군,7159.0
전라남도,화순군,6164.0
전라남도,완도군,6125.0
전라남도,신안군,5503.0
전라남도,구례군,5371.0
