순위,업소명,주소,분류,외지인 검색 수
1,일산칼국수본점,경기 고양시 일산동구 경의로 467-0,한식,90128
2,포레스트아웃팅스일산,경기 고양시 일산동구 고양대로 1124-0,카페/찻집,75690
3,가나안덕일산본점,경기 고양시 일산동구 애니골길 52-0,외국식,40310
4,등촌샤브칼국수일산본점,경기 고양시 일산동구 무궁화로 118-0,한식,25900
5,다람쥐마을누룽지백숙,경기 고양시 일산동구 애니골길43번길 48-0,한식,21137
6,미덕원일산점,경기 고양시 일산동구 애니골길43번길 17-1,외국식,20198
7,전민규의황제누룽지탕일산본점,경기 고양시 일산동구 애니골길 6-0,한식,19506
8,맥도날드중산DT점,경기 고양시 일산동구 고양대로 745-0,간이음식,19060
9,쿠우쿠우일산호수공원점,경기 고양시 일산동구 백마로 195-0,외국식,16941
10,VIPS일산점,경기 고양시 일산동구 중앙로 1219-0,외국식,16202
11,철원양평해장국,경기 고양시 일산동구 장항로 145-0,한식,15880
12,스타벅스일산애니골DT점,경기 고양시 일산동구 무궁화로 300-0,카페/찻집,15625
13,스타벅스백석역DT점,경기 고양시 일산동구 중앙로 1054-0,카페/찻집,15313
14,양수면옥,경기 고양시 일산동구 애니골길 34-0,한식,14534
15,맥도날드고양풍동DT점,경기 고양시 일산동구 백마로 493-0,간이음식,13751
16,애니골,경기 고양시 일산동구,기타음식,13211
17,빠르끄,경기 고양시 일산동구 고양대로 916-0,간이음식,12932
18,포폴로피자,경기 고양시 일산동구 정발산로 43-20,간이음식,12349
19,명가원설농탕,경기 고양시 일산동구 일산로 438-0,한식,11967
20,밤가시버거,경기 고양시 일산동구 일산로372번길 46-0,간이음식,11862
21,부페파크일산점,경기 고양시 일산동구 정발산로 43-20,외국식,11452
22,앤드테라스식사점,경기 고양시 일산동구 위시티1로 6-19,카페/찻집,10514
23,여자만숯불장어구이,경기 고양시 일산동구 고봉로 467-48,외국식,10413
24,스타벅스일산풍동DT점,경기 고양시 일산동구 백마로 475-0,카페/찻집,9828
25,훈장골,경기 고양시 일산동구 고일로 10-0,외국식,9797
26,미루꾸커피,경기 고양시 일산동구 일산로316번길 25-1,카페/찻집,9683
27,제주은희네해장국일산본점,경기 고양시 일산동구 고양대로 946-0,한식,8975
28,청초수물회섭국일산점,경기 고양시 일산동구 애니골길 74-0,외국식,8949
29,아소산일산본점 [일식],경기 고양시 일산동구 정발산로 128-0,외국식,8809
30,샛터농원,경기 고양시 일산동구 통일로1267번길 144-46,한식,8798
31,옐로우마운틴,경기 고양시 일산동구 대주로 341-1,카페/찻집,8707
32,설문커피,경기 고양시 일산동구 고봉로 832-0,카페/찻집,8490
33,신선설농탕일산백석점,경기 고양시 일산동구 일산로 59-0,한식,8430
34,경복궁백석점,경기 고양시 일산동구 중앙로 1053-0,한식,8357
35,옐로커피,경기 고양시 일산동구 통일로1267번길 144-30,카페/찻집,8103
36,창고43일산점,경기 고양시 일산동구 정발산로 21-0,한식,7953
37,왕십리조개창고일산점,경기 고양시 일산동구 고일로 8-0,외국식,7373
38,계단라멘,경기 고양시 일산동구 율천로7번길 10-0,외국식,7301
39,피콕그린,경기 고양시 일산동구 성석로 111-45,카페/찻집,7113
40,임가네한우마을풍동점,경기 고양시 일산동구 애니골길43번길 17-1,한식,7059
41,메밀꽃이피었습니다일산본점,경기 고양시 일산동구 고봉로 749-0,한식,6988
42,맥도날드정발산점,경기 고양시 일산동구 중앙로1275번길 38-5,간이음식,6954
43,청목[한식],경기 고양시 일산동구 정발산로 31-21,한식,6821
44,뿅의전설일산점 [중식],경기 고양시 일산동구 경의로 521-0,외국식,6530
45,긴자일산점 [일식],경기 고양시 일산동구 무궁화로 359-0,외국식,6501
46,청궁흑염소전문점,경기 고양시 일산동구 멱절길 368-3,한식,6347
47,백제원일산점,경기 고양시 일산동구 경의로 573-0,한식,6327
48,양각도일산본점,경기 고양시 일산동구 호수로 640-0,한식,6187
49,아웃백스테이크하우스일산점,경기 고양시 일산동구 무궁화로 237-0,외국식,6084
50,민속마을콩두부,경기 고양시 일산동구 애니골길 100-0,한식,5961
51,청담초밥일산점,경기 고양시 일산동구 백마로213번길 12-0,외국식,5881
52,잎새,경기 고양시 일산동구 애니골길 112-0,한식,5707
53,우설화일산점,경기 고양시 일산동구 무궁화로 359-0,한식,5640
54,일산생갈비풍동점,경기 고양시 일산동구 고일로 134-0,한식,5555
55,하인선생경기일산점,경기 고양시 일산동구 무궁화로 359-0,외국식,5511
56,피치스프링스,경기 고양시 일산동구 일산로380번길 5-10,외국식,5279
57,플로렌스파티하우스일산점,경기 고양시 일산동구 중앙로 1130-0,외국식,5273
58,스타벅스일산식사점,경기 고양시 일산동구 위시티2로11번길 31-0,카페/찻집,5249
59,만돈,경기 고양시 일산동구 정발산로 24-0,외국식,5175
60,숏컷로스터스,경기 고양시 일산동구 성석로 218-16,카페/찻집,5094
61,한소반쭈꾸미일산점,경기 고양시 일산동구 애니골길 55-0,외국식,5058
62,라페스타먹자골목,경기 고양시 일산동구,기타음식,5050
63,앨리스케이커리,경기 고양시 일산동구 경의로 459-78,간이음식,4931
64,갓잇일산점,경기 고양시 일산동구 일산로394번길 19-3,외국식,4856
65,진밭국수,경기 고양시 일산동구 진밭로 11-0,간이음식,4732
66,한우대장,경기 고양시 일산동구 능안길 152-0,한식,4718
67,효교[중식],경기 고양시 일산동구 일산로380번길 41-0,외국식,4660
68,하디르커피,경기 고양시 일산동구 무궁화로187번길 8-16,카페/찻집,4613
69,양수가든본점,경기 고양시 일산동구 무궁화로 110-0,한식,4560
70,천지연일산점,경기 고양시 일산동구 무궁화로 359-0,한식,4540
71,가나안덕일산본점,경기 고양시 일산동구 애니골길 62-0,외국식,4498
72,설참치일산본점,경기 고양시 일산동구 강송로73번길 53-8,외국식,4471
73,소플러스일산점,경기 고양시 일산동구 장백로 82-0,한식,4349
74,어랑생선구이장항본점,경기 고양시 일산동구 정발산로 31-9,한식,4345
