광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,고양시 일산동구,9086709.0
경기도,파주시,6769347.0
경기도,고양시 덕양구,3139511.0
경기도,김포시,1909526.0
경기도,부천시,514114.0
경기도,남양주시,315395.0
경기도,의정부시,278465.0
경기도,화성시,205582.0
경기도,성남시 분당구,175718.0
경기도,시흥시,167745.0
경기도,양주시,165714.0
경기도,하남시,123815.0
경기도,광주시,121309.0
경기도,용인시 기흥구,116460.0
경기도,광명시,114331.0
경기도,평택시,108165.0
경기도,안양시 동안구,103236.0
경기도,용인시 수지구,100742.0
경기도,구리시,88984.0
경기도,수원시 영통구,84208.0
경기도,안산시 상록구,82270.0
경기도,안산시 단원구,79990.0
경기도,수원시 권선구,79283.0
경기도,군포시,75365.0
경기도,용인시 처인구,74940.0
경기도,포천시,74939.0
경기도,성남시 수정구,71906.0
경기도,안양시 만안구,67105.0
경기도,수원시 장안구,58228.0
경기도,이천시,53246.0
경기도,성남시 중원구,52719.0
경기도,연천군,49499.0
경기도,오산시,46784.0
경기도,의왕시,45671.0
경기도,동두천시,45198.0
경기도,양평군,43347.0
경기도,수원시 팔달구,43026.0
경기도,안성시,39814.0
경기도,과천시,30627.0
경기도,가평군,26195.0
경기도,여주시,24318.0
서울특별시,은평구,796978.0
서울특별시,강서구,667759.0
서울특별시,마포구,582843.0
서울특별시,서대문구,443267.0
서울특별시,영등포구,331925.0
서울특별시,양천구,311275.0
서울특별시,강남구,282973.0
서울특별시,관악구,279224.0
서울특별시,송파구,249252.0
서울특별시,동작구,237297.0
서울특별시,성북구,229355.0
서울특별시,노원구,225450.0
서울특별시,구로구,225060.0
서울특별시,서초구,219048.0
서울특별시,용산구,218038.0
서울특별시,강동구,182874.0
서울특별시,성동구,166913.0
서울특별시,동대문구,153800.0
서울특별시,광진구,152492.0
서울특별시,중랑구,148434.0
서울특별시,강북구,130380.0
서울특별시,종로구,129073.0
서울특별시,도봉구,127578.0
서울특별시,금천구,97801.0
서울특별시,중구,91822.0
인천광역시,서구,591747.0
인천광역시,부평구,237564.0
인천광역시,계양구,226651.0
인천광역시,남동구,181148.0
인천광역시,연수구,156270.0
인천광역시,미추홀구,147819.0
인천광역시,강화군,121202.0
인천광역시,중구,89813.0
인천광역시,동구,16066.0
인천광역시,옹진군,6050.0
충청남도,아산시,52915.0
충청남도,천안시 서북구,47590.0
충청남도,천안시 동남구,39216.0
충청남도,당진시,33403.0
충청남도,서산시,29115.0
충청남도,홍성군,14957.0
충청남도,보령시,14682.0
충청남도,논산시,11753.0
충청남도,공주시,11721.0
충청남도,태안군,11286.0
충청남도,예산군,9925.0
충청남도,부여군,6452.0
충청남도,금산군,5878.0
충청남도,계룡시,5576.0
충청남도,서천군,4819.0
충청남도,청양군,3216.0
강원도,원주시,57962.0
강원도,춘천시,54826.0
강원도,강릉시,35220.0
강원도,홍천군,17381.0
강원도,철원군,17041.0
강원도,속초시,15900.0
강원도,평창군,11370.0
강원도,삼척시,11097.0
강원도,동해시,10335.0
강원도,횡성군,10321.0
강원도,인제군,9254.0
강원도,화천군,9062.0
강원도,고성군,8073.0
강원도,양양군,7797.0
강원도,영월군,5451.0
강원도,정선군,5368.0
강원도,태백시,4974.0
강원도,양구군,4792.0
충청북도,충주시,37515.0
충청북도,청주시 흥덕구,28291.0
충청북도,청주시 청원구,24171.0
충청북도,음성군,22453.0
충청북도,청주시 서원구,20489.0
충청북도,제천시,14390.0
충청북도,청주시 상당구,12696.0
충청북도,진천군,11547.0
충청북도,괴산군,6376.0
충청북도,영동군,6217.0
충청북도,증평군,6103.0
충청북도,옥천군,3533.0
충청북도,단양군,3379.0
충청북도,보은군,2489.0
경상북도,구미시,21732.0
경상북도,경산시,16885.0
경상북도,포항시 북구,16299.0
경상북도,경주시,16215.0
경상북도,포항시 남구,14126.0
경상북도,안동시,12300.0
경상북도,김천시,11613.0
경상북도,영주시,10465.0
경상북도,울진군,7554.0
경상북도,상주시,7415.0
경상북도,문경시,6251.0
경상북도,예천군,4746.0
경상북도,칠곡군,4578.0
경상북도,영덕군,3720.0
경상북도,영천시,3346.0
경상북도,봉화군,2422.0
경상북도,의성군,2199.0
경상북도,청송군,2126.0
경상북도,성주군,1935.0
경상북도,청도군,1547.0
경상북도,군위군,1184.0
경상북도,울릉군,1048.0
경상북도,영양군,1016.0
경상북도,고령군,953.0
전라북도,익산시,27105.0
전라북도,군산시,27103.0
전라북도,전주시 완산구,27082.0
전라북도,전주시 덕진구,25007.0
전라북도,완주군,9358.0
전라북도,정읍시,7064.0
전라북도,남원시,6890.0
전라북도,김제시,5592.0
전라북도,고창군,4703.0
전라북도,부안군,4501.0
전라북도,무주군,2198.0
전라북도,장수군,2018.0
전라북도,진안군,1899.0
전라북도,임실군,1630.0
전라북도,순창군,1426.0
경상남도,김해시,22218.0
경상남도,진주시,22152.0
경상남도,거제시,14161.0
경상남도,창원시 성산구,13068.0
경상남도,양산시,12656.0
경상남도,창원시 의창구,8179.0
경상남도,창원시 진해구,7334.0
경상남도,사천시,6750.0
경상남도,창원시 마산합포구,6189.0
경상남도,창원시 마산회원구,6130.0
경상남도,밀양시,4684.0
경상남도,통영시,4667.0
경상남도,거창군,3302.0
경상남도,함양군,2897.0
경상남도,함안군,2833.0
경상남도,남해군,2811.0
경상남도,창녕군,2544.0
경상남도,하동군,2340.0
경상남도,산청군,1943.0
경상남도,합천군,1826.0
경상남도,고성군,1216.0
경상남도,의령군,847.0
부산광역시,해운대구,23843.0
부산광역시,부산진구,15994.0
부산광역시,남구,12573.0
부산광역시,동래구,10734.0
부산광역시,금정구,10566.0
부산광역시,수영구,9981.0
부산광역시,연제구,9743.0
부산광역시,북구,9663.0
부산광역시,사하구,8983.0
부산광역시,사상구,8123.0
부산광역시,강서구,7654.0
