순위,업소명,주소,분류,현지인 검색 수
1,명장시대,경기 광명시 범안로 930-0,간이음식,4945
2,돼지집,경기 광명시 기아로 56-0,한식,4779
3,산촌신쭈꾸미,경기 광명시 오리로 467-21,외국식,4506
4,스타벅스광명소하DT점,경기 광명시 오리로 363-0,카페/찻집,4252
5,맥도날드광명소하DT점,경기 광명시 오리로 512-0,간이음식,4172
6,구름산원주추어탕,경기 광명시 범안로 964-5,한식,3641
7,버거킹광명소하DT점,경기 광명시 오리로 361-0,간이음식,3047
8,몽트리베이커리,경기 광명시 가학로85번길 6-6,간이음식,2835
9,강남면옥광명점,경기 광명시 범안로 868-0,한식,2557
10,투썸플레이스광명밤일점,경기 광명시 밤일안로 7-0,카페/찻집,2555
11,매화쌈밥광명점,경기 광명시 밤일로 36-0,한식,2528
12,명가원[한식],경기 광명시 원노온사로 82-0,한식,2337
13,맥도날드광명DT점,경기 광명시 광명로 765-0,간이음식,1944
14,청담본갈비광명점,경기 광명시 밤일로 4-0,한식,1900
15,소하고택,경기 광명시 신촌북로 7-0,카페/찻집,1815
16,또와요짬뽕[중식],경기 광명시 가학로 39-0,외국식,1791
17,온누리장작구이광명점,경기 광명시 범안로 849-13,외국식,1754
18,홍익돈까스광명점,경기 광명시 밤일안로 19-0,외국식,1651
19,빵명장,경기 광명시 밤일로 38-0,간이음식,1419
20,폴바셋광명철산DT점,경기 광명시 오리로 883-0,카페/찻집,1416
21,긴자광명점 [일식],경기 광명시 밤일안로 41-0,외국식,1411
22,장수촌,경기 광명시 밤일로 37-0,한식,1389
23,돈까스인생,경기 광명시 밤일안로 1-0,외국식,1300
24,소통한우,경기 광명시 가학로 144-0,한식,1287
25,오늘회광명센터,경기 광명시 밤일안로 5-0,외국식,1275
26,담원두부마을,경기 광명시 밤일로 27-0,한식,1227
27,밤일마을음식문화거리,경기 광명시,기타음식,1159
28,거북명태,경기 광명시 범안로 856-0,한식,1133
29,망향비빔국수광명점,경기 광명시 광명로 423-5,한식,1129
30,고창복의낙지세상광명점,경기 광명시 범안로 893-0,외국식,1105
31,양평골,경기 광명시 범안로 857-0,한식,1087
32,경복궁,경기 광명시 밤일로 42-0,한식,1030
33,푸주옥,경기 광명시 밤일로 20-0,한식,1027
34,샤브향밤일점,경기 광명시 밤일안로 27-0,외국식,1025
35,포항물회,경기 광명시 안재로2번길 33-0,외국식,1022
36,신농한우,경기 광명시 밤일안로 8-0,한식,1002
37,진두강한방민물장어,경기 광명시 밤일로 35-0,외국식,988
37,카페자호,경기 광명시 밤일안로 41-3,카페/찻집,988
39,애기능농장,경기 광명시 범안로 753-0,한식,987
40,소들녘광명점,경기 광명시 오리로876번길 6-0,한식,970
41,서울경복궁,경기 광명시 양달로 8-0,한식,965
42,촌장골광명점,경기 광명시 소하로109번길 16-0,한식,953
43,스타벅스광명소하점,경기 광명시 금하로 464-0,카페/찻집,925
44,스타벅스광명역점,경기 광명시 양지로 16-0,카페/찻집,923
45,가나안덕광명점,경기 광명시 밤일로 83-0,외국식,922
46,소담촌,경기 광명시 오리로 518-0,외국식,920
47,가마솥밥상철산본점 [한식],경기 광명시 안양천로 459-0,한식,901
48,신선화로광명점,경기 광명시 범안로 868-11,한식,875
49,교동짬뽕[중식],경기 광명시 한내일로 37-0,외국식,866
50,송도갈매기광명점,경기 광명시 양지로 16-0,한식,839
51,돈까스클럽광명점,경기 광명시 오리로 115-0,외국식,831
52,광명가마솥곰탕,경기 광명시 범안로 883-0,한식,814
53,롱브레드광명점,경기 광명시 양지로 16-0,카페/찻집,809
54,아리랑[한식],경기 광명시 오리로619번길 29-0,한식,802
55,마초쉐프광명점,경기 광명시 소하로 94-0,외국식,788
56,광명APT형 공단-광명 시범 공단,경기 광명시 하안로 228-0,기타음식,766
56,보리밥전문점보릿골,경기 광명시 오리로619번길 27-0,한식,766
58,담원한정식[한식],경기 광명시 밤일로 26-0,한식,763
59,까치카페,경기 광명시 오리로619번길 32-0,카페/찻집,758
60,스시메이진소하점,경기 광명시 소하로 94-0,외국식,742
61,라띠에라,경기 광명시 구름산로 10-0,카페/찻집,724
62,처비핑거스,경기 광명시 일직로99번길 26-0,간이음식,701
63,매화곤드레밥광명점 [한식],경기 광명시 밤일로 63-0,한식,696
64,주재근베이커리본점,경기 광명시 철산로 27-0,간이음식,689
65,투썸플레이스광명소하점,경기 광명시 소하로92번길 6-9,카페/찻집,683
