순위,업소명,주소,분류,외지인 검색 수
1,원조최미자소머리국밥본관,경기 광주시 도척로 58-0,한식,39599
2,낙선재[한식],경기 광주시 불당길 101-0,한식,33594
3,강마을다람쥐,경기 광주시 태허정로 556-0,외국식,24481
4,최미자소머리국밥1관,경기 광주시 경충대로 540-0,한식,23461
5,동산들밥[한식],경기 광주시 광여로 305-0,한식,20121
6,카페산,경기 광주시 검복길 82-0,카페/찻집,19981
7,해와달[한식],경기 광주시 이배재로 493-0,한식,18793
8,어로프슬라이스피스퇴촌점,경기 광주시 정영로 946-8,간이음식,17890
9,동동국수본점,경기 광주시 도척로 20-0,한식,17412
10,몽쥬이에,경기 광주시 남한산성로 227-31,카페/찻집,15535
11,스멜츠,경기 광주시 신현로 103-0,카페/찻집,15508
12,대복식당불고기가게,경기 광주시 정영로 776-0,한식,15289
13,위베이크,경기 광주시 남한산성로 59-3,간이음식,14430
14,포사이,경기 광주시 정영로 574-0,외국식,13504
15,흙토담골퇴촌점,경기 광주시 석둔길 3-0,한식,13261
16,나인블럭중대동점,경기 광주시 경충대로 1969-0,카페/찻집,13018
17,먹보한우광주점,경기 광주시 청석로 252-0,한식,12830
18,건업리보리밥,경기 광주시 광여로 841-0,한식,12815
19,장지리가마솥해장국본점,경기 광주시 순암로 150-0,한식,12088
20,이배재제빵소,경기 광주시 이배재로 247-0,카페/찻집,11239
21,예전한정식[한식],경기 광주시 천진암로 515-14,한식,10847
22,통보장어마을,경기 광주시 장지9길 45-0,외국식,10753
23,초월보리밥[한식],경기 광주시 경충대로184번길 24-1,한식,10483
24,배연정소머리국밥곤지암본점,경기 광주시 도척로 12-0,한식,10301
25,구일가든,경기 광주시 광여로4번길 10-0,한식,9957
26,스타벅스곤지암IC DT점,경기 광주시 경충대로 765-0,카페/찻집,9677
27,맥도날드경기광주DT점,경기 광주시 경충대로 1477-0,간이음식,9296
28,궁뜰맛있는발효밥상[한식],경기 광주시 궁평하천길 38-0,한식,9121
29,카페들,경기 광주시 남한산성로 482-0,카페/찻집,8932
30,카페인신현리,경기 광주시 새말길167번길 68-0,카페/찻집,8837
31,숙아채콩나물국밥,경기 광주시 새말길 21-0,한식,8718
32,추자리막국수,경기 광주시 오포로859번길 6-0,한식,8279
33,수레실가든,경기 광주시 수레실길 129-0,한식,8162
34,개미촌,경기 광주시 남한산성로 512-0,한식,8004
35,스타벅스경기광주신현DT점,경기 광주시 태재로 37-0,카페/찻집,7448
36,서울디아트,경기 광주시 천진암로 790-0,카페/찻집,7359
37,장군수산,경기 광주시 창뜰아랫길 31-0,외국식,7308
38,스타벅스경기광주송정DT점,경기 광주시 경안천로 118-0,카페/찻집,7039
39,장지리막국수,경기 광주시 고불로 7-0,한식,7011
40,오라운트,경기 광주시 양벌로 320-4,카페/찻집,6939
41,시래마루,경기 광주시 경충대로 661-0,한식,6849
42,퇴촌돌짜장,경기 광주시 산수로 894-0,외국식,6641
43,주먹손두부,경기 광주시 불당길 22-29,한식,6570
44,취룡[중식],경기 광주시 이배재로 308-0,외국식,6552
45,보뚱치89,경기 광주시 보뚱치길 89-0,카페/찻집,6548
46,궁평식당,경기 광주시 도척윗로 188-0,한식,6278
47,애마오리본점,경기 광주시 엄미길 186-0,외국식,6132
48,강민주의들밥,경기 광주시 현산로385번길 51-0,한식,5821
49,봉천막국수,경기 광주시 경충대로 522-0,한식,5775
50,가람레스토랑,경기 광주시 산수로 1633-20,외국식,5763
51,엘포레스트,경기 광주시 산수로 1686-0,카페/찻집,5704
52,오대오바지락칼국수,경기 광주시 신현로 25-0,한식,5538
53,숲속장어촌,경기 광주시 새말길 230-0,외국식,5519
54,퍼들하우스,경기 광주시 경충대로 1337-74,카페/찻집,5511
55,두메산골,경기 광주시 불당길37번길 66-11,한식,5483
56,수양농장가든,경기 광주시 경충대로295번길 110-3,한식,5446
57,거궁광주점 [한식],경기 광주시 경충대로 1362-0,한식,5344
58,청국장과보리밥곤지암점,경기 광주시 경충대로 581-0,한식,5333
59,란이네가든,경기 광주시 광여로 87-0,한식,5295
60,스타벅스경기광주초월역DT점,경기 광주시 경충대로 1084-0,카페/찻집,5287
61,시골집,경기 광주시 남한산성로 398-13,한식,5031
62,토담,경기 광주시 광여로 414-0,외국식,5008
63,현촌[한식],경기 광주시 남한산성로 555-0,한식,4908
64,구좌리얼크니손칼국수화담숲직영점,경기 광주시 도척윗로 73-0,한식,4905
65,남한산성카페류,경기 광주시 남한산성로 393-0,카페/찻집,4895
66,베이커리카페빵내음본점,경기 광주시 천진암로 327-14,간이음식,4889
67,먹보한우광주2호점,경기 광주시 새말길 78-0,한식,4886
68,카페슈샤,경기 광주시 문형산길 163-0,카페/찻집,4859
69,그린그라스풍경,경기 광주시 수레실길 155-0,카페/찻집,4847
70,스타벅스경기광주쌍령DT점,경기 광주시 경충대로 1445-0,카페/찻집,4499
71,영양쌀밥옥이,경기 광주시 광여로 835-13,외국식,4455
72,남한산성빵명장,경기 광주시 남한산성로 522-0,간이음식,4393
73,제주제빵소,경기 광주시 오포로 481-0,간이음식,4367
74,투썸플레이스광주오포점,경기 광주시 오포로 150-0,카페/찻집,4325
75,설황황태해장국,경기 광주시 광여로 705-0,한식,4272
76,카페새오개길39,경기 광주시 새오개길 39-0,카페/찻집,4249
77,골목집소머리국밥,경기 광주시 경충대로 621-0,한식,4209
78,더숲베이커리,경기 광주시 태성로 130-60,간이음식,4189
79,오복손두부,경기 광주시 남한산성로 745-10,한식,4161
80,스시어왕태전점,경기 광주시 고불로 62-5,외국식,4092
81,들밥[한식],경기 광주시 양벌로 131-20,한식,4042
82,메밀로43,경기 광주시 남한산성로 43-0,한식,4017
83,보물촌꺼먹돼지두루치기본점,경기 광주시 순암로 528-0,한식,3978
84,우상봉해장국,경기 광주시 광여로 709-0,한식,3962
85,공감플랫폼,경기 광주시 오포로 761-0,카페/찻집,3926
86,보리밥짓는사랑방[한식],경기 광주시 경충대로 187-4,한식,3901
87,본프롬테라본점,경기 광주시 벌원길 4-0,외국식,3873
88,다미정,경기 광주시 설월길 29-0,한식,3872
89,태화산명가,경기 광주시 도척윗로 35-0,외국식,3814
90,원조할매보리밥,경기 광주시 새말길 328-0,한식,3784
91,계곡산장,경기 광주시 남한산성로780번길 64-0,한식,3762
92,우해정,경기 광주시 곤지암천로 248-0,한식,3755
93,백년가짬뽕광주본점 [중식],경기 광주시 경충대로 1879-0,외국식,3742
94,외할머니집,경기 광주시 광여로 352-0,한식,3734
95,팔당원조칼제비보쌈,경기 광주시 광여로 75-0,한식,3619
96,해누리,경기 광주시 경충대로 1305-11,한식,3559
97,설맥바베큐,경기 광주시 회안대로1583번길 41-0,외국식,3475
98,푸주옥,경기 광주시 신현로 53-0,한식,3471
99,평상마루[한식],경기 광주시 오포로 339-0,한식,3397
100,스타벅스경기광주점,경기 광주시 광주대로 35-0,카페/찻집,3392
