유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 양주시 , 경기도 동두천시,36.5,1
경기도 의정부시 , 경기도 동두천시,13.5,1
경기도 포천시 , 경기도 동두천시,8.5,1
경기도 연천군 , 경기도 동두천시,8.4,1
경기도 파주시 , 경기도 동두천시,3.3,1
경기도 남양주시 , 경기도 동두천시,3.2,1
서울특별시 노원구 , 경기도 동두천시,3.0,1
서울특별시 도봉구 , 경기도 동두천시,1.6,1
서울특별시 중랑구 , 경기도 동두천시,1.3,1
경기도 고양시 덕양구 , 경기도 동두천시,1.2,1
경기도 구리시 , 경기도 동두천시,1.0,1
서울특별시 강남구 , 경기도 동두천시,1.0,1
서울특별시 송파구 , 경기도 동두천시,0.9,1
서울특별시 동대문구 , 경기도 동두천시,0.9,1
서울특별시 성북구 , 경기도 동두천시,0.8,1
경기도 하남시 , 경기도 동두천시,0.7,1
서울특별시 광진구 , 경기도 동두천시,0.6,1
서울특별시 강북구 , 경기도 동두천시,0.6,1
서울특별시 강동구 , 경기도 동두천시,0.6,1
경기도 고양시 일산동구 , 경기도 동두천시,0.6,1
 경기도 동두천시,경기도 양주시,34.0,2
 경기도 동두천시,경기도 포천시,13.5,2
 경기도 동두천시,경기도 의정부시,13.4,2
 경기도 동두천시,경기도 연천군,10.5,2
 경기도 동두천시,경기도 파주시,3.9,2
 경기도 동두천시,경기도 남양주시,3.3,2
 경기도 동두천시,경기도 고양시 덕양구,1.6,2
 경기도 동두천시,서울특별시 강남구,1.3,2
 경기도 동두천시,서울특별시 노원구,1.1,2
 경기도 동두천시,경기도 하남시,0.8,2
 경기도 동두천시,강원도 철원군,0.8,2
 경기도 동두천시,서울특별시 도봉구,0.7,2
 경기도 동두천시,서울특별시 송파구,0.7,2
 경기도 동두천시,서울특별시 중구,0.7,2
 경기도 동두천시,경기도 고양시 일산동구,0.7,2
 경기도 동두천시,서울특별시 성동구,0.6,2
 경기도 동두천시,경기도 구리시,0.6,2
 경기도 동두천시,경기도 가평군,0.6,2
 경기도 동두천시,서울특별시 광진구,0.6,2
 경기도 동두천시,강원도 춘천시,0.5,2
