순위,업소명,주소,분류,현지인 검색 수
1,스페이스작,경기 부천시 까치로20번길 13-7,카페/찻집,10057
2,외길수산상동점,경기 부천시 길주로77번길 19-45,외국식,9105
3,스타벅스부천중동DT점,경기 부천시 부흥로 193-0,카페/찻집,8615
4,맥도날드부천역곡역DT점,경기 부천시 경인로 487-0,간이음식,7975
5,맥도날드중동DT점,경기 부천시 중동로262번길 94-0,간이음식,6929
6,스타벅스역곡역DT점,경기 부천시 경인로 485-0,카페/찻집,6106
7,봉순게장부천점,경기 부천시 역곡로284번길 18-0,한식,5915
8,팽오리농장본점,경기 부천시 대장로118번길 7-0,외국식,5244
9,스타벅스부천심곡DT점,경기 부천시 부천로 97-0,카페/찻집,5120
10,스타벅스춘의역DT점,경기 부천시 길주로 386-0,카페/찻집,5111
11,맥도날드부천원종DT점,경기 부천시 소사로 689-0,간이음식,4946
12,복사꽃피는집역곡본점,경기 부천시 역곡로 99-21,외국식,4643
13,삼도갈비,경기 부천시 상이로85번길 32-0,한식,4610
14,아웃백스테이크하우스부천상동점,경기 부천시 길주로 111-0,외국식,4525
15,신선설농탕중동점,경기 부천시 옥산로 104-0,한식,4392
16,비맨션,경기 부천시 소사동로 205-0,외국식,4328
17,작동홍두깨칼국수,경기 부천시 길주로560번길 63-0,한식,4073
18,한촌설렁탕부천본점,경기 부천시 경인로 92-0,한식,3876
19,백제원부천점,경기 부천시 신흥로 294-0,한식,3803
20,청기와뼈다귀해장국본점,경기 부천시 조마루로 384-0,한식,3512
21,260도부천점,경기 부천시 신흥로 178-0,한식,3490
22,손가면옥,경기 부천시 신흥로 313-0,한식,3414
23,호미불닭발본점,경기 부천시 부일로237번길 14-0,외국식,3349
24,인하찹쌀순대,경기 부천시 심곡로34번길 43-0,한식,3193
25,장어나라본관,경기 부천시 까치로6번길 6-0,외국식,2925
26,이비가짬뽕까치울역점 [중식],경기 부천시 역곡로 236-0,외국식,2889
27,고주몽화로구이부천중동점,경기 부천시 소향로 233-0,한식,2875
28,이학갈비중동점,경기 부천시 석천로110번길 6-0,한식,2847
29,황해도김치만두전골,경기 부천시 원종로51번길 64-0,한식,2803
30,천지연부천중동점,경기 부천시 부흥로 266-0,한식,2727
31,맥도날드부천심곡DT점,경기 부천시 경인로 170-0,간이음식,2654
32,강원토종삼계탕,경기 부천시 부일로237번길 23-0,한식,2542
33,논골집상동점,경기 부천시 소향로37번길 31-21,한식,2387
34,와일드그릴,경기 부천시 소사로 549-0,한식,2324
35,장어나라신관,경기 부천시 길주로 567-0,외국식,2303
36,버거킹부천원종점,경기 부천시 소사로 713-0,간이음식,2153
37,스타벅스부천원종DT점,경기 부천시 소사로 826-0,카페/찻집,2133
38,오이삼계탕,경기 부천시 조마루로 87-0,한식,2080
39,조마루감자탕본점,경기 부천시 조마루로 381-0,한식,2062
40,착한낙지부천역곡점,경기 부천시 역곡로98번길 21-0,외국식,1986
41,미꼬담부천까치울점 [한식],경기 부천시 길주로561번길 24-0,한식,1915
42,돈까스클럽오정점,경기 부천시 상오정로 147-0,외국식,1911
43,버거킹부천옥길점,경기 부천시 옥길로 118-0,간이음식,1783
44,24시나인식양평해장국작동본점,경기 부천시 길주로 634-0,한식,1764
45,오라델떼,경기 부천시 길주로 1-0,카페/찻집,1716
46,버거킹부천중동점,경기 부천시 신흥로 163-0,간이음식,1687
47,브런치빈신중동점,경기 부천시 신흥로 178-0,외국식,1666
48,드마리스부천점,경기 부천시 길주로 71-0,외국식,1660
49,버터팬,경기 부천시 여월로 210-1,카페/찻집,1599
50,나리스키친부천점,경기 부천시 신흥로 150-0,외국식,1583
51,경인로570숯불구이,경기 부천시 경인로 570-0,한식,1573
52,쎄쎄쎄부천점,경기 부천시 신흥로 190-1,외국식,1539
53,라라코스트부천중동점,경기 부천시 길주로 227-0,외국식,1528
54,블루미파티하우스,경기 부천시 신흥로 170-1,외국식,1515
55,여월가든,경기 부천시 원미로281번길 123-0,외국식,1500
56,쌈천지,경기 부천시 여월로 206-0,외국식,1477
57,정인면옥,경기 부천시 부흥로 347-0,한식,1475
58,보리밭사이길로,경기 부천시 양지로 111-25,한식,1446
