순위,관광지명,주소,분류,합산 검색 수
1,율동공원,경기 성남시 분당구 문정로 145-0,도시공원,191423
2,남서울CC,경기 성남시 분당구 판교백현로 161-0,육상레저스포츠,64536
3,코트야드바이메리어트서울판교,경기 성남시 분당구 판교역로192번길 12-0,호텔,46643
4,분당중앙공원,경기 성남시 분당구 성남대로 550-0,도시공원,41961
5,그래비티서울판교오토그래프컬렉션,경기 성남시 분당구 판교역로146번길 2-0,호텔,41898
6,CGV오리,경기 성남시 분당구 탄천상로151번길 20-0,공연시설,33426
7,분당그린피아골프,경기 성남시 분당구 새마을로 255-0,육상레저스포츠,33164
8,CGV서현,경기 성남시 분당구 서현로180번길 19-0,공연시설,30310
9,서머셋센트럴분당,경기 성남시 분당구 황새울로311번길 36-0,호텔,21931
10,메가박스분당,경기 성남시 분당구 황새울로 332-0,공연시설,16104
11,CGV판교,경기 성남시 분당구 판교역로146번길 20-0,공연시설,14774
12,금호행복시장,경기 성남시 분당구 내정로165번길 38-0,시장,13013
13,CGV야탑,경기 성남시 분당구 성남대로925번길 16-0,공연시설,12448
14,판교박물관,경기 성남시 분당구 판교로 191-0,전시시설,11376
15,분당판교청소년수련관,경기 성남시 분당구 판교공원로4길 27-0,육상레저스포츠,11115
16,아브뉴프랑판교,경기 성남시 분당구 동판교로177번길 25-0,쇼핑몰,10668
17,화랑공원,경기 성남시 분당구,도시공원,10000
18,대광사,경기 성남시 분당구 구미로185번길 30-0,종교성지,9132
19,분당야탑청소년수련관,경기 성남시 분당구 벌말로30번길 35-0,육상레저스포츠,8726
20,주택전시장,경기 성남시 분당구 불정로 50-0,전시시설,8526
21,분당정자청소년수련관,경기 성남시 분당구 성남대로407번길 12-0,육상레저스포츠,8309
22,성남아트센터오페라하우스,경기 성남시 분당구 성남대로 808-0,공연시설,8278
23,황새울공원,경기 성남시 분당구,도시공원,7897
24,분당올림픽센터스케이트장,경기 성남시 분당구 중앙공원로 35-0,육상레저스포츠,7740
25,분당서현청소년수련관,경기 성남시 분당구 불정로386번길 38-0,육상레저스포츠,6810
26,SR스위츠호텔분당,경기 성남시 분당구 황새울로319번길 9-0,호텔,6598
27,카인드호텔,경기 성남시 분당구 황새울로329번길 10-0,호텔,6490
28,골안사,경기 성남시 분당구 구미로 193-0,종교성지,6436
