유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
경기도 용인시 기흥구 , 경기도 수원시 영통구,18.3,1
경기도 화성시 , 경기도 수원시 영통구,14.6,1
경기도 수원시 팔달구 , 경기도 수원시 영통구,12.1,1
경기도 수원시 권선구 , 경기도 수원시 영통구,11.0,1
경기도 용인시 수지구 , 경기도 수원시 영통구,10.7,1
경기도 수원시 장안구 , 경기도 수원시 영통구,5.6,1
경기도 성남시 분당구 , 경기도 수원시 영통구,3.6,1
경기도 용인시 처인구 , 경기도 수원시 영통구,3.1,1
경기도 오산시 , 경기도 수원시 영통구,1.5,1
서울특별시 강남구 , 경기도 수원시 영통구,1.2,1
서울특별시 서초구 , 경기도 수원시 영통구,1.1,1
경기도 평택시 , 경기도 수원시 영통구,1.1,1
경기도 의왕시 , 경기도 수원시 영통구,1.0,1
경기도 안양시 동안구 , 경기도 수원시 영통구,0.8,1
경기도 군포시 , 경기도 수원시 영통구,0.8,1
서울특별시 송파구 , 경기도 수원시 영통구,0.7,1
경기도 안성시 , 경기도 수원시 영통구,0.7,1
경기도 광주시 , 경기도 수원시 영통구,0.6,1
경기도 이천시 , 경기도 수원시 영통구,0.6,1
경기도 성남시 수정구 , 경기도 수원시 영통구,0.6,1
 경기도 수원시 영통구,경기도 수원시 팔달구,21.2,2
 경기도 수원시 영통구,경기도 용인시 기흥구,15.9,2
 경기도 수원시 영통구,경기도 화성시,11.6,2
 경기도 수원시 영통구,경기도 용인시 수지구,8.2,2
 경기도 수원시 영통구,경기도 수원시 권선구,7.7,2
 경기도 수원시 영통구,경기도 수원시 장안구,4.3,2
 경기도 수원시 영통구,경기도 성남시 분당구,3.7,2
 경기도 수원시 영통구,경기도 용인시 처인구,3.3,2
 경기도 수원시 영통구,서울특별시 강남구,1.9,2
 경기도 수원시 영통구,경기도 오산시,1.5,2
 경기도 수원시 영통구,경기도 의왕시,1.5,2
 경기도 수원시 영통구,서울특별시 서초구,1.1,2
 경기도 수원시 영통구,경기도 안성시,0.9,2
 경기도 수원시 영통구,경기도 평택시,0.8,2
 경기도 수원시 영통구,서울특별시 송파구,0.8,2
 경기도 수원시 영통구,경기도 이천시,0.8,2
 경기도 수원시 영통구,경기도 광주시,0.7,2
 경기도 수원시 영통구,경기도 여주시,0.7,2
 경기도 수원시 영통구,경기도 시흥시,0.6,2
 경기도 수원시 영통구,경기도 안산시 단원구,0.5,2
